0,29998116|25082551|32849622|31596275|21788131,133184611301183317,t9_ch_sniper_standard_t9_ekia,0,31581935,95499958111098196,t9_ch_sniper_standard_t9_challenges,0,24115098,72333347746049753,t9_ch_weapon_sniper_challenges_completed,0,27899082,111628225257849835,t9_ch_global_weapons_mastery,0,,,,,0,
1,31356234,,,1,,,,,,,,,,,,,,,,,,
2,24048124,,,1,,,,,,,,,,,,,,,,,,
3,22711490,,,1,,,,,,,,,,,,,,,,,,
4,27206207,,,1,25592091|25169224|27255455|23871744|27799806,101062526107535574,t9_ch_sniper_standard_t9_headshots,1,,,,,,,,,,,,,,
5,33391104,,,1,,,,,,,,,,,,,,,,,,
6,30004972,,,2,,,,,,,,,,,,,,,,,,
7,29243105,,,2,,,,,,,,,,,,,,,,,,
8,22042307,,,2,,,,,,,,,,,,,,,,,,
9,29473151,,,2,30501850|32978545|19627314|19174054|18595105,78154332580541531,t9_ch_sniper_standard_t9_killstreak_5,2,,,,,,,,,,,,,,
10,30066702,,,2,,,,,,,,,,,,,,,,,,
11,33165878,,,3,,,,,,,,,,,,,,,,,,
12,32625141,,,3,,,,,,,,,,,,,,,,,,
13,20824247,,,3,,,,,,,,,,,,,,,,,,
14,26376475,,,3,,,,,,,,,,,,,,,,,,
15,33447127,,,3,,,,,,,,,,,,,,,,,,
16,31084194,,,4,,,,,,,,,,,,,,,,,,
17,20858081,,,4,,,,,,,,,,,,,,,,,,
18,21790595,,,4,18993822|18053412|27829933|18132904|24142560,116289372585536628,t9_ch_sniper_standard_t9_longshot_kill,4,,,,,,,,,,,,,,
19,21039100,,,4,,,,,,,,,,,,,,,,,,
20,20820570,,,4,,,,,,,,,,,,,,,,,,
21,19922615,,,5,,,,,,,,,,,,,,,,,,
22,27148775,,,5,,,,,,,,,,,,,,,,,,
23,17969762,,,5,,,,,,,,,,,,,,,,,,
24,22884170,,,5,,,,,,,,,,,,,,,,,,
25,32830374,,,5,,,,,,,,,,,,,,,,,,
26,25227860,,,6,,,,,,,,,,,,,,,,,,
27,25226958,,,6,,,,,,,,,,,,,,,,,,
28,32595933,,,6,19121134|18820578|23119607|21165385|32358611,100047969895723394,t9_ch_sniper_standard_t9_kill_enemy_while_holding_breath,6,,,,,,,,,,,,,,
29,29965594,,,6,,,,,,,,,,,,,,,,,,
30,32127971,,,6,,,,,,,,,,,,,,,,,,
31,20994221,,,7,,,,,,,,,,,,,,,,,,
32,18973602,,,7,,,,,,,,,,,,,,,,,,
33,30749253,,,7,,,,,,,,,,,,,,,,,,
34,24709773,,,7,,,,,,,,,,,,,,,,,,
35,28822584,,,7,,,,,,,,,,,,,,,,,,
36,25443474,,,8,,,,,,,,,,,,,,,,,,
37,19884109,,,8,,,,,,,,,,,,,,,,,,
38,23109482,,,8,25294732|31501864|27082155|26738681|31575394,129038288026383484,t9_ch_sniper_standard_t9_kill_enemy_one_bullet_sniper,8,,,,,,,,,,,,,,
39,33487550,,,8,,,,,,,,,,,,,,,,,,
40,31077155,,,8,,,,,,,,,,,,,,,,,,
41,20597203,,,9,,,,,,,,,,,,,,,,,,
42,18566372,,,9,,,,,,,,,,,,,,,,,,
43,31269419,,,9,,,,,,,,,,,,,,,,,,
44,32212200,,,9,,,,,,,,,,,,,,,,,,
45,19803966,,,9,,,,,,,,,,,,,,,,,,
46,26095681,,,10,,,,,,,,,,,,,,,,,,
47,26095878,,,10,,,,,,,,,,,,,,,,,,
48,19563213,,,10,21793255|27761567|21789552|26207685|31804098,128848078309458793,t9_ch_sniper_standard_t9_multikill_2,10,,,,,,,,,,,,,,
49,19793720,,,10,,,,,,,,,,,,,,,,,,
50,19725259,,,10,,,,,,,,,,,,,,,,,,
51,31519478,,,11,,,,,,,,,,,,,,,,,,
52,30983126,,,11,,,,,,,,,,,,,,,,,,
53,32999208,,,11,,,,,,,,,,,,,,,,,,
54,20476420,,,11,,,,,,,,,,,,,,,,,,
