0,24169785|18247346|19650470|21118263|20940964,110329503986949611,t9_ch_ar_standard_t9_ekia,0,30222209,105335436721942238,t9_ch_ar_standard_t9_challenges,0,19236042,130947465255032883,t9_ch_weapon_assault_challenges_completed,0,27899082,111628225257849835,t9_ch_global_weapons_mastery,0,,,,,0,
1,19102712,,,1,,,,,,,,,,,,,,,,,,
2,29442197,,,1,,,,,,,,,,,,,,,,,,
3,21721879,,,1,,,,,,,,,,,,,,,,,,
4,25379104,,,1,27635583|18401426|25337986|19242701|30911229,81722630608504970,t9_ch_ar_standard_t9_headshots,1,,,,,,,,,,,,,,
5,26900976,,,1,,,,,,,,,,,,,,,,,,
6,28631196,,,2,,,,,,,,,,,,,,,,,,
7,25162398,,,2,,,,,,,,,,,,,,,,,,
8,26131009,,,2,,,,,,,,,,,,,,,,,,
9,31673617,,,2,18693267|25079604|21436074|28797318|26741445,79992001082025255,t9_ch_ar_standard_t9_killstreak_5,2,,,,,,,,,,,,,,
10,29704064,,,2,,,,,,,,,,,,,,,,,,
11,29711190,,,3,,,,,,,,,,,,,,,,,,
12,20108486,,,3,,,,,,,,,,,,,,,,,,
13,19576490,,,3,,,,,,,,,,,,,,,,,,
14,23455771,,,3,,,,,,,,,,,,,,,,,,
15,32975186,,,3,,,,,,,,,,,,,,,,,,
16,25253751,,,4,,,,,,,,,,,,,,,,,,
17,28886605,,,4,,,,,,,,,,,,,,,,,,
18,20558718,,,4,,,,,,,,,,,,,,,,,,
19,25028802,,,4,27246958|17888433|17995051|22420500|25899655,124598765926226672,t9_ch_ar_standard_t9_longshot_kill,4,,,,,,,,,,,,,,
20,32221646,,,4,,,,,,,,,,,,,,,,,,
21,18279428,,,5,,,,,,,,,,,,,,,,,,
22,22753321,,,5,,,,,,,,,,,,,,,,,,
23,29539203,,,5,,,,,,,,,,,,,,,,,,
24,27154166,,,5,,,,,,,,,,,,,,,,,,
25,28007557,,,5,,,,,,,,,,,,,,,,,,
26,18459840,,,6,,,,,,,,,,,,,,,,,,
27,19254390,,,6,,,,,,,,,,,,,,,,,,
28,25540242,,,6,,,,,,,,,,,,,,,,,,
29,20587990,,,6,32755885|18837345|26343304|23120207|19016937,83636564404983275,t9_ch_ar_standard_t9_kill_detected_stunned_blinded,6,,,,,,,,,,,,,,
30,29124303,,,6,,,,,,,,,,,,,,,,,,
31,21749303,,,7,,,,,,,,,,,,,,,,,,
32,21421769,,,7,,,,,,,,,,,,,,,,,,
33,28894230,,,7,,,,,,,,,,,,,,,,,,
34,27085566,,,7,,,,,,,,,,,,,,,,,,
35,18466974,,,7,,,,,,,,,,,,,,,,,,
36,31198464,,,8,,,,,,,,,,,,,,,,,,
37,20156212,,,8,,,,,,,,,,,,,,,,,,
38,33210819,,,8,,,,,,,,,,,,,,,,,,
39,29137779,,,8,24170308|26984700|28792058|33002402|26292927,110895910035976764,t9_ch_ar_standard_t9_kill_enemy_taking_cover_from_you,8,,,,,,,,,,,,,,
40,29612153,,,8,,,,,,,,,,,,,,,,,,
41,30925415,,,9,,,,,,,,,,,,,,,,,,
42,30389364,,,9,,,,,,,,,,,,,,,,,,
43,29185851,,,9,,,,,,,,,,,,,,,,,,
44,20355444,,,9,,,,,,,,,,,,,,,,,,
45,29209588,,,9,,,,,,,,,,,,,,,,,,
46,33217401,,,10,,,,,,,,,,,,,,,,,,
47,19580436,,,10,,,,,,,,,,,,,,,,,,
48,21847381,,,10,,,,,,,,,,,,,,,,,,
49,33517912,,,10,26093828|18444584|23270265|19571462|20825406,117132400619070991,t9_ch_ar_standard_t9_multikill_2,10,,,,,,,,,,,,,,
50,25112382,,,10,,,,,,,,,,,,,,,,,,
51,28392774,,,11,,,,,,,,,,,,,,,,,,
52,24769638,,,11,,,,,,,,,,,,,,,,,,
53,21858000,,,11,,,,,,,,,,,,,,,,,,
54,27333607,,,11,,,,,,,,,,,,,,,,,,
