0,,0,,,,,,,,,,
1,0,10000,10000,RANK/MSC_FULL,icon_rank_officer_sm_01,icon_rank_officer_01,169,382,ch_elder1_killer,icon_ribbon_s00_001,ELDER_PROGRESSION/RIBBON_OF_HONOR_001,
2,10000,20100,10100,RANK/MSC_FULL2,icon_rank_officer_sm_01,icon_rank_officer_01,200005,1355,ch_elder1_tdmw,icon_ribbon_s00_002,ELDER_PROGRESSION/RIBBON_OF_HONOR_002,
3,20100,30300,10200,RANK/MSC_FULL3,icon_rank_officer_sm_01,icon_rank_officer_01,,1356,ch_elder1_ar_kills,icon_ribbon_s00_003,ELDER_PROGRESSION/RIBBON_OF_HONOR_003,
4,30300,40600,10300,RANK/MSC_FULL4,icon_rank_officer_sm_01,icon_rank_officer_01,,1357,ch_elder1_frag,icon_ribbon_s00_004,ELDER_PROGRESSION/RIBBON_OF_HONOR_004,
5,40600,51000,10400,RANK/MSC_FULL5,icon_rank_officer_sm_01,icon_rank_officer_01,,1358,ch_elder1_revenge,icon_ribbon_s00_005,ELDER_PROGRESSION/RIBBON_OF_HONOR_005,
6,51000,61500,10500,RANK/WOF_FULL,icon_rank_officer_sm_02,icon_rank_officer_02,200005,1359,ch_elder1_damage,icon_ribbon_s00_006,ELDER_PROGRESSION/RIBBON_OF_HONOR_006,
7,61500,72100,10600,RANK/WOF_FULL2,icon_rank_officer_sm_02,icon_rank_officer_02,,1360,ch_elder1_uav,icon_ribbon_s00_007,ELDER_PROGRESSION/RIBBON_OF_HONOR_007,
8,72100,82800,10700,RANK/WOF_FULL3,icon_rank_officer_sm_02,icon_rank_officer_02,,1361,ch_elder1_smghs,icon_ribbon_s00_008,ELDER_PROGRESSION/RIBBON_OF_HONOR_008,
9,82800,93600,10800,RANK/WOF_FULL4,icon_rank_officer_sm_02,icon_rank_officer_02,,1362,ch_elder1_shrapnel,icon_ribbon_s00_009,ELDER_PROGRESSION/RIBBON_OF_HONOR_009,
10,93600,104500,10900,RANK/WOF_FULL5,icon_rank_officer_sm_02,icon_rank_officer_02,,1363,ch_elder1_flash,icon_ribbon_s00_010,ELDER_PROGRESSION/RIBBON_OF_HONOR_010,
11,104500,115500,11000,RANK/CWO2_FULL,icon_rank_officer_sm_03,icon_rank_officer_03,200005,1364,ch_elder1_playa,icon_ribbon_s00_011,ELDER_PROGRESSION/RIBBON_OF_HONOR_011,
