a0,b1,c2,d3,e4,g5,g6,h7,i8,j9,k10,l11,m12,n13,o14,p15,q16,
maxrank,54,,,,,,,,,,,,,,,,
0,,0,2500,RANK/PVT,RANK/PVT_FULL,,2500,,,,,,1,1,ranked_up_1,RANK/PVT_FULL,
1,,2500,2800,RANK/PVT,RANK/PVT_FULL2,,5300,,,,,,2,2,ranked_up_1,RANK/PVT_FULL_N,
2,,5300,3100,RANK/PVT,RANK/PVT_FULL3,,8400,,,,,,3,3,ranked_up_1,RANK/PVT_FULL_N,
3,,8400,3400,RANK/PVT,RANK/PVT_FULL4,,11800,,,,,,4,4,ranked_up_1,RANK/PVT_FULL_N,
4,,11800,3700,RANK/PVT,RANK/PVT_FULL5,,15500,,,,,,5,5,ranked_up_1,RANK/PVT_FULL_N,
5,,15500,4000,RANK/PFC,RANK/PFC_FULL,,19500,,,,,,6,6,ranked_up_2,RANK/PFC_FULL,
6,,19500,4300,RANK/PFC,RANK/PFC_FULL2,,23800,,,,,,7,7,ranked_up_2,RANK/PFC_FULL_N,
7,,23800,4600,RANK/PFC,RANK/PFC_FULL3,,28400,,,,,,8,8,ranked_up_2,RANK/PFC_FULL_N,
8,,28400,4900,RANK/PFC,RANK/PFC_FULL4,,33300,,,,,,9,9,ranked_up_2,RANK/PFC_FULL_N,
9,,33300,5200,RANK/PFC,RANK/PFC_FULL5,,38500,,,,,,10,10,ranked_up_2,RANK/PFC_FULL_N,
10,,38500,5600,RANK/SPC,RANK/SPC_FULL,,44100,,,,,,11,11,ranked_up_3,RANK/SPC_FULL,
11,,44100,6000,RANK/SPC,RANK/SPC_FULL2,,50100,,,,,,12,12,ranked_up_3,RANK/SPC_FULL_N,
12,,50100,6400,RANK/SPC,RANK/SPC_FULL3,,56500,,,,,,13,13,ranked_up_3,RANK/SPC_FULL_N,
13,,56500,6800,RANK/SPC,RANK/SPC_FULL4,,63300,,,,,,14,14,ranked_up_3,RANK/SPC_FULL_N,
14,,63300,7200,RANK/SPC,RANK/SPC_FULL5,,70500,,,,,,15,15,ranked_up_3,RANK/SPC_FULL_N,
15,,70500,7700,RANK/CPL,RANK/CPL_FULL,,78200,,,,,,16,16,ranked_up_4,RANK/CPL_FULL,
16,,78200,8200,RANK/CPL,RANK/CPL_FULL2,,86400,,,,,,17,17,ranked_up_4,RANK/CPL_FULL_N,
17,,86400,8700,RANK/CPL,RANK/CPL_FULL3,,95100,,,,,,18,18,ranked_up_4,RANK/CPL_FULL_N,
18,,95100,9200,RANK/CPL,RANK/CPL_FULL4,,104300,,,,,,19,19,ranked_up_4,RANK/CPL_FULL_N,
19,,104300,9700,RANK/CPL,RANK/CPL_FULL5,,114000,,,,,,20,20,ranked_up_4,RANK/CPL_FULL_N,
20,,114000,10300,RANK/SGT,RANK/SGT_FULL,,124300,,,,,,21,21,ranked_up_5,RANK/SGT_FULL,
21,,124300,10900,RANK/SGT,RANK/SGT_FULL2,,135200,,,,,,22,22,ranked_up_5,RANK/SGT_FULL_N,
22,,135200,11500,RANK/SGT,RANK/SGT_FULL3,,146700,,,,,,23,23,ranked_up_5,RANK/SGT_FULL_N,
23,,146700,12100,RANK/SGT,RANK/SGT_FULL4,,158800,,,,,,24,24,ranked_up_5,RANK/SGT_FULL_N,
24,,158800,12700,RANK/SGT,RANK/SGT_FULL5,,171500,,,,,,25,25,ranked_up_5,RANK/SGT_FULL_N,
25,,171500,13400,RANK/SSGT,RANK/SSGT_FULL,,184900,,,,,,26,26,ranked_up_6,RANK/SSGT_FULL,
26,,184900,14100,RANK/SSGT,RANK/SSGT_FULL2,,199000,,,,,,27,27,ranked_up_6,RANK/SSGT_FULL_N,
27,,199000,14800,RANK/SSGT,RANK/SSGT_FULL3,,213800,,,,,,28,28,ranked_up_6,RANK/SSGT_FULL_N,
28,,213800,15500,RANK/SSGT,RANK/SSGT_FULL4,,229300,,,,,,29,29,ranked_up_6,RANK/SSGT_FULL_N,
29,,229300,16200,RANK/SSGT,RANK/SSGT_FULL5,,245500,,,,,,30,30,ranked_up_6,RANK/SSGT_FULL_N,
30,,245500,17000,RANK/GSGT,RANK/GSGT_FULL,,262500,,,,,,31,31,ranked_up_7,RANK/GSGT_FULL,
31,,262500,17800,RANK/GSGT,RANK/GSGT_FULL2,,280300,,,,,,32,32,ranked_up_7,RANK/GSGT_FULL_N,
32,,280300,18600,RANK/GSGT,RANK/GSGT_FULL3,,298900,,,,,,33,33,ranked_up_7,RANK/GSGT_FULL_N,
33,,298900,19400,RANK/GSGT,RANK/GSGT_FULL4,,318300,,,,,,34,34,ranked_up_7,RANK/GSGT_FULL_N,
34,,318300,20200,RANK/GSGT,RANK/GSGT_FULL5,,338500,,,,,,35,35,ranked_up_7,RANK/GSGT_FULL_N,
35,,338500,21100,RANK/MSGT,RANK/MSGT_FULL,,359600,,,,,,36,36,ranked_up_8,RANK/MSGT_FULL,
36,,359600,22000,RANK/MSGT,RANK/MSGT_FULL2,,381600,,,,,,37,37,ranked_up_8,RANK/MSGT_FULL_N,
37,,381600,22900,RANK/MSGT,RANK/MSGT_FULL3,,404500,,,,,,38,38,ranked_up_8,RANK/MSGT_FULL_N,
38,,404500,23800,RANK/MSGT,RANK/MSGT_FULL4,,428300,,,,,,39,39,ranked_up_8,RANK/MSGT_FULL_N,
39,,428300,24700,RANK/MSGT,RANK/MSGT_FULL5,,453000,,,,,,40,40,ranked_up_8,RANK/MSGT_FULL_N,
40,,453000,25700,RANK/MSGSGT,RANK/MSGSGT_FULL,,478700,,,,,,41,41,ranked_up_9,RANK/MSGSGT_FULL,
41,,478700,26700,RANK/MSGSGT,RANK/MSGSGT_FULL2,,505400,,,,,,42,42,ranked_up_9,RANK/MSGSGT_FULL_N,
42,,505400,27700,RANK/MSGSGT,RANK/MSGSGT_FULL3,,533100,,,,,,43,43,ranked_up_9,RANK/MSGSGT_FULL_N,
43,,533100,28700,RANK/MSGSGT,RANK/MSGSGT_FULL4,,561800,,,,,,44,44,ranked_up_9,RANK/MSGSGT_FULL_N,
44,,561800,29700,RANK/MSGSGT,RANK/MSGSGT_FULL5,,591500,,,,,,45,45,ranked_up_9,RANK/MSGSGT_FULL_N,
45,,591500,30800,RANK/SGTMAJ,RANK/SGTMAJ_FULL,,622300,,,,,,46,46,ranked_up_10,RANK/SGTMAJ_FULL,
46,,622300,31900,RANK/SGTMAJ,RANK/SGTMAJ_FULL2,,654200,,,,,,47,47,ranked_up_10,RANK/SGTMAJ_FULL_N,
47,,654200,33000,RANK/SGTMAJ,RANK/SGTMAJ_FULL3,,687200,,,,,,48,48,ranked_up_10,RANK/SGTMAJ_FULL_N,
48,,687200,34100,RANK/SGTMAJ,RANK/SGTMAJ_FULL4,,721300,,,,,,49,49,ranked_up_10,RANK/SGTMAJ_FULL_N,
49,,721300,35200,RANK/SGTMAJ,RANK/SGTMAJ_FULL5,,756500,,,,,,50,50,ranked_up_10,RANK/SGTMAJ_FULL_N,
