weaponRef,excludedAttachments,specialWeaponRefs + VariantID,baseWeaponRef + variantID,
iw8_sm_mpapa5,lasersmg,laserbalanced_smg,laserranged_smg,,,
iw8_sm_mpapa7,lasersmg,laserbalanced_smg,laserranged_smg,,,
iw8_sh_charlie725,laser_bar,laserrange_bar,laserbalanced_bar,,,
iw8_lm_lima86,laser_bar,laserrange_bar,laserbalanced_bar,,,
iw8_ar_kilo433,laser,laserrange_kilo433,laserbalanced,,,
iw8_ar_falima,laser_bar,laserrange_bar,laserbalanced_bar,,,
iw8_ar_akilo47,laser_bar,laserrange_bar,laserbalanced_bar,,,
iw8_sm_augolf,lasersmg,laserrange_smg,laserbalanced_smg,,,
iw8_sm_uzulu,lasersmg,laserrange_smg,laserbalanced_smg,,,
iw8_sm_beta,lasersmg,laserrange_smg,laserbalanced_smg,,,
iw8_lm_pkilo,laserrange_bar,laser_bar,laserbalanced_bar,,,
iw8_lm_kilo121,laserrange_bar,laser_bar,laserbalanced_bar,,,
iw8_lm_mgolf34,laserrange_bar,laser_bar,laserbalanced_bar,,,
iw8_sn_mike14,laser_bar,laserranged_bar,laserbalancedsnpr_bar,,,
iw8_sn_kilo98,laser_bar,laserranged_bar,laserbalancedsnpr_bar,,,
iw8_sn_sbeta,laser_bar,laserranged_bar,laserbalancedsnpr_bar,,,
iw8_ar_falpha,laser_bar,laserrange_bar,laserbalanced_bar,,,
iw8_sm_smgolf45,laser,laserrange,laserbalanced,,,
iw8_sh_romeo870,laser_bar,laserrange_bar,laserbalanced_bar,,,
iw8_sm_papa90,laser,laserrange,laserbalanced,,,
iw8_ar_sierra552,laser,laserrange,laserbalanced,,,
iw8_ar_mike4,laserbalanced,iw8_ar_mike4_mpv2|6,,
