Space,0020,0020,
Dash,002D,002D,
Underscore,005F,005F,
Numbers,0030,0039,
CapitalLetters,0041,005A,
LowercaseLetters,0061,007A,
Accented0,00C0,00D6,
Accented1,00D8,00F6,
Accented2,00F8,017E,
Accented3,0180,0188,
Accented4,0190,0198,
Accented5,01C0,0217,
Cyrillic0,0400,0482,
Cyrillic1,0488,052F,
CJK0,3400,4DBF,
CJK1,4E00,9FFF,
CJK2,F900,FAFF,
Japanese0,3000,3029,
Japanese1,302E,3098,
Japanese2,309B,30FF,
Japanese3,FF00,FF9F,
Japanese4,FFA1,FFEF,
Thai0,0E00,0E30,
Thai1,0E32,0E33,
Thai2,0E3B,0E46,
Thai3,0E4F,0E7F,
Korean,AC00,D7AF,
