barheavy,,,,,,,,,,,,,,,,,
barcust,,,,,,,,,,,,,,,,,
barcust_akilo47,barcustAkilo47,,,,,,,,,,,,,,,,
barcust_asierra12,barcustAsierra12,,,,,,,,,,,,,,,,
barcust_beta,smBeta,,,,,,,,,,,,,,,,
barcust_cpapa,piCpapa,,,,,,,,,,,,,,,,
barcust_falpha,barlongFalpha,,,,,,,,,,,,,,,,
barcust_mike4,barcustMike4,barcustMike4v1,,,,,,,,,,,,,,,
barcust_papa90,barcustPapa90,,,,,,,,,,,,,,,,
barcust_uzulu,barshortUzulu,,,,,,,,,,,,,,,,
barcust2_mike4,barcust2Mike4,,,,,,,,,,,,,,,,
barheavy_shtgn,,,,,,,,,,,,,,,,,
barcust_romeo870,barcustRomeo870,,,barrelshortRomeo870,,,,,,,,,,,,,
barmid_oscar12,barmidOscar12,,,,,,,,,,,,,,,,
barheavy_silenced,,,,,,,,,,,,,,,,,
barcust2_mpapa5,barsilMpapa5,,,,,,,,,,,,,,,,
barsil_kilo433,barsilKilo433,,,,,,,,,,,,,,,,
barmid_mgolf34,barshortlmMgolf34,,,,,,,,,,,,,,,,
ventslide_papa320,ventslidePap320,,,,,,,,,,,,,,,,
barlight,DefaultSequence,,,,,,,,,,,,,,,,
barar_augolf,bararAugolf,,,smAugolfv1,,,bararAugolfv2,,,,,,,,,,
barlight_shtgn,DefaultSequence,,,,,,,,,,,,,,,,
barcust_charlie725,barcustCharlie725,,,,,,,,,,,,,,,,
barmid_dpapa12,barlongDpapa12,,,,,,,,,,,,,,,,
barlight_silenced,DefaultSequence,,,,,,,,,,,,,,,,
barsil_mcharlie,barsilMcharlie,,,,,,,,,,,,,,,,
barsil_mpapa5,barsilMpapa5,,,,,,,,,,,,,,,,
barlong_mgolf34,barlonglmMgolf34,,,,,,,,,,,,,,,,
barmid,DefaultSequence,,,,,,,,,,,,,,,,
barmid_alpha50,barmidAlpha50,,,,,,,,,,,,,,,,
barmid_augolf,bararAugolf,,,,,,,,,,,,,,,,
barmid_beta,barlongBeta,,,,,,,,,,,,,,,,
barmid_delta,snDelta,,,,,,,,,,,,,,,,
barmid_falima,barmidFalima,,,,,,,,,,,,,,,,
barmid_hdromeo,barmidHdromeo,barmidHdromeov1,,,,,,,,,,,,,,,
barmid_kilo121,barmidKilo121,barlongKilo121,barlongKilo121,,,,,,,,,,,,,,
barmid_kilo98,barmidKilo98,,,,,,,,,,,,,,,,
barmid_lima86,barmidLima86,,,,,,,,,,,,,,,,
barmid_mike14,barmidMike14,,,,,,,,,,,,,,,,
barmid_mike4,barmidMike4,,,,,barmidMike4v5,,,,,,,,,,,
barmid_mpapa7,barmidMpapa7,,,,,,,,,,,,,,,,
barmid_papa90,barmidPapa90,,,,,,,,,,,,,,,,
barmid_pkilo,barmidPkilo,,,,,,,,,,,,,,,,
barmid_sbeta,barlongSbeta,,,,,,,,,,,,,,,,
barmid_scharlie,barmidScharlie,,,,,,,,,,,,,,,,
barmid_uzulu,barmidUzulu,,,,,,,,,,,,,,,,
barmidpstl,DefaultSequence,,,,,,,,,,,,,,,,
barmid_decho,barmidDecho,barmidDechov1,,,,,,,,,,,,,,,
barmid_golf21,barmidGolf21,,,,,,,,,,,,,,,,
barmid_mike1911,barmidMike1911,,,,,,,barmidMike1911v1,barmidMike1911v1,,,,,,,,
barmid_papa320,piPapa320,,,,,,,,,,,,,,,,
barrail_mpapa5,barrailMpapa5,,,,barrailMpapa5v1,,,,,,,,,,,,
barlong,DefaultSequence,,,,,,,,,,,,,,,,
barlmg_akilo47,barrelLongAkilo47,,,,,,,,,,,,,,,,
barlmg_augolf,barlmgAugolf,,,,,,,,,,,,,,,,
barlong_asierra12,barlongAsierra12,barlongAsierra12v1,,,,,,,,,,,,,,,
barlong_beta,barlongBeta,,,,,,,,,,,,,,,,
barlong_falima,barlongFalima,barlongFalimav1,barlongFalimav2,,,,,,,,,,,,,,
barlong_falpha,barlongFalpha,,,,,,,,,,,,,,,,
barlong_kilo121,barlongKilo121,,,,,,,,,,,,,,,,
barlong_kilo433,barrelLongKilo433,,,,,,,,,,,,,,,,
barlong_kilo98,barlongKilo98,,,,,barlongKilo98v2,,,,,,,,,,,
barlong_lima86,barlongLima86,,,,,,,,,,,,,,,,
barlong_mcharlie,barlongMcharlie,,,,,,,,,,,,,,,,
barlong_mike14,barlongMike14,,barlongMike14v2,,,,,,,,,,,,,,
barlong_mike4,barrelLongMike4,,barcustMike4v2,barcustMike4v2,barcustMike4v2,barcustMike4v2,barcustMike4v2,,barcustMike4v2,,,,,,,,
barlong_mpapa5,barsilMpapa5,,,,,,,,,,,,,,,,
barlong_mpapa7,barlongMpapa7,,,,,,,,,,,,,,,,
barlong_papa90,barlongPapa90,smPapa90,,,,,,,,,,,,,,,
barlong_pkilo,barlongPkilo,,,,,,,,,,,,,,,,
barlong_sbeta,barlongSbeta,,,,,,,,,,,,,,,,
barlong_scharlie,barlongScharlie,,,,,,barlongScharliev2,,,,,,,,,,
barlong_shtgn,DefaultSequence,,,,,,,,,,,,,,,,
barlong_charlie725,shCharlie725,,,,,,,,,,,,,,,,
barlong_dpapa12,barlongDpapa12,,,,,,,,,,,,,,,,
barlong_oscar12,barlongOscar12,,,,,,,,,,,,,,,,
barlong_romeo870,barlongRomeo870,,,,,,,,,,,,,,,,
barlong_snpr,DefaultSequence,,,,,,,,,,,,,,,,
barlong_alpha50,barlongAlpha50,,,,,,,,,,,,,,,,
barlong_delta,snDelta,,,,,,,,,,,,,,,,
barlong_hdromeo,barlongHdromeo,,,,,,,,,,,,,,,,
barlong_uzulu,barlongUzulu,,barlongUzuluv2,,,,,,,,,,,,,,
barlongpstl,DefaultSequence,,,,,,,,,,,,,,,,
barlong_cpapa,piCpapaLong,piCpapaLongv1,,,,,,,,piCpapaLongv2,,,,,,,
barlong_decho,barlongDecho,,,,,,,,,,,,,,,,
barlong_golf21,piGolf21,,,,,,,,,,,,,,,,
barlong_mike1911,barlongMike1911,barlongMike1911v1,,,,,,,,,,,,,,,
barlong_papa320,barlongPapa320,,,,,,,,,,,,,,,,
barshort,barrelDefault,,,,,,,,,,,,,,,,
barshort_alpha50,barshortAlpha50,,,,,,,,,,,,,,,,
barshort_asierra12,barshortAsierra12,,,,,,,,,,,,,,,,
