DefaultSequence,Icon,,,,,1,ui_default_white,
laserDefault,Icon,0,0,0,0,1,,
laser,Icon,-33,31,44,76,1,icon_dyn_attachment_laser03,
laserpstl,Icon,-39,25,58,90,1,icon_dyn_attachment_laser_pstl,
laserpstl04,Icon,-16,16,56,88,1,icon_dyn_attachment_laser_pstl04,
laserpstl03,Icon,-32,32,53,85,1,icon_dyn_attachment_laser_pstl03,
laserads,Icon,-33,31,44,76,1,icon_dyn_attachment_laser03,
laserbar,Icon,-34,30,44,76,1,icon_dyn_attachment_laser_cylinder02,
laseradsBar,Icon,-33,31,44,76,1,icon_dyn_attachment_laser_cylinder01,
laserbalancedBar,Icon,-33,31,44,76,1,icon_dyn_attachment_laser_cylinder04,
laserbalanced,Icon,-33,31,44,76,1,icon_dyn_attachment_laser01,
laserir,Icon,-33,31,44,76,1,icon_dyn_attachment_laser02,
laserirBar,Icon,-33,31,44,76,1,icon_dyn_attachment_laser_cylinder01,
laserirpstl,Icon,-39,25,58,90,1,icon_dyn_attachment_laser_pstl02,
lasermic,Icon,-33,31,44,76,1,icon_dyn_attachment_laser_mic,
laserrange,Icon,-33,31,44,76,1,icon_dyn_attachment_laser02,
lasserrangeBar,Icon,-33,31,44,76,1,icon_dyn_attachment_laser_cylinder03,
laserpstlv1,Icon,-39,25,43,75,1,icon_dyn_attachment_laser_pstl03_papa320_v4,
laserbalancedpstlv1,Icon,-39,25,60,92,1,icon_dyn_attachment_laser_pstl_golf21_v5,
laserpstlv2,Icon,-28,36,52,84,1,icon_dyn_attachment_laser_pstl03_mike1911_v6,
laserbalancedpstlv2,Icon,-32,32,53,85,1,icon_dyn_attachment_laser_pstl02,
xtubeRomeo870,Icon,-43,21,27,91,1,icon_dyn_attachment_sh_romeo870_cutshells,
guardcustCharlie725v1,Icon,-257,255,-68,188,1,icon_dyn_attachment_sh_charlie725_guard_v2,
guardcustCharlie725,Icon,-129,127,-4,124,1,icon_dyn_attachment_sh_charlie725_forendtactical,
laserpstlv3,Icon,-30,34,55,87,1,icon_dyn_attachment_laser_pstl03_papa320_v4,
laserpstlv4,Icon,-49,15,56,88,1,icon_dyn_attachment_laser_pstl_cpapa_v8,
laserpstlv5,Icon,-39,25,53,85,1,icon_dyn_attachment_laser_pstl03_papa320_v4,
gripvertMike9,Icon,-73,183,26,154,1,icon_dyn_attachment_pi_mike9_trigcust02,
