0,war_idle_0,,,,,,,,iw7_mp_brodium_idle_warfighter,,,N,,,,Y,,,,,,
1,heavy_idle_0,,,,,,,,iw7_mp_brodium_idle_heavy,,,N,,,,Y,,,,,,
2,c6_idle_0,,,,,,,,iw7_mp_brodium_idle_synaptic,,,N,,,,Y,,,,,,
3,ftl_idle_0,,,,,,,,iw7_mp_brodium_idle_ftl,,,N,,,,Y,,,,,,
4,stryker_idle_0,,,,,,,,iw7_mp_brodium_idle_stryker,,,N,,,,Y,,,,,,
5,ghost_idle_0,,,,,,,,iw7_mp_brodium_idle_ghost,,,N,,,,Y,,,,,,
6,rig_neutral_idle_0,,,,,,,,iw7_mp_brodium_basic_idle_arms_down,,,N,,,,Y,,,,,,
7,war_walkin_0,,,,,,,,iw7_mp_brodium_warfighter_walk_to_stop,,,N,,,,Y,,,,,,
8,heavy_walkin_0,,,,,,,,iw7_mp_brodium_heavy_walk_to_stop,,,N,,,,Y,,,,,,
9,c6_walkin_0,,,,,,,,iw7_mp_brodium_synaptic_walk_to_stop,,,N,,,,Y,,,,,,
10,ftl_walkin_0,,,,,,,,iw7_mp_brodium_ftl_walk_to_stop,,,N,,,,Y,,,,,,
11,stryker_walkin_0,,,,,,,,iw7_mp_brodium_stryker_walk_to_stop,,,N,,,,Y,,,,,,
12,ghost_walkin_0,,,,,,,,iw7_mp_brodium_ghost_walk_to_stop,,,N,,,,Y,,,,,,
13,ftl_transin_0,,,,,,,,iw7_mp_brodium_idle_ftl_trans_in,,,N,,,,Y,,,,,,
14,ftl_transout_0,,,,,,,,iw7_mp_brodium_idle_ftl_trans_out,,,N,,,,Y,,,,,,
15,stryker_transin_0,,,,,,,,iw7_mp_brodium_idle_stryker_trans_in,,,N,,,,Y,,,,,,
16,stryker_transout_0,,,,,,,,iw7_mp_brodium_idle_stryker_trans_out,,,N,,,,Y,,,,,,
17,war_transin_0,,,,,,,,iw7_mp_brodium_idle_warfighter_trans_in,,,N,,,,Y,,,,,,
18,war_transout_0,,,,,,,,iw7_mp_brodium_idle_warfighter_trans_out,,,N,,,,Y,,,,,,
19,heavy_transin_0,,,,,,,,iw7_mp_brodium_idle_heavy_trans_in,,,N,,,,Y,,,,,,
20,heavy_transout_0,,,,,,,,iw7_mp_brodium_idle_heavy_trans_out,,,N,,,,Y,,,,,,
21,ghost_transin_0,,,,,,,,iw7_mp_brodium_idle_ghost_trans_in,,,N,,,,Y,,,,,,
22,ghost_transout_0,,,,,,,,iw7_mp_brodium_idle_ghost_trans_out,,,N,,,,Y,,,,,,
23,c6_transin_0,,,,,,,,iw7_mp_brodium_idle_synaptic_trans_in,,,N,,,,Y,,,,,,
24,c6_transout_0,,,,,,,,iw7_mp_brodium_idle_synaptic_trans_out,,,N,,,,Y,,,,,,
25,iw7_taunt_rare_6,LUA_MENU_MP/TAUNT_SHARP_SALUTE,LUA_MENU_MP/TAUNT_PH_DESC,0,archetype_assault,mission_team_jtf_wolverines_icon,,IW7_mp_taunt_salute,IW7_mp_taunt_salute,,LUA_MENU_MP/RIG_SUPPLY_DROP_UNLOCK_DESC,N,,,,,,,0.3,0.2,79,
26,iw7_taunt_rare_10,LUA_MENU_MP/TAUNT_PARADE_C6,LUA_MENU_MP/TAUNT_PH_DESC,0,archetype_scout,mission_team_jtf_wolverines_icon,,Iw7_mp_taunt_parade_rest01_synaptic,Iw7_mp_taunt_parade_rest01_synaptic,,LUA_MENU_MP/RIG_SUPPLY_DROP_UNLOCK_DESC,N,,,,,,,0.25,0.17,125,
