0,vindia_physics_mp,VEHICLES/APC,hud_icon_vehicle_apc,apc,VEHICLES/APC_DESC,,72,
1,vindia_physics_mp,VEHICLES/APC_RUS,hud_icon_vehicle_apc_rus,apc_rus,VEHICLES/APC_DESC,,72,
2,atango_physics_mp,VEHICLES/ATV,hud_icon_vehicle_atv,atv,VEHICLES/ATV_DESC,ui_mp_br_mapmenu_icon_vehicle_atv,72,
3,,VEHICLES/BIG_BIRD,hud_icon_vehicle_big_bird,,,,,
4,mkilo_physics_mp,VEHICLES/CARGO_TRUCK,hud_icon_vehicle_cargo_truck,cargo_truck,VEHICLES/CARGO_TRUCK_DESC,ui_mp_br_mapmenu_icon_vehicle_cargotruck,160,
5,,VEHICLES/COP_CAR,hud_icon_vehicle_cop_car,,,,,
6,,VEHICLES/HOOPTY,hud_icon_vehicle_hoopty,,,,,
7,,VEHICLES/HOOPTY_TRUCK,hud_icon_vehicle_hoopty_truck,,,,,
8,decho_physics_mp,VEHICLES/JEEP,hud_icon_vehicle_jeep,jeep,VEHICLES/JEEP_DESC,ui_mp_br_mapmenu_icon_vehicle_jeep,128,
9,,VEHICLES/LARGE_TRANSPORT,hud_icon_vehicle_large_transport,,,,,
10,veh_bradley_mp,VEHICLES_LIGHT_TANK,hud_icon_vehicle_tank,light_tank,VEHICLES/LIGHT_TANK_DESC,,72,
11,lbravo_physics_mp,VEHICLES/LITTLE_BIRD,hud_icon_vehicle_little_bird,little_bird,VEHICLES/LITTLE_BIRD_DESC,ui_mp_br_mapmenu_icon_vehicle_littlebird,72,
12,,VEHICLES/MED_TRANSPORT,hud_icon_vehicle_med_transport,,,,,
13,,VEHICLES/PICKUP_TRUCK,hud_icon_vehicle_pickup_truck,,,,,
14,tromeo_physics_mp,VEHICLES/TAC_ROVER,hud_icon_vehicle_tac_rover,tac_rover,VEHICLES/TAC_ROVER_DESC,ui_mp_br_mapmenu_icon_vehicle_tacrover,128,
15,,VEHICLES/TECHNICAL,hud_icon_vehicle_technical,,,,,
16,,VEHICLES/VAN,hud_icon_vehicle_van,,,,,
17,veh_chopper_support_dmz_mp,VEHICLES/LOOT_CHOPPER,hud_icon_vehicle_big_bird,,,,,
18,veh_radar_drone_recon_mp,SUPER_MP/RECON_DRONE,hud_icon_killstreak_radardrone_recon,,SUPER_MP/RECON_DRONE,hud_icon_killstreak_radardrone_recon,0,
19,veh_apache_plunder_mp,VEHICLES/LOOT_CHOPPER,hud_icon_vehicle_big_bird,,VEHICLES/LOOT_CHOPPER,ui_mp_br_mapmenu_icon_vehicle_plunderchopper,72,
