default,default,CAMOS/DEFAULT,menu_default_slot,,,,ui_default_white,0,,,,LUA_MENU/UNLOCKED_THROUGH_BUNDLE,
veh_atv_camo_001,atv,CAMOS/ATV_CAMO_001,ui_veh_atv_camo_001,veh8_mil_lnd_atango_skin1,,480000,ui_veh_atv_camo_showcase_001,0,STORE_FLAVOR/VEH_ATV_CAMO_001_FLAVOR,,,LUA_MENU/UNLOCKED_THROUGH_BP,
veh_atv_camo_002,atv,CAMOS/ATV_CAMO_002,ui_default_white,,,480001,ui_default_white,1,,,,LUA_MENU/UNLOCKED_THROUGH_BUNDLE,
veh_atv_camo_003,atv,CAMOS/ATV_CAMO_003,ui_default_white,,,480002,ui_default_white,1,,,,LUA_MENU/UNLOCKED_THROUGH_BUNDLE,
veh_atv_camo_004,atv,CAMOS/ATV_CAMO_004,ui_default_white,,,480003,ui_default_white,1,,,,LUA_MENU/UNLOCKED_THROUGH_BUNDLE,
veh_atv_camo_005,atv,CAMOS/ATV_CAMO_005,ui_veh_atv_camo_005,veh8_mil_lnd_atango_skin5,,480004,ui_veh_atv_camo_showcase_005,0,STORE_FLAVOR/VEH_ATV_CAMO_005_FLAVOR,,,LUA_MENU/UNLOCKED_THROUGH_BUNDLE,
veh_atv_camo_006,atv,CAMOS/ATV_CAMO_006,ui_default_white,,,480005,ui_default_white,1,,,,LUA_MENU/UNLOCKED_THROUGH_BUNDLE,
veh_atv_camo_007,atv,CAMOS/ATV_CAMO_007,ui_default_white,,,480006,ui_default_white,1,,,,LUA_MENU/UNLOCKED_THROUGH_BUNDLE,
veh_atv_camo_008,atv,CAMOS/ATV_CAMO_008,ui_default_white,,,480007,ui_default_white,1,,,,LUA_MENU/UNLOCKED_THROUGH_BUNDLE,
veh_atv_camo_009,atv,CAMOS/ATV_CAMO_009,ui_veh_atv_camo_009,veh8_mil_lnd_atango_skin9,,480008,ui_veh_atv_camo_showcase_009,0,STORE_FLAVOR/VEH_ATV_CAMO_009_FLAVOR,,,LUA_MENU/UNLOCKED_THROUGH_BUNDLE,
veh_atv_camo_010,atv,CAMOS/ATV_CAMO_031,ui_default_white,veh8_mil_lnd_atango_skin31,,480009,ui_default_white,1,,,,LUA_MENU/UNLOCKED_THROUGH_BUNDLE,
veh_atv_camo_011,atv,CAMOS/ATV_CAMO_030,ui_veh_atv_camo_030,veh8_mil_lnd_atango_skin30,,480010,ui_veh_atv_camo_showcase_030,0,STORE_FLAVOR/VEH_ATV_CAMO_030_FLAVOR,,,LUA_MENU/UNLOCKED_THROUGH_BP,
veh_atv_camo_012,atv,CAMOS/ATV_CAMO_020,ui_veh_atv_camo_020,veh8_mil_lnd_atango_skin20,,480011,ui_veh_atv_camo_showcase_020,0,STORE_FLAVOR/VEH_ATV_CAMO_020_FLAVOR,,,LUA_MENU/UNLOCKED_THROUGH_BUNDLE,
veh_atv_camo_013,atv,CAMOS/ATV_CAMO_029,ui_veh_atv_camo_029,veh8_mil_lnd_atango_skin29,,480012,ui_veh_atv_camo_showcase_029,0,,,,LUA_MENU/UNLOCKED_THROUGH_BUNDLE,
veh_atv_camo_014,atv,CAMOS/ATV_CAMO_028,ui_veh_atv_camo_028,veh8_mil_lnd_atango_skin28,,480013,ui_veh_atv_camo_showcase_028,0,STORE_FLAVOR/VEH_ATV_CAMO_028_FLAVOR,,,LUA_MENU/UNLOCKED_THROUGH_BUNDLE,
veh_atv_camo_015,atv,CAMOS/ATV_CAMO_027,ui_veh_atv_camo_027,veh8_mil_lnd_atango_skin27,,480014,ui_veh_atv_camo_showcase_027,0,STORE_FLAVOR/VEH_ATV_CAMO_027_FLAVOR,,,LUA_MENU/UNLOCKED_THROUGH_BUNDLE,
veh_atv_camo_016,atv,CAMOS/ATV_CAMO_026,ui_veh_atv_camo_026,veh8_mil_lnd_atango_skin26,,480015,ui_veh_atv_camo_showcase_026,0,STORE_FLAVOR/VEH_ATV_CAMO_026_FLAVOR,,,LUA_MENU/UNLOCKED_THROUGH_BP,
