0,*attackFactorMod,atv,tac_rover,jeep,cargo_truck,light_tank,apc_rus,little_bird,
1,atv,,,,,,,,
2,tac_rover,,,,,,,,
3,jeep,,,,,,,,
4,cargo_truck,,,,,,,,
5,light_tank,,,,,,,,
6,apc_rus,,,,,,,,
7,little_bird,,,,,,,,
8,cargo_train,,,,,,,,
9,*defenseFactorMod,,,,2,,,,
10,atv,,,,,,,,
11,*damageFactorLow,,,,,,,,
12,*damageFactorMedium,,,,,,,,
13,*damageFactorHigh,,,,,,,,
14,*damagePercentLow,,,,,,,,
15,*damagePercentMedium,,,,,,,,
16,*damagePercentHigh,,,,,,,,
17,*skipBurnDownLow,,,,,,,,
18,*skipBurnDownMedium,,,,,,,,
19,*skipBurnDownHigh,,,,,,,,
