indiana_dog,mp_fullbody_execution_dog_a,chr_menu_dog_idle_01,chr_menu_mp_squad_dog_01,,,,,chr_menu_dog_idle_01,
universal_dog_riley,mp_fullbody_execution_dog_riley,chr_menu_dog_idle_01,chr_menu_mp_squad_dog_01,,,,,chr_menu_dog_idle_01,
universal_dog_snow,mp_fullbody_execution_dog_snow,chr_menu_dog_idle_01,chr_menu_mp_squad_dog_01,,,,,chr_menu_dog_idle_01,
universal_hyena,mp_hyena_rig_skeleton,chr_menu_hyena_idle_01,chr_menu_mp_squad_hyena_01,,,,,chr_menu_hyena_idle_01,
universal_dog_malinois,mp_fullbody_execution_dog_malinois,chr_menu_dog_idle_01,chr_menu_mp_squad_dog_01,,,,,chr_menu_dog_idle_01,
raven,raven_perch,chr_menu_raven_idle_01,chr_menu_mp_squad_raven_01,chr_menu_mp_squad_raven_02,chr_menu_mp_squad_raven_03,chr_menu_mp_squad_raven_01,chr_menu_mp_squad_raven_03,chr_menu_raven_idle_01,
hawk,mp_hawk_perch,chr_menu_raven_idle_01,chr_menu_mp_squad_hawk_01,chr_menu_mp_squad_hawk_02,chr_menu_mp_squad_hawk_03,chr_menu_mp_squad_hawk_01,chr_menu_mp_squad_hawk_03,chr_menu_raven_idle_01,
universal_dog_hellhound,mp_fullbody_execution_dog_hellhound,chr_menu_dog_hellhound_idle_01,chr_menu_mp_squad_dog_hellhound_1,,,,,chr_menu_dog_idle_01,
vampire_bat,vampire_bat_perch,chr_menu_bat_idle_01,chr_menu_mp_squad_bat_01,chr_menu_mp_squad_bat_02,chr_menu_mp_squad_bat_03,chr_menu_mp_squad_bat_01,chr_menu_mp_squad_bat_03,chr_menu_bat_idle_01,
universal_hyena_albino,mp_hyena_albino_rig_skeleton,chr_menu_hyena_idle_01,chr_menu_mp_squad_hyena_01,,,,,chr_menu_hyena_idle_01,
