0,*weaponMod,*class,super_light,light,medium_light,medium,medium_heavy,heavy,super_heavy,*vehicle,little_bird,cargo_truck_mg,
1,mg,,0,0,0,0,0,0,0,,,,
2,rifle,,0,0,0,0,0,0,0,,,,
3,smg,,0,0,0,0,0,0,0,,,,
4,pistol,,0,0,0,0,0,0,0,,,,
5,spread,,0,0,0,0,0,0,0,,,,
6,sniper,,0,0,0,0,0,0,0,,,,
7,*weaponHPA,,,,,,,,,,,,
8,at_mine_mp,,100,100,100,100,90,80,60,,100,20,
9,at_mine_ap_mp,,100,100,100,100,90,80,60,,100,20,
10,iw8_la_gromeo_mp,,100,100,100,90,75,60,50,,90,10,
11,iw8_la_gromeoks_mp,,100,100,100,90,75,60,50,,90,10,
12,iw8_la_rpapa7_mp,,100,100,100,90,75,60,50,,90,10,
13,iw8_la_mike32_mp,,100,90,50,45,40,35,30,,45,5,
14,iw8_la_kgolf_mp,,100,100,100,90,75,60,50,,100,10,
15,iw8_la_juliet_mp,,100,100,100,100,100,100,100,,,10,
16,bradley_tow_proj_mp,,100,100,100,100,100,100,100,,,,
17,bradley_tow_proj_ks_mp,,100,100,100,100,100,100,100,,,,
18,cruise_proj_mp,,100,100,100,100,100,100,100,,,,
19,nuke_mp,,100,100,100,100,100,100,100,,,,
20,c4_mp_p,,100,100,100,100,90,80,60,,100,20,
21,claymore_mp,,100,100,100,100,90,80,60,,100,20,
22,molotov_mp,,90,45,45,30,30,18,18,,30,5,
23,toma_proj_mp,,100,100,100,90,75,60,50,,100,10,
24,artillery_mp,,100,100,100,90,75,60,50,,100,10,
25,lighttank_tur_mp,,,,,,,,,,,,
26,lighttank_tur_ks_mp,,,,,,,,,,,,
27,tur_apc_rus_mp,,,,,,,,,,,,
28,*weaponSkipBurnDown,,,,,,,,,,,,
29,at_mine_mp,,1,1,1,1,1,1,1,,,0,
30,at_mine_ap_mp,,1,1,1,1,1,1,1,,,0,
31,iw8_la_gromeo_mp,,1,1,1,1,1,1,1,,,0,
32,iw8_la_gromeoks_mp,,1,1,1,1,1,1,1,,,0,
33,iw8_la_rpapa7_mp,,1,1,1,1,1,1,1,,,0,
34,iw8_la_mike32_mp,,1,1,1,1,1,1,1,,,0,
35,iw8_la_kgolf_mp,,1,1,1,1,1,1,1,,,0,
36,iw8_la_juliet_mp,,1,1,1,1,1,1,1,,,0,
37,bradley_tow_proj_mp,,1,1,1,1,1,1,1,,,0,
38,bradley_tow_proj_ks_mp,,1,1,1,1,1,1,1,,,0,
39,cruise_proj_mp,,1,1,1,1,1,1,1,,,0,
