0,neck_stab,debug_only,EXECUTIONS/LYNCH_DEFAULT,0,200,0,5,icon_execution_base,4,EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_02,iw8_execution_knife_mp,EXECUTIONS/EXECUTION,icon_execution_base,-1,icon_execution_base,,,ui_default_white,
1,throat_cut,debug_only,EXECUTIONS/LYNCH_DEFAULT,0,200,0,5,icon_execution_base,4,EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,throat_cut,iw8_execution_knife_mp,EXECUTIONS/EXECUTION,icon_execution_base,-1,icon_execution_base,,,ui_default_white,
2,execution_temp_debug,debug_only,EXECUTIONS/LYNCH_DEFAULT,0,200,0,5,icon_execution_base,4,EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_temp_debug,iw8_execution_knife_mp,EXECUTIONS/EXECUTION,icon_execution_base,-1,icon_execution_base,,,ui_default_white,
3,execution_mp_western_charly_variant_2,charly_western,EXECUTIONS/CHARLY_VARIANT_2,0,800,0,3,icon_execution_base,3,EXECUTIONS/CHARLY_VARIANT_2_DESC,mp_execution_charly_03,execution_002,iw8_execution_iceaxe_mp,EXECUTIONS/EXECUTION,icon_execution_base,220078,ui_operator_execution_west_charly_3,,,ui_default_white,
4,execution_mp_western_murphy_variant_2,murphy_western,EXECUTIONS/MURPHY_VARIANT_2,1,500,0,4,icon_execution_base,2,EXECUTIONS/MURPHY_VARIANT_1_DESC,mp_execution_thorne_03,execution_005,iw8_execution_iceaxe_mp,EXECUTIONS/EXECUTION,icon_execution_base,220079,ui_operator_execution_west_thorne_3,,,ui_default_white,
5,execution_mp_western_otter_variant_2,otter_western,EXECUTIONS/OTTER_VARIANT_2,0,800,0,3,icon_execution_base,3,EXECUTIONS/OTTER_VARIANT_2_DESC,mp_execution_otter_03,execution_008,iw8_execution_iceaxe_mp,EXECUTIONS/EXECUTION,icon_execution_base,220080,ui_operator_execution_west_otter_3,,,ui_default_white,
6,execution_mp_western_wyatt_variant_2,wyatt_western,EXECUTIONS/WYATT_VARIANT_2,0,100,1,2,icon_execution_base,1,EXECUTIONS/WYATT_VARIANT_2_DESC,mp_execution_wyatt_03,execution_011,iw8_execution_shovel_mp,EXECUTIONS/EXECUTION,icon_execution_base,220081,ui_operator_execution_west_wyatt_3,,,ui_default_white,
7,execution_mp_western_wyatt_default,wyatt_western,EXECUTIONS/WYATT_DEFAULT,0,100,1,2,icon_execution_base,1,EXECUTIONS/WYATT_DEFAULT_DESC,mp_execution_wyatt_01,execution_009,iw8_execution_knife_mp,EXECUTIONS/EXECUTION,icon_execution_base,220000,ui_operator_execution_west_wyatt_1,,,ui_default_white,
8,execution_mp_western_wyatt_variant_1,wyatt_western,EXECUTIONS/WYATT_VARIANT_1,0,100,1,2,icon_execution_base,1,EXECUTIONS/WYATT_VARIANT_1_DESC,mp_execution_wyatt_02,execution_010,iw8_execution_cattleprod_mp,EXECUTIONS/EXECUTION,icon_execution_base,220038,ui_operator_execution_west_wyatt_2,,,ui_default_white,
9,execution_mp_eastern_spetsnaz_default,spetsnaz_eastern,EXECUTIONS/SPETSNAZ_DEFAULT,0,200,0,5,icon_execution_base,1,EXECUTIONS/SPETSNAZ_DEFAULT_DESC,mp_execution_nikto_01,execution_059,none,EXECUTIONS/EXECUTION,icon_execution_base,220039,ui_operator_execution_east_nikto_1,,,ui_default_white,
