FreePages,3777.250,
FreeCalcDelta,0.000,
FreeAfterBudgets,0.000,
Executable,193.602,
OSAllocations,328.965,
StreamRead,12.063,
StreamTotal,3777.250,
StreamAlwaysloaded,0.000,
StreamOptional,0.000,
StreamFree,3777.250,
StreamOverhead,0.000,
RenderTargets,16.000,
MemVirtual,0.188,
PMemCommitOnAlloc,361.563,
MemCardLarge,0.000,
LightGrid,0.000,
LightMap,0.000,
STTextureArrays,0.000,
CommonFastfiles,0.000,
LevelFastfiles,0.000,
PreloadFastfiles,0.000,
DevFastfiles,0.000,
UIFastfiles,0.000,
ServerFastfiles,0.000,
GPUTempFastfiles,0.000,
XPakWorkData,0.000,
TransientCommon,0.000,
TransientWorld,0.000,
TransientPhysics,0.000,
TransientInfil,0.000,
SDBanksProjection,0.000,
SDBanks,0.000,
SDBanksAlwaysloaded,0.000,
SDBanksTransient,0.000,
SDOtherCommit,0.000,
Normalization,0.000,
EmergencyMem,0.000,
