RenderTargets,Orbis,461,,,,
RenderTargets,Orbis,Dev,add_to,10,,
RenderTargets,Neo,679,,,,
RenderTargets,Durango,337,,,,
RenderTargets,Durango,brmap,353,,,
RenderTargets,Scorpio,1024,,,,
MemVirtual,53,,,,,
MemVirtual,MP,Server,add_to,175,,
MemVirtual,MP,Server,Dev,add_to,183,
MemVirtual,CP,Server,add_to,80,,
MemVirtual,CP,Server,Dev,add_to,197,
MemVirtual,FE,60,,,,
MemVirtual,FE,Dev,add_to,28,,
MemVirtual,trmap,add_to,20,,,
MemVirtual,add_to,7,,,,
MemVirtual,add_to,Dev,18,,,
MemVirtual,add_to,brmap,33,,,
MemVirtual,SP,136,,,,
MemVirtual,SP,Dev,211,,,
DevFastfiles,Dev,15,,,,
ServerFastfiles,MP,Server,1,,,
ServerFastfiles,CP,Server,10,,,
MemCardLarge,XB3,SP,40.2,,,
PMemCommitOnAlloc,since_boot,12,,,,
PMemCommitOnAlloc,since_boot,FE,20,,,
PMemCommitOnAlloc,since_boot,SP,6,,,
PMemCommitOnAlloc,since_boot,trmap,19,,,
PMemCommitOnAlloc,since_boot,trmap,Dev,23,,
PMemCommitOnAlloc,since_boot,brmap,46,,,
SDBanks,XB3,290,,,,
SDBanks,XB3,SP,410,,,
SDBanks,PS4,320,,,,
SDBanks,PS4,SP,440,,,
SDOtherCommit,10.5,,,,,
LightGrid,10,,,,,
LightGrid,trmap,Orbis,41,,,
LightGrid,trmap,Neo,80,,,
LightGrid,trmap,Durango,41,,,
LightGrid,trmap,Scorpio,110,,,
LightMap,40,,,,,
LightMap,SP,50,,,,
LightMap,trmap,Orbis,33,,,
LightMap,trmap,Neo,53,,,
LightMap,trmap,Durango,30,,,
LightMap,trmap,Scorpio,53,,,
