FreePages,3914.500,
FreeCalcDelta,0.000,
FreeAfterBudgets,0.000,
Executable,325.000,
OSAllocations,15.969,
StreamRead,4.063,
StreamTotal,3925.063,
StreamAlwaysloaded,0.000,
StreamOptional,0.000,
StreamFree,3914.500,
StreamOverhead,10.563,
RenderTargets,16.063,
MemVirtual,0.688,
PMemCommitOnAlloc,781.750,
MemCardLarge,0.000,
LightGrid,0.000,
LightMap,0.000,
STTextureArrays,0.000,
CommonFastfiles,0.000,
LevelFastfiles,0.000,
PreloadFastfiles,0.000,
DevFastfiles,0.000,
UIFastfiles,0.000,
ServerFastfiles,0.000,
GPUTempFastfiles,0.000,
XPakWorkData,0.000,
TransientCommon,0.000,
TransientWorld,0.000,
TransientPhysics,0.000,
TransientInfil,0.000,
SDBanksProjection,0.000,
SDBanks,0.000,
SDBanksAlwaysloaded,0.000,
SDBanksTransient,0.000,
SDOtherCommit,0.000,
Normalization,0.000,
EmergencyMem,0.000,
