FreePages,5973.125,
FreeCalcDelta,0.000,
FreeAfterBudgets,0.000,
Executable,432.984,
OSAllocations,423.160,
StreamRead,13.563,
StreamTotal,5983.688,
StreamAlwaysloaded,0.000,
StreamOptional,0.000,
StreamFree,5973.125,
StreamOverhead,10.563,
RenderTargets,63.813,
MemVirtual,0.688,
PMemCommitOnAlloc,790.813,
MemCardLarge,0.000,
LightGrid,0.000,
LightMap,0.000,
STTextureArrays,0.000,
CommonFastfiles,0.000,
LevelFastfiles,0.000,
PreloadFastfiles,0.000,
DevFastfiles,0.000,
UIFastfiles,0.000,
ServerFastfiles,0.000,
GPUTempFastfiles,0.000,
XPakWorkData,0.000,
TransientCommon,0.000,
TransientWorld,0.000,
TransientPhysics,0.000,
TransientInfil,0.000,
SDBanksProjection,0.000,
SDBanks,0.000,
SDBanksAlwaysloaded,0.000,
SDBanksTransient,0.000,
SDOtherCommit,0.000,
Normalization,0.000,
EmergencyMem,0.000,
