setchancecol,mp/loot/br/classic/lootset_global.csv,3,# global,,,,,,,,,,,,,,
setchancecol,mp/loot/br/classic/lootset_named_Location.csv,4,# named_Location,,,,,,,,,,,,,,
setchancecol,mp/loot/br/classic/lootset_extra_plunder.csv,5,# extra_plunder,,,,,,,,,,,,,,
setchancecol,mp/loot/br/classic/lootset_superstore.csv,6,# superstore,,,,,,,,,,,,,,
setchancecol,mp/loot/br/classic/lootset_cache_base.csv,7,# cache_base,,,,,,,,,,,,,,
setchancecol,mp/loot/br/classic/lootset_cache_lege.csv,8,# cache_lege,,,,,,,,,,,,,,
setchancecol,mp/loot/br/classic/lootset_cache_pe_chop.csv,9,# cache_pe_chop,,,,,,,,,,,,,,
setchancecol,mp/loot/br/classic/lootset_contract_asn.csv,10,# contract_asn,,,,,,,,,,,,,,
setchancecol,mp/loot/br/classic/lootset_contract_dom.csv,11,# contract_dom,,,,,,,,,,,,,,
setchancecol,mp/loot/br/classic/lootset_contract_scav1.csv,12,# contract_scav1,,,,,,,,,,,,,,
setchancecol,mp/loot/br/classic/lootset_contract_scav2.csv,13,# contract_scav2,,,,,,,,,,,,,,
setchancecol,mp/loot/br/classic/lootset_contract_scav3.csv,14,# contract_scav3,,,,,,,,,,,,,,
setchancecol,mp/loot/br/classic/lootset_bunkers.csv,15,# bunkers,,,,,,,,,,,,,,
setchancecol,mp/loot/br/classic/lootset_empty.csv,16,# N/A,,,,,,,,,,,,,,
Central Control,,,,,,,,,,,,,,,,,
chance,ammo,33,33,33,33,33,2,2,2,2,2,2,2,2,33,0,
chance,health,10,10,10,10,10,31,31,31,31,31,31,31,31,10,0,
chance,plunder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
chance,killstreak,0,0,0,0,0,3,3,3,3,3,3,3,3,5,0,
chance,lethal,7,7,7,7,7,14,14,14,14,14,14,14,14,7,0,
chance,tactical,7,7,7,7,7,14,14,14,14,14,14,14,14,7,0,
chance,super,3,3,3,3,3,22,22,22,22,22,22,22,22,3,0,
chance,weapon,25,25,25,25,25,7,7,7,7,7,7,7,7,25,0,
chance,gear,0,0,0,0,0,4,4,4,4,4,4,4,4,4,0,
chance,tablet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
chance,keycard,0,0,0,0,0,3,4,6,4,4,3,4,4,0,0,
item,brloot_ammo_12g,,15,15,15,15,15,15,15,15,15,15,15,15,15,0,
item,brloot_ammo_50cal,,23,23,23,23,23,23,23,23,23,23,23,23,23,0,
item,brloot_ammo_762,,30,30,30,30,30,30,30,30,30,30,30,30,30,0,
item,brloot_ammo_919,,23,23,23,23,23,23,23,23,23,23,23,23,23,0,
item,brloot_ammo_rocket,,9,9,9,9,9,9,9,9,9,9,9,9,9,0,
item,brloot_equip_gasmask,,0,100,100,100,100,100,100,100,100,100,100,100,100,0,
item,brloot_self_revive,,100,100,100,100,100,100,100,100,100,100,100,100,100,0,
rarity,0_lethal,,50,50,50,50,45,45,45,45,45,45,45,45,45,0,
rarity,1_lethal,,30,30,30,30,30,30,30,30,30,30,30,30,30,0,
rarity,2_lethal,,20,20,20,20,20,20,20,20,20,20,20,20,20,0,
rarity,3_lethal,,0,0,0,0,10,10,10,10,10,10,10,10,10,0,
rarity,4_lethal,,0,0,0,0,5,5,5,5,5,5,5,5,5,0,
rarity,0_tactical,,50,50,50,50,45,45,45,45,45,45,45,45,45,0,
rarity,1_tactical,,30,30,30,30,30,30,30,30,30,30,30,30,30,0,
rarity,2_tactical,,20,20,20,20,20,20,20,20,20,20,20,20,20,0,
rarity,3_tactical,,0,0,0,0,10,10,10,10,10,10,10,10,10,0,
rarity,4_tactical,,0,0,0,0,5,5,5,5,5,5,5,5,5,0,
rarity,0_super,,25,25,25,25,0,0,0,0,0,0,0,0,0,0,
rarity,1_super,,40,40,40,40,0,0,0,0,0,0,0,0,0,0,
