1,iw8_pi_golf21,rec front mag back ironsdefault,
2,iw8_pi_papa320,rec front mag ironsdefault,
3,iw8_pi_decho,rec front mag triggrip ironsdefault,
4,iw8_pi_mike1911,rec front mag triggrip ironsdefault,
5,iw8_pi_cpapa,rec front mag back ironsdefault,
6,,,
7,iw8_sm_mpapa5,rec front back mag selectsemi ironsdefault,
8,iw8_sm_beta,rec front back mag selectsemi ironsdefault,
9,iw8_sm_augolf,rec front mag gripdefault selectsemi ironsdefault,
10,iw8_sm_papa90,rec front mag selectsemi ironsdefault,
11,iw8_sm_mpapa7,rec front back mag selectsemi ironsdefault,
12,iw8_sm_uzulu,rec front back mag selectsemi ironsdefault,
13,iw8_sm_charlie9,rec front back mag triggrip selectsemi ironsdefault,
14,,,
15,iw8_me_riotshield,,
16,iw8_knife,,
17,iw8_me_tacknife,,
18,iw8_fists,,
19,iw8_knifestab,,
20,,,
21,iw8_ar_mike4,rec front back mag selectsemi ironsdefault,
22,iw8_ar_akilo47,rec front back mag selectsemi ironsdefault,
23,iw8_ar_asierra12,rec front mag toprail selectsemi ironsdefault,
24,iw8_ar_falpha,rec front mag toprail triggrip selectsemi ironsdefault,
25,iw8_ar_mcharlie,rec front back mag selectsemi ironsdefault,
26,iw8_ar_kilo433,rec front back mag selectsemi ironsdefault,
27,iw8_ar_falima,rec front back mag selectauto ironsdefault,
28,iw8_ar_scharlie,rec front back mag selectsemi ironsdefault,
29,,,
30,iw8_la_rpapa7,,
31,iw8_la_gromeo,scope,
32,iw8_la_juliet,scope,
33,iw8_la_kgolf,scope,
34,iw8_la_mike32,scope fastreload,
35,,,
36,iw8_sn_mike14,rec front reargrip mag ironsdefault,
37,iw8_sn_kilo98,rec front ironsdefault,
38,iw8_sn_sbeta,rec front back ironsdefault,
39,iw8_sn_alpha50,rec front back mag scope,
40,iw8_sn_delta,rec front back mag scope,
41,iw8_sn_hdromeo,rec front back mag scope,
42,iw8_sn_crossbow,rec front back mag scope,
43,,,
44,iw8_sh_dpapa12,rec front guard mag gripdefault ironsdefault,
45,iw8_sh_oscar12,rec front back mag gripdefault ironsdefault,
46,iw8_sh_charlie725,rec front back mag guard ironsdefault,
47,iw8_sh_romeo870,rec front back mag guardnogrip ironsdefault,
48,,,
49,iw8_lm_kilo121,rec front back mag ironsdefault,
50,iw8_lm_pkilo,rec front back mag ironsdefault,
51,iw8_lm_lima86,rec front mag selectsemi ironsdefault,
52,iw8_lm_mgolf34,rec front mag selectsemi ironsdefault,
53,iw8_lm_dblmg,,
54,,,
55,support_box_mp,,
56,iw8_cyberemp,,
57,specialty_null,,
58,none,,
59,briefcase_bomb_mp,,
