0,proxywar,LEVELS/PROXYWAR,sp_proxywar_cine_intro,3048,,LEVELS/PROXYWAR_DESC,LEVELS/PROXYWAR_LOCATION,mission_thumbnail_proxy_war,2762,802,42.446,44.193,globalLower,LEVELS/PROXYWAR_CHYRONDATE,LEVELS/PROXYWAR_CHYRONWHO,LEVELS/PROXYWAR_CHYRONSQUAD,LEVELS/PROXYWAR_CHYRONLOCATION,ui_sp_missionselect_fogofwar,
1,piccadilly,LEVELS/PICCADILLY,sp_piccadilly_cine_intro,2226,,LEVELS/PICCADILLY_DESC,LEVELS/PICCADILLY_LOCATION,mission_thumbnail_piccadilly,753,335,51.5101,-0.1338,uk,LEVELS/PICCADILLY_CHYRONDATE,LEVELS/PICCADILLY_CHYRONWHO,LEVELS/PICCADILLY_CHYRONSQUAD,LEVELS/PICCADILLY_CHYRONLOCATION,ui_sp_missionselect_picadilly,
2,safehouse,LEVELS/SAFEHOUSE,sp_safehouse_cine_intro,6075,,LEVELS/SAFEHOUSE_DESC,LEVELS/SAFEHOUSE_LOCATION,mission_thumbnail_safehouse,1804,413,42.9644,40.0973,urzikstan,LEVELS/SAFEHOUSE_CHYRONDATE,LEVELS/SAFEHOUSE_CHYRONWHO,LEVELS/SAFEHOUSE_CHYRONSQUAD,LEVELS/SAFEHOUSE_CHYRONLOCATION,ui_sp_missionselect_embedded,
3,safehouse_finale,LEVELS/SAFEHOUSEFINALE,sp_safehouse_finale_cine_intro,494,,LEVELS/SAFEHOUSEFINALE_DESC,LEVELS/SAFEHOUSEFINALE_LOCATION,mission_thumbnail_safehouse_finale,1832,401,42.9684,40.1577,urzikstan,LEVELS/SAFEHOUSEFINALE_CHYRONDATE,LEVELS/SAFEHOUSEFINALE_CHYRONWHO,LEVELS/SAFEHOUSEFINALE_CHYRONSQUAD,LEVELS/SAFEHOUSEFINALE_CHYRONLOCATION,ui_sp_missionselect_proxy_war,
4,townhoused,LEVELS/TOWNHOUSED,sp_townhoused_cine_intro,1235,,LEVELS/TOWNHOUSED_DESC,LEVELS/TOWNHOUSED_LOCATION,mission_thumbnail_red_crown,730,348,51.5074,-0.1278,uk,LEVELS/TOWNHOUSED_CHYRONDATE,LEVELS/TOWNHOUSED_CHYRONWHO,LEVELS/TOWNHOUSED_CHYRONSQUAD,LEVELS/TOWNHOUSED_CHYRONLOCATION,ui_sp_missionselect_cleanhouse,
5,marines,LEVELS/MARINES,sp_marines_cine_intro,4287,,LEVELS/MARINES_DESC,LEVELS/MARINES_LOCATION,mission_thumbnail_marines,1683,524,42.5935,39.5645,urzikstan,LEVELS/MARINES_CHYRONDATE,LEVELS/MARINES_CHYRONWHO,LEVELS/MARINES_CHYRONSQUAD,LEVELS/MARINES_CHYRONLOCATION,ui_sp_missionselect_huntingparty,
6,embassy,LEVELS/EMBASSY,sp_embassy_cine_intro,2487,,LEVELS/EMBASSY_DESC,LEVELS/EMBASSY_LOCATION,mission_thumbnail_embassy,1685,617,42.3747,39.4876,urzikstan,LEVELS/EMBASSY_CHYRONDATE,LEVELS/EMBASSY_CHYRONWHO,LEVELS/EMBASSY_CHYRONSQUAD,LEVELS/EMBASSY_CHYRONLOCATION,ui_sp_missionselect_theembassy,
7,highway,LEVELS/HIGHWAY,sp_highway_cine_intro,973,,LEVELS/HIGHWAY_DESC,LEVELS/HIGHWAY_LOCATION,mission_thumbnail_highway,1898,592,42.5328,40.2511,urzikstan,LEVELS/HIGHWAY_CHYRONDATE,LEVELS/HIGHWAY_CHYRONWHO,LEVELS/HIGHWAY_CHYRONSQUAD,LEVELS/HIGHWAY_CHYRONLOCATION,ui_sp_missionselect_highwayofdeath,
8,hometown,LEVELS/HOMETOWN,sp_hometown_cine_intro,228,,LEVELS/HOMETOWN_DESC,LEVELS/HOMETOWN_LOCATION,mission_thumbnail_hometown,1921,409,42.9202,40.4873,urzikstan,,,,,ui_sp_missionselect_hometown,
9,tunnels,LEVELS/TUNNELS,sp_tunnels_cine_intro,3359,,LEVELS/TUNNELS_DESC,LEVELS/TUNNELS_LOCATION,mission_thumbnail_zd30,2050,524,42.9443,40.9597,urzikstan,LEVELS/TUNNELS_CHYRONDATE,LEVELS/TUNNELS_CHYRONWHO,LEVELS/TUNNELS_CHYRONSQUAD,LEVELS/TUNNELS_CHYRONLOCATION,ui_sp_missionselect_thewolfsden,
10,captive,LEVELS/CAPTIVE,sp_captive_cine_intro,4152,,LEVELS/CAPTIVE_DESC,LEVELS/CAPTIVE_LOCATION,mission_thumbnail_captive,1916,434,42.8598,40.4818,urzikstan,LEVELS/CAPTIVE_CHYRONDATE,LEVELS/CAPTIVE_CHYRONWHO,LEVELS/CAPTIVE_CHYRONSQUAD,LEVELS/CAPTIVE_CHYRONLOCATION,ui_sp_missionselect_captive,
11,stpetersburg,LEVELS/STPETERSBURG,sp_stpetersburg_cine_intro,3464,,LEVELS/STPETERSBURG_DESC,LEVELS/STPETERSBURG_LOCATION,mission_thumbnail_stpetersburg,1841,3,59.9343,30.3351,globalUpper,LEVELS/STPETERSBURG_CHYRONDATE,LEVELS/STPETERSBURG_CHYRONWHO,LEVELS/STPETERSBURG_CHYRONSQUAD,LEVELS/STPETERSBURG_CHYRONLOCATION,ui_sp_missionselect_oldcomrades,
12,estate,LEVELS/ESTATE,sp_estate_cine_intro,3142,,LEVELS/ESTATE_DESC,LEVELS/ESTATE_LOCATION,mission_thumbnail_estate,1930,555,46.0951,28.6738,globalLower,LEVELS/ESTATE_CHYRONDATE,LEVELS/ESTATE_CHYRONWHO,LEVELS/ESTATE_CHYRONSQUAD,LEVELS/ESTATE_CHYRONLOCATION,ui_sp_missionselect_goingdark,
13,lab,LEVELS/LAB,sp_lab_cine_intro,6760,,LEVELS/LAB_DESC,LEVELS/LAB_LOCATION,mission_thumbnail_lab,2659,769,41.8478,43.405,globalLower,LEVELS/LAB_CHYRONDATE,LEVELS/LAB_CHYRONWHO,LEVELS/LAB_CHYRONSQUAD,LEVELS/LAB_CHYRONLOCATION,ui_sp_missionselect_intothefurnace,
