BLANK,BLANK,,,,
logo_iw_2019,logo,,320,80,
BLANK,BLANK,,,,
CREDITS/DEPT_STUDIOHEADS,dept,,,,
David Stohl,string,,,,
Patrick Kelly,string,,,,
CREDITS/DEPT_ENGINEERING,dept,,,,
Aisha Mandel,string,,,,
Akshaya Venugopal,string,,,,
Alberto Xavier Guerra Uvidia,string,,,,
Aleka McAdams,string,,,,
Aleksandar Krstikj,string,,,,
Andrew Thompson,string,,,,
Anthony Carotenuto,string,,,,
Benjamin Kutcher,string,,,,
Calvin Lin,string,,,,
Cody Malach,string,,,,
Daniel Duplaga,string,,,,
Daniel Nelson,string,,,,
Dong Jinghui,string,,,,
Duncan Adamson,string,,,,
Eric Fitch,string,,,,
Felipe Gomez-Frittelli,string,,,,
Garrett McKay,string,,,,
Gavin Pugh,string,,,,
Geoffrey Evans,string,,,,
Hari Khalsa,string,,,,
Ifedayo Isibor,string,,,,
James Hill,string,,,,
Jason Batchkoff,string,,,,
Jocelyn Chew,string,,,,
John Webb,string,,,,
Jose Manuel Marin Roman,string,,,,
Joshua Parker,string,,,,
Kamil Leniart,string,,,,
Koen Vroeijenstijn,string,,,,
Konrad Piechota,string,,,,
Koundinya Upadhyayula,string,,,,
Kyle McKisic,string,,,,
Kyle Turchik,string,,,,
Matthew Stine,string,,,,
Michael Boon,string,,,,
Michael Esposito,string,,,,
Michal Drobot,string,,,,
Michal Olejnik,string,,,,
Michal Szymczyk,string,,,,
Mitchell Sanborn,string,,,,
Nathan Silvers,string,,,,
Noah Kagan,string,,,,
Paul Kerby,string,,,,
Peter Pon,string,,,,
Piotr Brendel,string,,,,
Prashanthan Gunasingam,string,,,,
Raz Mardirossian,string,,,,
Rohit Ravishankar,string,,,,
Rulon Raymond,string,,,,
Sebastian Chain,string,,,,
Simon Cournoyer,string,,,,
Unnikrishnan Kirangattumana Vasudevan,string,,,,
Viktor Stepanov,string,,,,
Yang Li,string,,,,
Yenal Kal,string,,,,
Zhitao Zhao,string,,,,
CREDITS/DEPT_DESIGN,dept,,,,
Ajinkya Limaye,string,,,,
Alexander Norris,string,,,,
Alexander Roycewicz,string,,,,
