sp_proxywar_cine_intro,proxywar,CINEMATICS/PROXYWAR,CINEMATICS/PROXYWAR_DESC,cinematic_thumb_01,
sp_piccadilly_cine_intro,piccadilly,CINEMATICS/PICCADILLY,CINEMATICS/PICCADILLY_DESC,cinematic_thumb_02,
sp_safehouse_cine_intro,safehouse,CINEMATICS/SAFEHOUSE,CINEMATICS/SAFEHOUSE_DESC,cinematic_thumb_03,
sp_safehouse_finale_cine_intro,safehouse_finale,CINEMATICS/SAFEHOUSEFINALE,CINEMATICS/SAFEHOUSEFINALE_DESC,cinematic_thumb_04,
sp_townhoused_cine_intro,townhoused,CINEMATICS/TOWNHOUSED,CINEMATICS/TOWNHOUSED_DESC,cinematic_thumb_05,
sp_marines_cine_intro,marines,CINEMATICS/MARINES,CINEMATICS/MARINES_DESC,cinematic_thumb_06,
sp_embassy_cine_intro,embassy,CINEMATICS/EMBASSY,CINEMATICS/EMBASSY_DESC,cinematic_thumb_07,
sp_highway_cine_intro,highway,CINEMATICS/HIGHWAY,CINEMATICS/HIGHWAY_DESC,cinematic_thumb_08,
sp_tunnels_cine_intro,tunnels,CINEMATICS/TUNNELS,CINEMATICS/TUNNELS_DESC,cinematic_thumb_09,
sp_captive_cine_intro,captive,CINEMATICS/CAPTIVE,CINEMATICS/CAPTIVE_DESC,cinematic_thumb_10,
sp_stpetersburg_cine_intro,stpetersburg,CINEMATICS/STPETERSBURG,CINEMATICS/STPETERSBURG_DESC,cinematic_thumb_11,
sp_estate_cine_intro,estate,CINEMATICS/ESTATE,CINEMATICS/ESTATE_DESC,cinematic_thumb_12,
sp_lab_cine_intro,lab,CINEMATICS/LAB,CINEMATICS/LAB_DESC,cinematic_thumb_13,
sp_lab_cine_sacrifice,lab,CINEMATICS/SACRIFICE,CINEMATICS/SACRIFICE_DESC,cinematic_thumb_14,
sp_epilogue,lab,CINEMATICS/EPILOGUE,CINEMATICS/EPILOGUE_DESC,cinematic_thumb_15,
