0,weapon_assault,1,LUA_MENU/WEAPTYPE_SINGLE_AR,LUA_MENU/WEAPTYPE_AR,1,
1,weapon_smg,2,LUA_MENU/WEAPTYPE_SINGLE_SMG,LUA_MENU/WEAPTYPE_SMG,1,
2,weapon_lmg,1,LUA_MENU/WEAPTYPE_SINGLE_LMG,LUA_MENU/WEAPTYPE_LMG,1,
3,weapon_dmr,1,LUA_MENU/WEAPTYPE_SINGLE_DMR,LUA_MENU/WEAPTYPE_DMR,0,
4,weapon_sniper,1,LUA_MENU/WEAPTYPE_SINGLE_SNIPER,LUA_MENU/WEAPTYPE_SNIPER,1,
5,weapon_shotgun,2,LUA_MENU/WEAPTYPE_SINGLE_SHOTGUN,LUA_MENU/WEAPTYPE_SHOTGUN,1,
7,weapon_pistol,2,LUA_MENU/WEAPTYPE_SINGLE_HANDGUN,LUA_MENU/WEAPTYPE_HANDGUNS,1,
8,weapon_projectile,2,LUA_MENU/WEAPTYPE_SINGLE_LAUNCHER,LUA_MENU/WEAPTYPE_LAUNCHERS,0,
9,weapon_heavy,2,LUA_MENU/WEAPTYPE_SINGLE_LAUNCHER,LUA_MENU/WEAPTYPE_HEAVIES,1,
10,weapon_melee,2,LUA_MENU/WEAPTYPE_SINGLE_MELEE,LUA_MENU/WEAPTYPE_MELEES,0,
