1,Lab,burntbody_male,500_100_10,10_0_0,1,
2,Piccadilly,burntbody_male,-3249_-3559_10,80_0_0,1,
3,Piccadilly,burntbody_male,-2997_-3563_20,0_90_0,1,
4,Captive,burntbody_male,300_100_10,0_0_30,1,
5,Captive,burntbody_male,400_100_10,0_0_30,1,
6,Piccadilly,burntbody_male,-2650_-3570_30,0_90_0,1,
7,Piccadilly,burntbody_male,-2090_-1051_120,0_90_0,1,
8,Piccadilly,burntbody_male,-1593_2907_50,90_90_0,1,
9,Proxywar,burntbody_male,100_100_10,0_30_0,1,
10,Proxywar,burntbody_male,200_100_10,0_30_0,1,
11,safehouse,debris_override_deadbody_safehouse_female_01_cn,-1056.24_2660.66_-31.55,3.40891_87.777_-11.2439,1,
12,safehouse,debris_override_deadbody_safehouse_male_01_cn,-1047.23_2581.15_-24.3661,12.6176_176.377_2.61685,1,
13,safehouse,ee_construction_plywood_stacks_48height,-1334.647_2793.369_2.801,360.000_48.385_3.079,1,
14,safehouse,ee_construction_plywood_stacks_48height,-1299.329_2720.857_40.496,1.033_319.999_-178.768,1,
15,safehouse,ee_construction_plywood_stacks_48height,-1263.603_2756.889_44.997,355.109_137.185_178.818,1,
16,embassy,debris_override_me_sign_us_embassy_02_cn,-6315_-2300_176,0_180_90,1,
17,embassy,debris_override_sign_embassy_seal_plaque_01_cn,-6872_-2172_154,0_90_0,1,
18,embassy,debris_override_sign_embassy_seal_plaque_01_cn,-6526_-3007.5_104.5,0_180_0,1,
19,embassy,debris_override_sign_embassy_seal_plaque_01_cn,-6041.5_-2692_129,0_270_0,1,
20.embassy,debris_override_sign_embassy_seal_plaque_01_cn,-6048_-105.5_-498,0_180_0,1,,
21,embassy,debris_override_sign_embassy_seal_plaque_01_cn,-5993.5_-1540.5_-47.5,0_180_0,1,
22,embassy,debris_override_sign_embassy_seal_plaque_02_cn,-6651_-2300.5_116,0_90_0,1,
23,embassy,debris_override_sign_embassy_seal_plaque_03_cn,-6784_-2418.5_108.5,0_180_0,1,
24,embassy,debris_override_me_sign_us_embassy_01_cn,-6971_-2172_150,180_0_-90,1,
25,embassy,debris_override_me_sign_us_embassy_01_cn,-5994_-1639.5_-50.5,0_270_90,1,
26,embassy,debris_override_me_sign_us_embassy_01_small_cn,-6046_-2692_95.5,0_0_90,1,
27,mp_donetsk,debris_override_ee_sign_gov_police_03_cn,-33514.5_32940.5_830,0_343.595_0,1,
28,mp_donetsk,debris_override_ee_sign_gov_police_03_cn,46955_20000.5_-133.5,0_295.03_0,1,
29,mp_donetsk,debris_override_ee_sign_gov_police_03_cn,30864_-17394_-253,0_360_0,1,
30,mp_donetsk,debris_override_ee_sign_gov_police_03_cn,-11638_-4020.5_-193.5,0_360_0,1,
31,mp_donetsk,debris_override_ee_construction_liberation_monument_01_cn,26752_-14664_452,0_0_0,1,
32,Piccadilly,debris_override_uk_sign_piccadilly_eliots_01_cn,-1916.75_-2691.5_187.5,0_87.9797_90,1,
33,Piccadilly,debris_override_uk_sign_piccadilly_eliots_01_cn,-1909_-2451.5_197.5,0_87.9797_90,1,
34,Piccadilly,debris_override_uk_sign_piccadilly_eliots_01_nobacklight_cn,-1923.5_-2930.25_174.5,345.613_86.4954_83.5941,1,
35,safehouse,debris_override_deadbody_safehouse_female_04_cn,-1072.640_2523.380_-27.250,8.876_201.046_5.515,1,
36,safehouse,debris_override_deadbody_safehouse_male_04_cn,-1073.290_2475.070_-24.904,349.465_352.019_-1.744,1,
37,safehouse,debris_override_deadbody_safehouse_female_02_cn,-1130_2414.060_-28.024,349.482_291.696_4.158,1,
38,safehouse,debris_override_deadbody_safehouse_female_03_cn,-1085.990_2380.890_-18.463,2.367_76.767_-10.645,1,
