empty ,rec,front,back,mag,selectsemi,selectauto,ironsdefault,guard,guardnogrip,triggrip,toprail,reargrip,scope,fastreload,gripdefault,
weapon_assault,,,,,,,,,,,,,snprscope_mike14_ar,,,
weapon_smg,,,,,,,,,,,,,,,,
weapon_shotgun,,,,,,,,,,,,,,,,
weapon_lmg,,,,,,,,,,,,,snprscope_mike14_ar,,,
weapon_dmr,,,,,,,,,,,,,,,,
weapon_sniper,,,,,,,,,,,,,,,,
weapon_pistol,,,,,,,,,,,,,,,,
iw8_ar_mike4,rec_mike4,front_mike4,back_mike4,mag_mike4,,,ironsdefault_mike4,,,,,,snprscope_mike14_ar,,,
iw8_ar_akilo47,rec_akilo47,front_akilo47,back_akilo47,mag_akilo47,,,ironsdefault_akilo47,guard_akilo47,,,,,,,,
iw8_ar_asierra12,rec_asierra12,front_asierra12,,mag_asierra12,,,ironsdefault_asierra12,,,,toprail_asierra12,,custscope_asierra12,,,
iw8_ar_falpha,rec_falpha,front_falpha,,mag_falpha,selectsemi_falpha,,ironsdefault_falpha,,,triggrip_falpha,toprail_falpha,,,,,
iw8_ar_mcharlie,rec_mcharlie,front_mcharlie,back_mcharlie,mag_mcharlie,,,ironsdefault_mcharlie,,,,,,,,,
iw8_ar_kilo433,rec_kilo433,front_kilo433,back_kilo433,mag_kilo433,,,ironsdefault_kilo433,,,,,,,,,
iw8_ar_falima,rec_falima,front_falima,back_falima,mag_falima,,selectauto_falima,ironsdefault_falima,,,,,,,,,
iw8_ar_scharlie,rec_scharlie,front_scharlie,back_scharlie,mag_scharlie,,,ironsdefault_scharlie,,,,,,,,,
iw8_sm_mpapa5,rec_mpapa5,front_mpapa5,back_mpapa5,mag_mpapa5,,,ironsdefault_mpapa5,,,,,,,,,
iw8_sm_beta,rec_beta,front_beta,back_beta,mag_beta,,,ironsdefault_beta,,,,,,,,,
iw8_sm_augolf,rec_augolf,front_augolf,,mag_augolf,,,ironsdefault_augolf,,,,toprail_augolf,,,,gripcust_augolf,
iw8_sm_papa90,rec_papa90,front_papa90,,mag_papa90,,,ironsdefault_papa90,,,,,,custscope_papa90,,,
iw8_sm_mpapa7,rec_mpapa7,front_mpapa7,back_mpapa7,mag_mpapa7,,,ironsdefault_mpapa7,,,,,,,,,
iw8_sm_uzulu,rec_uzulu,front_uzulu,back_uzulu,mag_uzulu,,,ironsdefault_uzulu,,,,,,,,,
iw8_sm_charlie9,rec_charlie9,front_charlie9,back_charlie9,mag_charlie9,,,ironsdefault_charlie9,,,triggrip_charlie9,,,,,,
iw8_sm_victor,rec_victor,front_victor,back_victor,mag_victor,,,,,,,,,,,,
iw8_sh_dpapa12,rec_dpapa12,front_dpapa12,,ammo_dpapa12,,,ironsdefault_dpapa12,guard_dpapa12,,,,,,,gripcust_dpapa12,
iw8_sh_oscar12,rec_oscar12,front_oscar12,back_oscar12,mag_oscar12,,,ironsdefault_oscar12,,,,,,,,gripside_oscar12,
iw8_sh_charlie725,rec_charlie725,front_charlie725,back_charlie725,ammo_charlie725,,,ironsdefault_charlie725,guard_charlie725,,,,,custscope_charlie725,,,
iw8_sh_romeo870,rec_romeo870,front_romeo870,back_romeo870,ammo_romeo870,,,ironsdefault_romeo870,,grip_romeo870,,,,,,,
iw8_lm_kilo121,rec_kilo121,front_kilo121,back_kilo121,mag_kilo121,,,ironsdefault_kilo121,,,,,,,,,
iw8_lm_kilo121jugg,rec_kilo121,front_kilo121,back_kilo121,mag_kilo121,,,,,,,,,,,,
iw8_lm_dblmg,rec_kilo121,front_kilo121,back_kilo121,mag_kilo121,,,,,,,,,,,,
iw8_minigunksjugg,rec_kilo121,front_kilo121,back_kilo121,mag_kilo121,,,,,,,,,,,,
iw8_lm_pkilo,rec_pkilo,front_pkilo,back_pkilo,mag_pkilo,,,ironsdefault_pkilo,,,,,,,,,
iw8_lm_lima86,rec_lima86,front_lima86,,mag_lima86,,,ironsdefault_lima86,,,,,,,,,
iw8_lm_mgolf34,rec_mgolf34,front_mgolf34,back_mgolf34,mag_mgolf34,,,ironsdefault_mgolf34,,,,,,,,,
iw8_sn_mike14,rec_mike14,front_mike14,back_mike14,mag_mike14,,,ironsdefault_mike14,,,,,reargrip_mike14,snprscope_mike14,,,
iw8_sn_kilo98,rec_kilo98,front_kilo98,,,,,ironsdefault_kilo98,,,,,,snprscope_kilo98,,,
iw8_sn_sbeta,rec_sbeta,front_sbeta,reargrip_sbeta,,,,ironsdefault_sbeta,,,,,,snprscope_sbeta,,,
iw8_sn_alpha50,rec_alpha50,front_alpha50,back_alpha50,mag_alpha50,,,ironsdefault_alpha50,,,,,,snprscope_alpha50,,,
iw8_sn_delta,rec_delta,front_delta,back_delta,mag_delta,,,ironsdefault_delta,,,,,,snprscope_delta,,,
iw8_sn_hdromeo,rec_hdromeo,front_hdromeo,back_hdromeo,mag_hdromeo,,,ironsdefault_hdromeo,,,,,,snprscope_hdromeo,,,
iw8_sn_crossbow,rec_crossbow,wire_crossbow,back_crossbow,ammo_crossbow,,,,,,,,,custscope_crossbow,,,
iw8_pi_papa320,rec_papa320,slide_papa320,,mag_papa320,,,ironsdefault_papa320,,,,,,,,,
iw8_pi_cpapa,rec_cpapa,front_cpapa,backno_cpapa,ammo_cpapa,,,ironsdefault_cpapa,,,,,,custscope_cpapa,,,
iw8_pi_mike1911,rec_mike1911,slide_mike1911,,mag_mike1911,,,ironsdefault_mike1911,,,triggrip_mike1911,,,,,,
iw8_pi_golf21,rec_golf21,slide_golf21,backno_golf21,mag_golf21,,,ironsdefault_golf21,,,,,,,,,
iw8_pi_decho,rec_decho,slide_decho,,mag_decho,,,ironsdefault_decho,,,triggrip_decho,,,custscope_cpapa,,,
iw8_la_rpapa7,,,,,,,,,,,,,,,,
iw8_la_gromeo,,,,,,,,,,,,,lnchrscope_gromeo,,,
iw8_la_mike32,,,,,,,,,,,,,lnchrscope_mike32,speedloader_mike32,,
iw8_la_juliet,,,,,,,,,,,,,lnchrscope_juliet,,,
iw8_la_kgolf,,,,,,,,,,,,,lnchrscope_kgolf,,,
