a0,b1,c2,d3,e4,f5,g6,h7,i8,j9,k10,l11,m12,n13,o14,p15,q16,r17,s18,t19,u20,v21,w22,x23,y24,z25,aa26,bb27,cc28,
0,weapon_assault,WEAPON_BREN,iw6_cpbren_mp,iw6_alienbren,WEAPON_BREN,PERKS/AR_BREN,0,9,,xmags,barrelrange,grip,silencer,rof,reflex,eotech,firetypesingle,firetypeburst,fmj,,,,,,,,,,
1,weapon_assault,WEAPON_BREN,iw6_cpbrenx2_mp,iw6_alienbrenx2,WEAPON_BREN,PERKS/AR_BREN,0,9,,xmags,barrelrange,grip,silencer,rof,reflex,eotech,firetypesingle,firetypeburst,fmj,,,,,,,,,,
2,weapon_assault,WEAPON_BREN,iw6_cpbrenx3_mp,iw6_alienbrenx3,WEAPON_BREN,PERKS/AR_BREN,0,9,,xmags,barrelrange,grip,silencer,rof,reflex,eotech,firetypesingle,firetypeburst,fmj,,,,,,,,,,
3,weapon_assault,WEAPON_AK12,iw6_cpak12_mp,iw6_cpak12,WEAPON_AK12,PERKS/AR_AK12,0,9,,xmags,barrelrange,grip,silencer,rof,reflex,eotech,firetypesingle,firetypeburst,fmj,,,,,,,,,,
4,weapon_assault,WEAPON_AK12,iw6_cpak12x2_mp,iw6_cpak12x2,WEAPON_AK12,PERKS/AR_AK12,0,9,,xmags,barrelrange,grip,silencer,rof,reflex,eotech,firetypesingle,firetypeburst,fmj,,,,,,,,,,
5,weapon_assault,WEAPON_AK12,iw6_cpak12x3_mp,iw6_cpak12x3,WEAPON_AK12,PERKS/AR_AK12,0,9,,xmags,barrelrange,grip,silencer,rof,reflex,eotech,firetypesingle,firetypeburst,fmj,,,,,,,,,,
6,weapon_assault,WEAPON_SC2010,iw6_cpsc2010_mp,iw6_cpsc2010,WEAPON_SC2010,PERKS/AR_SC2010,0,9,,xmags,barrelrange,grip,silencer,rof,reflex,eotech,firetypesingle,firetypeburst,fmj,,1,,,,,,,,
7,weapon_assault,WEAPON_SC2010,iw6_cpsc2010x2_mp,iw6_cpsc2010x2,WEAPON_SC2010,PERKS/AR_SC2010,0,9,,xmags,barrelrange,grip,silencer,rof,reflex,eotech,firetypesingle,firetypeburst,fmj,,,,,,,,,,
8,weapon_assault,WEAPON_SC2010,iw6_cpsc2010x3_mp,iw6_cpsc2010x3,WEAPON_SC2010,PERKS/AR_SC2010,0,9,,xmags,barrelrange,grip,silencer,rof,reflex,eotech,firetypesingle,firetypeburst,fmj,,,,,,,,,,
9,weapon_assault,WEAPON_HONEYBADGER,iw6_cphoneybadger_mp,iw6_cphoneybadger,WEAPON_HONEYBADGER,PERKS/AR_HONEYBADGER,0,9,,xmags,barrelrange,grip,silencer,rof,reflex,eotech,firetypesingle,firetypeburst,fmj,,1,,,,,,,,
10,weapon_assault,WEAPON_HONEYBADGER,iw6_cphoneybadgerx2_mp,iw6_cphoneybadgerx2,WEAPON_HONEYBADGER,PERKS/AR_HONEYBADGER,0,9,,xmags,barrelrange,grip,silencer,rof,reflex,eotech,firetypesingle,firetypeburst,fmj,,,,,,,,,,
11,weapon_assault,WEAPON_HONEYBADGER,iw6_cphoneybadgerx3_mp,iw6_cphoneybadgerx3,WEAPON_HONEYBADGER,PERKS/AR_HONEYBADGER,0,9,,xmags,barrelrange,grip,silencer,rof,reflex,eotech,firetypesingle,firetypeburst,fmj,,,,,,,,,,
12,weapon_assault,DLC_WEAPON_1,iw6_aliendlc15_mp,iw6_aliendlc15,weapon_dlcweap01,DLC_WEAPON_1_DESC,0,9,,xmags,firetypeburst,grip,reflex,acog,eotech,thermal,flashsuppress,silencer,barrelrange,,,,,,,,,,
13,weapon_assault,WEAPON_ARX160,iw6_cparx_mp,iw6_cparx,WEAPON_ARX160,PERKS/AR_ARX160,0,9,,xmags,rof,barrelrange,grip,silencer,flashsuppress,firetypeburst,reflex,eotech,acog,,1,,,,,,,,
14,weapon_assault,WEAPON_ARX160,iw6_cparxx2_mp,iw6_cparxx2,WEAPON_ARX160,PERKS/AR_ARX160,0,9,,xmags,rof,barrelrange,grip,silencer,flashsuppress,firetypeburst,reflex,eotech,acog,,,,,,,,,,
15,weapon_assault,WEAPON_ARX160,iw6_cparxx3_mp,iw6_cparxx3,WEAPON_ARX160,PERKS/AR_ARX160,0,9,,xmags,rof,barrelrange,grip,silencer,flashsuppress,firetypeburst,reflex,eotech,acog,,,,,,,,,,
16,weapon_assault,DLC_WEAPON_1,iw6_altalienmaverick_mp,iw6_altalienmaverick,weapon_dlcweap01,DLC_WEAPON_1_DESC,0,9,,xmags,firetypeburst,grip,reflex,acog,eotech,thermal,flashsuppress,silencer,barrelrange,,,,,,,,,,
17,weapon_assault,DLC_WEAPON_1,iw6_arkaliendlc15_mp,iw6_arkaliendlc15,weapon_dlcweap01,DLC_WEAPON_1_DESC,0,9,,xmags,firetypeburst,grip,reflex,acog,eotech,thermal,flashsuppress,alienmuzzlebrake,barrelrange,,,,,,,,,,
