30000,wyatt_western_basic,2,0,0,1000,2,,,ui_loot_operator_west_wyatt_1_1,
30001,wyatt_western_a,2,50,10,1000,4,,,ui_loot_operator_west_wyatt_1_2,
30002,wyatt_western_b,2,50,10,1000,4,,,ui_loot_operator_west_wyatt_1_3,
30003,wyatt_western_c,0,50,10,0,4,,,ui_loot_operator_west_wyatt_2_1,
30004,wyatt_western_d,0,200,40,0,4,,,ui_loot_operator_west_wyatt_2_2,
30005,wyatt_western_e,0,200,40,0,4,,,ui_loot_operator_west_wyatt_2_3,
30006,wyatt_western_f,2,500,100,2000,4,,,ui_loot_operator_west_wyatt_3_1,
30007,wyatt_western_g,2,500,100,2000,4,,,ui_loot_operator_west_wyatt_3_2,
30008,wyatt_western_h,2,1000,200,2000,4,,,ui_loot_operator_west_wyatt_3_3,
30009,spetsnaz_eastern_basic,4,0,0,1000,2,,,ui_loot_operator_east_nikto_1_1,
30010,spetsnaz_eastern_a,4,50,10,4000,4,,,ui_loot_operator_east_nikto_2_1,
30011,spetsnaz_eastern_b,4,50,10,5000,4,,,ui_loot_operator_east_nikto_3_1,
30012,spetsnaz_eastern_c,4,50,10,6000,4,,,ui_loot_operator_east_nikto_4_1,
30013,spetsnaz_eastern_d,2,200,40,99,4,,,,
30014,spetsnaz_eastern_e,2,200,40,99,4,,,,
30015,spetsnaz_eastern_f,3,500,100,99,4,,,,
30016,spetsnaz_eastern_g,3,500,100,99,4,,,,
30017,spetsnaz_eastern_h,4,1000,200,99,4,,,,
30018,murphy_western_basic,0,0,0,0,2,,,ui_loot_operator_west_thorne_1_1,
30019,murphy_western_combat,0,50,10,0,4,,,ui_loot_operator_west_thorne_1_2,
30020,murphy_western_a,0,50,10,0,4,,,ui_loot_operator_west_thorne_1_3,
30021,murphy_western_b,2,50,10,2000,4,,,ui_loot_operator_west_thorne_2_1,
30022,murphy_western_c,2,200,40,2000,4,,,ui_loot_operator_west_thorne_2_2,
30023,murphy_western_d,2,200,40,2000,4,,,ui_loot_operator_west_thorne_2_3,
30024,murphy_western_camo,2,500,100,3000,4,,,ui_loot_operator_west_thorne_3_1,
30025,murphy_western_british,3,500,100,1000,4,,,ui_loot_operator_west_thorne_3_2,
30026,murphy_western_dayOfTheDead,2,1000,200,0,4,,,ui_loot_operator_west_thorne_3_3,
30027,dday_western_basic,0,0,0,0,2,,,ui_loot_operator_west_dday_1_1,
30028,dday_western_a,0,50,10,0,4,,,ui_loot_operator_west_dday_1_2,
