a0,b1,c2,d3,,,,,,,
0,9999,weapon,1,0,LOOT_MP/ITEM_TYPE_WEAPON,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,,
10000,19999,attachment,9,0,LOOT_MP/ATTACHMENT,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,,
20000,29999,operator,6,0,LOOT_MP/OPERATOR,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,,
30000,39999,operator_skin,7,0,LOOT_MP/OPERATOR_SKIN,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,,
40000,49999,accessory,8,0,LOOT_MP/WATCH,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,,
50000,59999,equipment,3,0,LOOT_MP/EQUIPMENT,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,,
60000,69999,perk,2,0,LOOT_MP/PERK,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,,
70000,79999,killstreak,4,0,LOOT_MP/STREAK,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,,
80000,89999,weapon_charm,14,0,LOOT_MP/CHARM,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,,
90000,99999,reticle,13,0,LOOT_MP/RETICLE,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,,
100000,109999,# Progression products - contains a mixture of items,99,1,,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,0,,
110000,119999,# SAS products - contains a mixture of items,99,1,,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,0,,
120000,129999,# USMC products - contains a mixture of items,99,1,,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,0,,
130000,139999,# FIVE products - contains a mixture of items,99,1,,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,0,,
140000,149999,# RUSF products - contains a mixture of items,99,1,,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,0,,
150000,159999,# SABF products - contains a mixture of items,99,1,,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,0,,
160000,169999,# SIX products - contains a mixture of items,99,1,,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,0,,
170000,179999,playercards,10,0,LOOT_MP/CALLING_CARD,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,,
