1008000,acog,0,0,0,0,111,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1008001,acoglight,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1008002,acog2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1008003,acog2light,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1008004,reflex,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1008005,reflexlight,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1008006,reflex2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1008007,reflex2light,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1008008,reflex3,0,0,0,0,217,1,525,2,528,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
1008009,reflex3light,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1008010,reflex4,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1008011,reflex4light,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1008012,reflexmini,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1008013,reflexmini2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1008014,reflexmini3,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1008015,holo,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1008016,hololight,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1008017,holo2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1008018,holo2light,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1008019,thermal,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1008020,thermal2,0,0,0,0,194,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
