12002000,ironsight,0,0,0,0,,,
12002001,ironsdefault,0,0,0,0,,,
12002002,reflexmini,0,0,0,0,,,
12002003,reflexmini2,0,0,0,0,,,
12002004,reflexmini3,0,0,0,0,,,
12002005,reflex,0,0,0,0,,,
12002006,reflex2,0,0,0,0,1003,1,
12002007,reflex3,0,0,0,0,,,
12002008,reflex4,0,0,0,0,,,
12002009,scope,0,0,0,0,,,
12002010,reflex5,0,0,0,0,,,
12002011,holo,0,0,0,0,,,
12002012,holo2,0,0,0,0,,,
12002013,holo3,0,0,0,0,,,
12002014,acog2,0,0,0,0,,,
12002015,acog,0,0,0,0,,,
12002016,scopenorail,0,0,0,0,,,
12002017,acog3,0,0,0,0,,,
12002018,acog4,0,0,0,0,,,
12002019,thermal,0,0,0,0,,,
12002020,thermal2,0,0,0,0,,,
12002021,thermal3,0,0,0,0,,,
12002022,thermalvz,0,0,0,0,,,
12002023,hybrid,0,0,0,0,,,
12002024,hybrid2,0,0,0,0,,,
12002025,hybrid3,0,0,0,0,,,
12002026,hybrid4,0,0,0,0,,,
12002027,vzscope,0,0,0,0,,,
12002028,silencer2,0,0,0,0,1003,1,
12002029,silencer,0,0,0,0,,,
12002030,silencer3,0,0,0,0,,,
12002031,silencer4,0,0,0,0,,,
12002032,brake,0,0,0,0,,,
12002033,comp,0,0,0,0,1004,1,
12002034,flashhider,0,0,0,0,,,
12002035,melee,0,0,0,0,,,
12002036,melee2,0,0,0,0,,,
12002037,choke,0,0,0,0,1005,1,
12002038,meleeub,0,0,0,0,,,
12002039,gripang,0,0,0,0,,,
12002040,gripangpro,0,0,0,0,,,
12002041,gripvert,0,0,0,0,1003,1,
12002042,gripcust,0,0,0,0,,,
12002043,gripcust2,0,0,0,0,,,
12002044,griprear,0,0,0,0,,,
12002045,gripvertpro,0,0,0,0,,,
12002046,gripdefault,0,0,0,0,,,
12002047,bipod,0,0,0,0,,,
12002048,gl,0,0,0,0,,,
12002049,ubshtgn02,0,0,0,0,,,
12002050,ubshtgn,0,0,0,0,,,
12002051,glsmoke,0,0,0,0,,,
12002052,glgas,0,0,0,0,,,
12002053,glconc,0,0,0,0,,,
12002054,glflash,0,0,0,0,,,
12002055,glincendiary,0,0,0,0,,,
12002056,glsemtex,0,0,0,0,,,
12002057,glsnap,0,0,0,0,,,
12002058,akimbo,0,0,0,0,,,
12002059,fmj,0,0,0,0,,,
12002060,xmags,0,0,0,0,,,
12002061,drums,0,0,0,0,1005,1,
12002062,xmagslrg,0,0,0,0,,,
12002063,vertmags,0,0,0,0,,,
12002064,calcust,0,0,0,0,1004,1,
12002065,smags,0,0,0,0,,,
12002066,calcust2,0,0,0,0,,,
12002067,laser,0,0,0,0,,,
12002068,laserir,0,0,0,0,,,
12002069,laserrange,0,0,0,0,,,
12002070,laserbalanced,0,0,0,0,1005,4,
12002071,laserads,0,0,0,0,,,
12002072,stockl,0,0,0,0,,,
12002073,stockcust,0,0,0,0,,,
12002074,stocks,0,0,0,0,1005,1,
12002075,stockfold,0,0,0,0,,,
12002076,pistolgrip02,0,0,0,0,,,
12002077,stockno,0,0,0,0,,,
12002078,guardlight,0,0,0,0,,,
12002079,stockh,0,0,0,0,1004,1,
12002080,pistolgrip03,0,0,0,0,1005,1,
12002081,pistolgrip01,0,0,0,0,,,
12002082,pistolgrip06,0,0,0,0,,,
12002083,pistolgrip04,0,0,0,0,,,
12002084,guardheavy,0,0,0,0,,,
12002085,guardcust,0,0,0,0,,,
12002086,calsmg,0,0,0,0,,,
12002087,calsmgdrums,0,0,0,0,,,
12002088,calar,0,0,0,0,,,
12002089,calsnpr,0,0,0,0,1003,1,
12002090,vertmags2,0,0,0,0,,,
12002091,calcustmags,0,0,0,0,,,
