430000,battlepass,0,4,0,activate_battlepass,3000001,20,1000,1000,1,430000,,,,,1,,BATTLEPASS/BATTLEPASS_PREMIUM,battlepass_purchase_image,SEASON1_END,,battlepass_season1,
430001,battlepass_20tiers,2,0,0,,,20,2400,2400,2,430000,430006,,,,1,,BATTLEPASS/BATTLEPASS_PREMIUM_BUNDLE,battlepass_purchase_image_bundle,SEASON1_END,,battlepass_season1,
430002,battlepass_skip1,1,2,1,skip_tier,3000002,20,150,100,1,430002,,,,,,,BATTLEPASS/1_TIER_SKIP,battlepass_purchase_image,,,,
430003,battlepass_skip2,1,3,2,skip_tier,3000003,20,300,200,1,430003,,,,,,,BATTLEPASS/2_TIER_SKIPS,battlepass_purchase_image,,,,
430004,battlepass_skip5,1,4,5,skip_tier,3000004,20,750,500,1,430004,,,,,,,BATTLEPASS/5_TIER_SKIPS,battlepass_purchase_image,,,,
430005,battlepass_skip10,1,4,10,skip_tier,3000005,20,1500,1000,1,430005,,,,,,,BATTLEPASS/10_TIER_SKIPS,battlepass_purchase_image,,,,
430006,battlepass_skip20,1,4,20,skip_tier,3000006,20,3000,2000,1,430006,,,,,,,BATTLEPASS/20_TIER_SKIPS,battlepass_purchase_image,,,,
430007,battlepass_skip50,1,4,50,skip_tier,3000007,20,7500,5000,1,430007,,,,,,,BATTLEPASS/50_TIER_SKIPS,battlepass_purchase_image,,,,
430008,battlepass_skip100,1,4,100,skip_tier,3000008,20,15000,10000,1,430008,,,,,,,BATTLEPASS/100_TIER_SKIPS,battlepass_purchase_image,,,,
431000,battlepass_s2,0,4,0,activate_battlepass_s2,3001001,20,1000,1000,1,431000,,,,,2,,BATTLEPASS/BATTLEPASS_PREMIUM,battlepass_purchase_image,SEASON2_END,,battlepass_season2,
431001,battlepass_s2_20tiers,2,0,0,,,20,2400,2400,2,431000,430006,,,,2,,BATTLEPASS/BATTLEPASS_PREMIUM_BUNDLE,battlepass_purchase_image_bundle,SEASON2_END,,battlepass_season2,
432000,battlepass_s3,0,4,0,activate_battlepass_s3,3002001,20,1000,1000,1,432000,,,,,3,,BATTLEPASS/BATTLEPASS_PREMIUM,battlepass_purchase_image,SEASON3_END,,battlepass_season3,
432001,battlepass_s3_20tiers,2,0,0,,,20,2400,2400,2,432000,430006,,,,3,,BATTLEPASS/BATTLEPASS_PREMIUM_BUNDLE,battlepass_purchase_image_bundle,SEASON3_END,,battlepass_season3,
433000,battlepass_s4,0,4,0,activate_battlepass_s4,3003001,20,1000,1000,2,433000,433002,,,,4,,BATTLEPASS/BATTLEPASS_PREMIUM,battlepass_purchase_image,SEASON4_END,433002,battlepass_season4,
433001,battlepass_s4_20tiers,2,0,0,,,20,2400,2400,3,433000,430006,433002,,,4,,BATTLEPASS/BATTLEPASS_PREMIUM_BUNDLE,battlepass_purchase_image_bundle,SEASON4_END,433002,battlepass_season4,
433002,battlepass_s4_tracker,3,0,0,,,0,0,0,1,,,,,,4,,,,,,battlepass_season4,
434000,battlepass_s5,0,4,0,activate_battlepass_s5,3004001,20,1000,1000,2,434000,434002,,,,5,,BATTLEPASS/BATTLEPASS_PREMIUM,battlepass_purchase_image,SEASON5_END,434002,battlepass_season5,
434001,battlepass_s5_20tiers,2,0,0,,,20,2400,2400,3,434000,430006,434002,,,5,,BATTLEPASS/BATTLEPASS_PREMIUM_BUNDLE,battlepass_purchase_image_bundle,SEASON5_END,434002,battlepass_season5,
434002,battlepass_s5_tracker,3,0,0,,,0,0,0,1,,,,,,5,,,,,,battlepass_season5,
435000,battlepass_s6,0,4,0,activate_battlepass_s6,3005001,20,1000,1000,2,435000,435002,,,,6,,BATTLEPASS/BATTLEPASS_PREMIUM,battlepass_purchase_image,SEASON6_END,435002,battlepass_season6,
435001,battlepass_s6_20tiers,2,0,0,,,20,2400,2400,3,435000,430006,435002,,,6,,BATTLEPASS/BATTLEPASS_PREMIUM_BUNDLE,battlepass_purchase_image_bundle,SEASON6_END,435002,battlepass_season6,
435002,battlepass_s6_tracker,3,0,0,,,0,0,0,1,,,,,,6,,,,,,battlepass_season6,
