1009000,acog,0,0,0,0,,,,,,,,,,,
1009001,acoglight,0,0,0,0,,,,,,,,,,,
1009002,acog2,0,0,0,0,,,,,,,,,,,
1009003,acog2light,0,0,0,0,,,,,,,,,,,
1009004,reflex,0,0,0,0,,,,,,,,,,,
1009005,reflexlight,0,0,0,0,,,,,,,,,,,
1009006,reflex2,0,0,0,0,117,6,315,7,,,,,,,
1009007,reflex2light,0,0,0,0,,,,,,,,,,,
1009008,reflex3,0,0,0,0,,,,,,,,,,,
1009009,reflex3light,0,0,0,0,,,,,,,,,,,
1009010,reflex4,0,0,0,0,,,,,,,,,,,
1009011,reflex4light,0,0,0,0,,,,,,,,,,,
1009012,reflexmini,0,0,0,0,116,2,,,,,,,,,
1009013,reflexmini2,0,0,0,0,,,,,,,,,,,
1009014,reflexmini3,0,0,0,0,,,,,,,,,,,
1009015,holo,0,0,0,0,114,4,115,5,,,,,,,
1009016,hololight,0,0,0,0,,,,,,,,,,,
1009017,holo2,0,0,0,0,,,,,,,,,,,
1009018,holo2light,0,0,0,0,,,,,,,,,,,
1009019,thermal,0,0,0,0,,,,,,,,,,,
1009020,thermal2,0,0,0,0,,,,,,,,,,,
1009021,thermalvz,0,0,0,0,,,,,,,,,,,
1009022,thermal2vz,0,0,0,0,,,,,,,,,,,
1009023,hybrid,0,0,0,0,,,,,,,,,,,
1009024,hybridlight,0,0,0,0,,,,,,,,,,,
1009025,hybrid2,0,0,0,0,,,,,,,,,,,
1009026,hybrid2light,0,0,0,0,,,,,,,,,,,
1009027,hybrid3,0,0,0,0,,,,,,,,,,,
1009028,hybrid3light,0,0,0,0,,,,,,,,,,,
1009029,hybrid4,0,0,0,0,196,2,,,,,,,,,
1009030,hybrid4light,0,0,0,0,,,,,,,,,,,
1009031,ironsight,0,0,0,0,,,,,,,,,,,
1009032,ironsdefault,0,0,0,0,,,,,,,,,,,
1009033,vzscope,0,0,0,0,,,,,,,,,,,
1009034,silencer,0,0,0,0,114,2,,,,,,,,,
1009035,silencer2,0,0,0,0,,,,,,,,,,,
1009036,silencer3,0,0,0,0,361,15,574,6,,,,,,,
1009037,gripvert,0,0,0,0,195,1,,,,,,,,,
1009038,gripang,0,0,0,0,,,,,,,,,,,
1009039,gripangpro,0,0,0,0,,,,,,,,,,,
1009040,gripcust,0,0,0,0,315,1,,,,,,,,,
1009041,gripdefault,0,0,0,0,,,,,,,,,,,
1009042,gripcust2,0,0,0,0,,,,,,,,,,,
1009043,bipod,0,0,0,0,,,,,,,,,,,
1009044,gl,0,0,0,0,,,,,,,,,,,
1009045,glsmoke,0,0,0,0,,,,,,,,,,,
1009046,glgas,0,0,0,0,,,,,,,,,,,
1009047,glconc,0,0,0,0,,,,,,,,,,,
1009048,akimbo,0,0,0,0,,,,,,,,,,,
1009049,fmj,0,0,0,0,,,,,,,,,,,
1009050,xmags,0,0,0,0,,,,,,,,,,,
1009051,drums,0,0,0,0,,,,,,,,,,,
