400000,MENU/BUNDLE_NAME_COLD_BLOOD,MENU/BUNDLE_DESCRIPTION_COLD_BLOOD,MENU/BUNDLE_FLAVOR_COLD_BLOOD,1000,MENU/BUNDLE_TYPE_OPERATOR,mw_store_billboard_coldblood,mw_store_billboard_preview_blur,mw_store_title_coldblood,20,2400,1800,,10,30120,50,222,246,40007,180187,170610,300132,220052,430002,1,20013,,,,,,,,,,,,,,,,,bundle_0000,,,,,,,,Hollywood,Arctic Masked,White,White,
400001,MENU/BUNDLE_NAME_MOTHER_RUSSIA,MENU/BUNDLE_DESCRIPTION_MOTHER_RUSSIA,MENU/BUNDLE_FLAVOR_MOTHER_RUSSIA,1000,MENU/BUNDLE_TYPE_OPERATOR,mw_store_billboard_mother_russia,mw_store_billboard_preview_blur,mw_store_title_mother_russia,20,2000,1400,,10,30287,177,81,40025,330108,180191,170248,300231,220062,430002,1,20023,,,,,,,,,,,,,,,,,bundle_0001,,,,,,,,Hollywood,Street,Dark,Dark,
400002,MENU/BUNDLE_NAME_THE_HUNTSMAN,MENU/BUNDLE_DESCRIPTION_THE_HUNTSMAN,MENU/BUNDLE_FLAVOR_THE_HUNTSMAN,1000,MENU/BUNDLE_TYPE_OPERATOR,mw_store_billboard_huntsman,mw_store_billboard_preview_blur,mw_store_title_huntsman,20,1800,1300,,9,30068,108,98,80097,330064,170611,300072,220046,430002,,1,20007,,,,,,,,,,,,,,,,,bundle_0002,,,,,,,,Mil-sim,Masked,Dark,Dark,
400003,MENU/BUNDLE_NAME_THE_UNSEEN,MENU/BUNDLE_DESCRIPTION_THE_UNSEEN,MENU/BUNDLE_FLAVOR_THE_UNSEEN,1000,MENU/BUNDLE_TYPE_OPERATOR,mw_store_billboard_unseen,mw_store_billboard_preview_blur,mw_store_title_unseen,20,1400,1000,,7,30191,130,80103,330079,190103,300210,220060,,,,1,20021,,,,,,,,,,,,,,,,,bundle_0003,,,,,,,,Hollywood,Camo Ghillie,Camo,Camo,
400004,MENU/BUNDLE_NAME_CLOAK_AND_DAGGER,MENU/BUNDLE_DESCRIPTION_CLOAK_AND_DAGGER,MENU/BUNDLE_FLAVOR_CLOAK_AND_DAGGER,1000,MENU/BUNDLE_TYPE_OPERATOR,mw_store_billboard_cloak_and_dagger,mw_store_billboard_preview_blur,mw_store_title_cloak_and_dagger,20,1800,1400,,8,30260,190,283,80098,330053,170250,300280,220067,,,1,20028,,,,,,,,,,,,,,,,,bundle_0004,,,,,,,,Hollywood,Street,Desert,Desert,
400005,MENU/BUNDLE_NAME_NIGHT_STALKER,MENU/BUNDLE_DESCRIPTION_NIGHT_STALKER,MENU/BUNDLE_FLAVOR_NIGHT_STALKER,1000,MENU/BUNDLE_TYPE_OPERATOR,mw_store_billboard_night_stalker,mw_store_billboard_preview_blur,mw_store_title_night_stalker,20,1500,1100,,7,30039,100,80092,170768,330060,300040,220043,,,,1,20004,,,,,,,,,,,,,,,,,bundle_0005,,,,,,,,Hollywood,Street,Camo,Camo,
400006,MENU/BUNDLE_NAME_THE_TEXAN,MENU/BUNDLE_DESCRIPTION_THE_TEXAN,MENU/BUNDLE_FLAVOR_THE_TEXAN,1000,MENU/BUNDLE_TYPE_OPERATOR,mw_store_billboard_texan,mw_store_billboard_preview_blur,mw_store_title_texan,20,1100,800,,7,30033,164,80008,170249,330001,300030,220042,,,,1,20003,,,,,,,,,,,,,,,,,bundle_0006,,,,,,,,Hollywood,Patriotic/Regional,Patriotic/Regional,Patriotic/Regional,
400007,MENU/BUNDLE_NAME_LONE_MARAUDER,MENU/BUNDLE_DESCRIPTION_LONE_MARAUDER,MENU/BUNDLE_FLAVOR_LONE_MARAUDER,1000,MENU/BUNDLE_TYPE_OPERATOR,mw_store_billboard_lone_marauder,mw_store_billboard_preview_blur,mw_store_title_lone_marauder,20,1500,1100,,8,30221,47,242,80036,170473,190038,300241,220063,,,1,20024,,,,,,,,,,,,,,,,,bundle_0007,,,,,,,,Hollywood,Masked,Wood,Wood,
400008,MENU/BUNDLE_NAME_HEAVY_HITTER,MENU/BUNDLE_DESCRIPTION_HEAVY_HITTER,MENU/BUNDLE_FLAVOR_HEAVY_HITTER,1000,MENU/BUNDLE_TYPE_OPERATOR,mw_store_billboard_heavy_hitter,mw_store_billboard_preview_blur,mw_store_title_heavy_hitter,20,1500,1100,,7,30279,173,80105,330023,170109,300303,220069,,,,1,20032,,,,,,,,,,,,,,,,,bundle_0008,,,,,,,,Mil-sim,Street,Camo,Camo,
400009,MENU/BUNDLE_NAME_THE_ROYAL_ARMORY_I,MENU/BUNDLE_DESCRIPTION_THE_ROYAL_ARMORY_I,MENU/BUNDLE_FLAVOR_THE_ROYAL_ARMORY_I,1000,MENU/BUNDLE_TYPE_WEAPON,mw_store_billboard_royal_armory_i,mw_store_billboard_preview_blur,mw_store_title_royal_armory_i,20,1600,800,,5,101,181,84,80002,330019,,,,,,0,,,,,,,,,,,,,,,,,,bundle_0009,,,,,,,,Hollywood,Wood,Wood,Wood,
