1015000,acog,0,0,0,0,695,11,696,12,,,,,,,,,,,,,,,,,,,,,,,,,
1015001,acoglight,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015002,acog2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015003,acog2light,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015004,reflex,0,0,0,0,697,9,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015005,reflexlight,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015006,reflex2,0,0,0,0,193,5,561,11,1011,12,,,,,,,,,,,,,,,,,,,,,,,
1015007,reflex2light,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015008,reflex3,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015009,reflex3light,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015010,reflex4,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015011,reflex4light,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015012,reflexmini,0,0,0,0,497,6,702,9,,,,,,,,,,,,,,,,,,,,,,,,,
1015013,reflexmini2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015014,reflexmini3,0,0,0,0,1186,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015015,holo,0,0,0,0,1060,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015016,hololight,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015017,holo2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015018,holo2light,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015019,thermal,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015020,thermal2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015021,thermalvz,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015022,thermal2vz,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015023,hybrid,0,0,0,0,704,9,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015024,hybridlight,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015025,hybrid2,0,0,0,0,191,6,192,5,,,,,,,,,,,,,,,,,,,,,,,,,
1015026,hybrid2light,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015027,hybrid3,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015028,hybrid3light,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015029,hybrid4,0,0,0,0,698,9,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015030,hybrid4light,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015031,ironsight,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015032,ironsdefault,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015033,vzscope,0,0,0,0,253,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015034,silencer,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015035,silencer2,0,0,0,0,498,11,561,9,,,,,,,,,,,,,,,,,,,,,,,,,
1015036,silencer3,0,0,0,0,694,15,704,1,,,,,,,,,,,,,,,,,,,,,,,,,
1015037,gripvert,0,0,0,0,558,6,704,11,1011,13,1033,1,1191,2,,,,,,,,,,,,,,,,,,,
1015038,gripang,0,0,0,0,192,3,497,8,498,10,700,1,703,2,,,,,,,,,,,,,,,,,,,
1015039,gripangpro,0,0,0,0,360,14,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015040,gripcust,0,0,0,0,191,8,499,10,695,14,1099,7,,,,,,,,,,,,,,,,,,,,,
1015041,gripdefault,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015042,gripcust2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015043,bipod,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015044,gl,0,0,0,0,45,1,1060,7,,,,,,,,,,,,,,,,,,,,,,,,,
1015045,glsmoke,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015046,glgas,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015047,glconc,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015048,akimbo,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015049,fmj,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015050,xmags,0,0,0,0,45,1,693,2,704,3,1099,4,1186,5,,,,,,,,,,,,,,,,,,,
1015051,drums,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015052,vertmags,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015053,laser,0,0,0,0,558,4,1011,5,,,,,,,,,,,,,,,,,,,,,,,,,
1015054,laserir,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015055,laserrange,0,0,0,0,701,14,1033,1,,,,,,,,,,,,,,,,,,,,,,,,,
1015056,laserbalanced,0,0,0,0,192,4,359,14,360,13,560,12,561,1,696,7,698,2,,,,,,,,,,,,,,,
1015057,laserads,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015058,stockl,0,0,0,0,43,1,193,2,498,3,558,4,697,5,,,,,,,,,,,,,,,,,,,
1015059,stockh,0,0,0,0,45,1,192,2,360,5,500,3,559,4,695,6,698,7,,,,,,,,,,,,,,,
1015060,stocks,0,0,0,0,46,1,358,2,359,6,497,3,499,4,560,5,561,8,693,9,696,7,703,12,1011,11,1060,13,1099,14,1186,15,
1015061,stockno,0,0,0,0,191,1,694,2,700,3,1033,4,,,,,,,,,,,,,,,,,,,,,
1015062,stockfold,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015063,stockcust,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015064,bolt,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015065,calsmg,0,0,0,0,193,2,360,3,1191,4,,,,,,,,,,,,,,,,,,,,,,,
1015066,calsmgdrums,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015067,calar,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015068,calsnpr,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015069,calcust,0,0,0,0,253,2,358,3,,,,,,,,,,,,,,,,,,,,,,,,,
1015070,calcust2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015071,barlong,0,0,0,0,253,2,358,3,359,4,694,7,695,5,696,6,698,8,1099,9,,,,,,,,,,,,,
1015072,barmid,0,0,0,0,43,1,44,2,46,3,497,4,499,5,558,7,560,6,703,9,1011,8,,,,,,,,,,,
1015073,barshort,0,0,0,0,193,1,360,2,561,3,697,4,1033,5,1191,6,,,,,,,,,,,,,,,,,
1015074,barshortnoguard,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015075,barcust,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015076,barcust2,0,0,0,0,45,1,500,2,559,3,693,4,700,5,1060,6,,,,,,,,,,,,,,,,,
1015077,triggripcust,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015078,triggrip,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015079,trigcust,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015080,trigcust02,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015081,trigcust03,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015082,trig,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015083,melee,0,0,0,0,558,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015084,brake,0,0,0,0,699,11,701,6,703,1,1191,2,,,,,,,,,,,,,,,,,,,,,
1015085,comp,0,0,0,0,358,13,359,11,497,10,500,1,700,2,,,,,,,,,,,,,,,,,,,
1015086,choke,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015087,linearbrake,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015088,rack,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015089,strap,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015090,semi,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015091,burst,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015092,auto,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015093,griprear,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015094,done,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015095,scope,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015096,scopenvg,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015097,scopenorail,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015098,toprailcust,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015099,recstocks,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015100,recstockl,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015101,recstockh,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015102,adsmove,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015103,adsidle,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015104,bling,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015105,crouchrecoil,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015106,fastswap,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015107,fastreload,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015108,flinch,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015109,hipaim,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015110,maxammo,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015111,gunperk_semi,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015112,gunperk_auto,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015113,gunperk_burst,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015114,gunperk_ricochet,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015115,gunperk_recoil,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015116,gunperk_rof,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015117,gunperk_adsup,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
