1036000,acog,0,0,0,0,,,,,,,,,,,,,,,
1036001,acoglight,0,0,0,0,,,,,,,,,,,,,,,
1036002,acog2,0,0,0,0,,,,,,,,,,,,,,,
1036003,acog2light,0,0,0,0,,,,,,,,,,,,,,,
1036004,reflex,0,0,0,0,,,,,,,,,,,,,,,
1036005,reflexlight,0,0,0,0,,,,,,,,,,,,,,,
1036006,reflex2,0,0,0,0,317,10,,,,,,,,,,,,,
1036007,reflex2light,0,0,0,0,,,,,,,,,,,,,,,
1036008,reflex3,0,0,0,0,,,,,,,,,,,,,,,
1036009,reflex3light,0,0,0,0,,,,,,,,,,,,,,,
1036010,reflex4,0,0,0,0,,,,,,,,,,,,,,,
1036011,reflex4light,0,0,0,0,,,,,,,,,,,,,,,
1036012,reflexmini,0,0,0,0,164,3,721,9,,,,,,,,,,,
1036013,reflexmini2,0,0,0,0,316,6,720,9,,,,,,,,,,,
1036014,reflexmini3,0,0,0,0,163,4,471,6,722,11,,,,,,,,,
1036015,holo,0,0,0,0,,,,,,,,,,,,,,,
1036016,hololight,0,0,0,0,,,,,,,,,,,,,,,
1036017,holo2,0,0,0,0,414,7,,,,,,,,,,,,,
1036018,holo2light,0,0,0,0,,,,,,,,,,,,,,,
1036019,thermal,0,0,0,0,,,,,,,,,,,,,,,
1036020,thermal2,0,0,0,0,,,,,,,,,,,,,,,
1036021,thermalvz,0,0,0,0,,,,,,,,,,,,,,,
1036022,thermal2vz,0,0,0,0,,,,,,,,,,,,,,,
1036023,hybrid,0,0,0,0,,,,,,,,,,,,,,,
1036024,hybridlight,0,0,0,0,,,,,,,,,,,,,,,
1036025,hybrid2,0,0,0,0,,,,,,,,,,,,,,,
1036026,hybrid2light,0,0,0,0,,,,,,,,,,,,,,,
1036027,hybrid3,0,0,0,0,,,,,,,,,,,,,,,
1036028,hybrid3light,0,0,0,0,,,,,,,,,,,,,,,
1036029,hybrid4,0,0,0,0,,,,,,,,,,,,,,,
1036030,hybrid4light,0,0,0,0,,,,,,,,,,,,,,,
1036031,ironsight,0,0,0,0,,,,,,,,,,,,,,,
1036032,ironsdefault,0,0,0,0,,,,,,,,,,,,,,,
1036033,vzscope,0,0,0,0,,,,,,,,,,,,,,,
1036034,silencer,0,0,0,0,719,1,,,,,,,,,,,,,
1036035,silencer2,0,0,0,0,201,1,,,,,,,,,,,,,
1036036,silencer3,0,0,0,0,264,2,265,1,645,3,721,4,,,,,,,
1036037,gripvert,0,0,0,0,414,1,471,2,,,,,,,,,,,
1036038,gripang,0,0,0,0,201,1,646,2,,,,,,,,,,,
1036039,gripangpro,0,0,0,0,163,1,,,,,,,,,,,,,
1036040,gripcust,0,0,0,0,263,1,719,2,,,,,,,,,,,
1036041,gripdefault,0,0,0,0,,,,,,,,,,,,,,,
1036042,gripcust2,0,0,0,0,,,,,,,,,,,,,,,
1036043,bipod,0,0,0,0,,,,,,,,,,,,,,,
1036044,gl,0,0,0,0,,,,,,,,,,,,,,,
1036045,glsmoke,0,0,0,0,,,,,,,,,,,,,,,
1036046,glgas,0,0,0,0,,,,,,,,,,,,,,,
1036047,glconc,0,0,0,0,,,,,,,,,,,,,,,
1036048,akimbo,0,0,0,0,,,,,,,,,,,,,,,
1036049,fmj,0,0,0,0,,,,,,,,,,,,,,,
1036050,xmags,0,0,0,0,,,,,,,,,,,,,,,
1036051,drums,0,0,0,0,,,,,,,,,,,,,,,
1036052,vertmags,0,0,0,0,,,,,,,,,,,,,,,
1036053,laser,0,0,0,0,264,1,721,3,,,,,,,,,,,
1036054,laserir,0,0,0,0,,,,,,,,,,,,,,,
1036055,laserrange,0,0,0,0,266,2,720,6,,,,,,,,,,,
1036056,laserbalanced,0,0,0,0,316,6,645,3,,,,,,,,,,,
1036057,laserads,0,0,0,0,,,,,,,,,,,,,,,
1036058,stockl,0,0,0,0,414,1,,,,,,,,,,,,,
1036059,stockh,0,0,0,0,166,1,,,,,,,,,,,,,
1036060,stocks,0,0,0,0,165,1,265,2,316,3,317,4,471,5,645,6,646,7,
1036061,stockno,0,0,0,0,164,1,201,2,264,4,266,3,719,5,724,6,,,
1036062,stockfold,0,0,0,0,,,,,,,,,,,,,,,
1036063,stockcust,0,0,0,0,,,,,,,,,,,,,,,
1036064,bolt,0,0,0,0,,,,,,,,,,,,,,,
1036065,calsmg,0,0,0,0,,,,,,,,,,,,,,,
1036066,calsmgdrums,0,0,0,0,,,,,,,,,,,,,,,
1036067,calar,0,0,0,0,,,,,,,,,,,,,,,
1036068,calsnpr,0,0,0,0,,,,,,,,,,,,,,,
1036069,calcust,0,0,0,0,,,,,,,,,,,,,,,
1036070,calcust2,0,0,0,0,263,3,265,1,316,2,724,4,,,,,,,
