1346000,acog,0,0,0,0,,,,,,,,,,,,,,,,,
1346001,acoglight,0,0,0,0,,,,,,,,,,,,,,,,,
1346002,acog2,0,0,0,0,,,,,,,,,,,,,,,,,
1346003,acog2light,0,0,0,0,,,,,,,,,,,,,,,,,
1346004,reflex,0,0,0,0,,,,,,,,,,,,,,,,,
1346005,reflexlight,0,0,0,0,,,,,,,,,,,,,,,,,
1346006,reflex2,0,0,0,0,,,,,,,,,,,,,,,,,
1346007,reflex2light,0,0,0,0,,,,,,,,,,,,,,,,,
1346008,reflex3,0,0,0,0,771,11,772,12,,,,,,,,,,,,,
1346009,reflex3light,0,0,0,0,,,,,,,,,,,,,,,,,
1346010,reflex4,0,0,0,0,,,,,,,,,,,,,,,,,
1346011,reflex4light,0,0,0,0,,,,,,,,,,,,,,,,,
1346012,reflexmini,0,0,0,0,348,3,,,,,,,,,,,,,,,
1346013,reflexmini2,0,0,0,0,,,,,,,,,,,,,,,,,
1346014,reflexmini3,0,0,0,0,347,12,773,11,969,14,975,4,,,,,,,,,
1346015,holo,0,0,0,0,,,,,,,,,,,,,,,,,
1346016,hololight,0,0,0,0,,,,,,,,,,,,,,,,,
1346017,holo2,0,0,0,0,,,,,,,,,,,,,,,,,
1346018,holo2light,0,0,0,0,,,,,,,,,,,,,,,,,
1346019,thermal,0,0,0,0,,,,,,,,,,,,,,,,,
1346020,thermal2,0,0,0,0,,,,,,,,,,,,,,,,,
1346021,thermalvz,0,0,0,0,,,,,,,,,,,,,,,,,
1346022,thermal2vz,0,0,0,0,,,,,,,,,,,,,,,,,
1346023,hybrid,0,0,0,0,,,,,,,,,,,,,,,,,
1346024,hybridlight,0,0,0,0,,,,,,,,,,,,,,,,,
1346025,hybrid2,0,0,0,0,974,5,,,,,,,,,,,,,,,
1346026,hybrid2light,0,0,0,0,,,,,,,,,,,,,,,,,
1346027,hybrid3,0,0,0,0,,,,,,,,,,,,,,,,,
1346028,hybrid3light,0,0,0,0,,,,,,,,,,,,,,,,,
1346029,hybrid4,0,0,0,0,657,8,,,,,,,,,,,,,,,
1346030,hybrid4light,0,0,0,0,,,,,,,,,,,,,,,,,
1346031,ironsight,0,0,0,0,,,,,,,,,,,,,,,,,
1346032,ironsdefault,0,0,0,0,,,,,,,,,,,,,,,,,
1346033,vzscope,0,0,0,0,,,,,,,,,,,,,,,,,
1346034,silencer,0,0,0,0,347,7,,,,,,,,,,,,,,,
1346035,silencer2,0,0,0,0,349,10,771,13,,,,,,,,,,,,,
1346036,silencer3,0,0,0,0,661,4,770,14,774,12,974,10,975,1,976,2,,,,,
1346037,gripvert,0,0,0,0,775,10,,,,,,,,,,,,,,,
1346038,gripang,0,0,0,0,659,15,770,9,773,2,774,3,970,1,972,4,,,,,
1346039,gripangpro,0,0,0,0,658,1,,,,,,,,,,,,,,,
1346040,gripcust,0,0,0,0,,,,,,,,,,,,,,,,,
1346041,gripdefault,0,0,0,0,,,,,,,,,,,,,,,,,
1346042,gripcust2,0,0,0,0,,,,,,,,,,,,,,,,,
1346043,bipod,0,0,0,0,,,,,,,,,,,,,,,,,
1346044,gl,0,0,0,0,,,,,,,,,,,,,,,,,
1346045,glsmoke,0,0,0,0,,,,,,,,,,,,,,,,,
1346046,glgas,0,0,0,0,,,,,,,,,,,,,,,,,
1346047,glconc,0,0,0,0,,,,,,,,,,,,,,,,,
