1210000,acog,0,0,0,0,621,13,,,,,,,,,,,,,,,,,,,
1210001,acoglight,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
1210002,acog2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
1210003,acog2light,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
1210004,reflex,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
1210005,reflexlight,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
1210006,reflex2,0,0,0,0,732,3,,,,,,,,,,,,,,,,,,,
1210007,reflex2light,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
1210008,reflex3,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
1210009,reflex3light,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
1210010,reflex4,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
1210011,reflex4light,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
1210012,reflexmini,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
1210013,reflexmini2,0,0,0,0,728,11,,,,,,,,,,,,,,,,,,,
1210014,reflexmini3,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
1210015,holo,0,0,0,0,529,11,618,1,,,,,,,,,,,,,,,,,
1210016,hololight,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
1210017,holo2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
1210018,holo2light,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
1210019,thermal,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
1210020,thermal2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
1210021,thermalvz,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
1210022,thermal2vz,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
1210023,hybrid,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
1210024,hybridlight,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
1210025,hybrid2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
1210026,hybrid2light,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
1210027,hybrid3,0,0,0,0,213,1,,,,,,,,,,,,,,,,,,,
1210028,hybrid3light,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
1210029,hybrid4,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
1210030,hybrid4light,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
1210031,ironsight,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
1210032,ironsdefault,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
1210033,vzscope,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
1210034,silencer,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
1210035,silencer2,0,0,0,0,213,9,,,,,,,,,,,,,,,,,,,
1210036,silencer3,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
1210037,gripvert,0,0,0,0,214,4,727,7,,,,,,,,,,,,,,,,,
1210038,gripang,0,0,0,0,213,5,620,1,732,3,,,,,,,,,,,,,,,
1210039,gripangpro,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
1210040,gripcust,0,0,0,0,619,13,,,,,,,,,,,,,,,,,,,
1210041,gripdefault,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
1210042,gripcust2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
1210043,bipod,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
1210044,gl,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
1210045,glsmoke,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
1210046,glgas,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
