210000,gesture000,0,0,0,0,0,
210001,gesture001,2,1000,200,0,1,
210002,gesture002,2,1000,200,1000,1,
210003,gesture003,2,1000,200,1000,1,
210004,gesture004,2,1000,200,1000,1,
210005,gesture023,0,0,0,0,0,
210006,gesture024,2,1000,200,0,1,
210007,gesture005,2,1000,200,1000,1,
210008,gesture006,2,1000,200,1000,1,
210009,gesture007,2,1000,200,1000,1,
210010,gesture008,2,1000,200,0,0,
210011,gesture009,2,1000,200,1000,1,
210012,gesture010,2,1000,200,0,0,
210013,gesture011,2,1000,200,0,0,
210014,gesture012,3,1000,200,2000,1,
210015,gesture013,2,1000,200,0,1,
210016,gesture014,2,1000,200,1000,1,
210017,gesture015,2,1000,200,3000,1,
210018,gesture016,2,1000,200,0,1,
210019,gesture017,2,1000,200,1000,1,
210020,gesture018,2,1000,200,0,1,
210021,gesture019,2,1000,200,0,1,
210022,gesture020,2,1000,200,0,1,
210023,gesture021,2,1000,200,0,1,
210024,gesture022,2,1000,200,0,1,
