60003,1,#(perk) killchain,
60018,1,#(perk) pointman,
70000,1,#all killstreaks,
70001,1,,
70002,1,,
70003,1,,
70004,1,,
70005,1,,
70006,1,,
70007,1,,
70008,1,,
70009,1,,
70010,1,,
70011,1,,
70012,1,,
70013,1,,
70014,1,,
70015,1,,
70016,1,,
70017,1,,
70018,1,,
70019,1,,
70020,1,,
70021,1,,
70022,1,,
70023,1,,
70024,1,,
70025,1,,
70026,1,,
70027,1,,
70028,1,,
70029,1,,
70030,1,,
70031,1,,
70032,1,,
70033,1,,
70034,1,,
70035,1,,
70036,1,,
280011,1,#(field upgrade) emp drone,
280018,1,#(field upgrade) tac insert,
350011,1,#(feature) perk specialist,
350012,1,#(feature) field upgrade pro,
