0,0,30432|30437|470000|350015|20037|20019|220124,0,105524,ch_quest078_stage001|ch_quest079_stage001,0,4,mw_battlepass_billboard_000_a|mw_battlepass_billboard_000_b|mw_battlepass_billboard_000_c|mw_battlepass_billboard_000_d,1|0|0|0,0|0|0|0,
1,105524,743,1,106383,,0,1,mw_battlepass_billboard_001,0,1,
2,211907,170141,0,107249,,0,1,mw_battlepass_billboard_002,0,0,
3,319156,200039,0,108123,,0,1,mw_battlepass_billboard_003,0,0,
4,427279,180268,0,109002,,0,1,mw_battlepass_billboard_004,0,0,
5,536281,666,0,109891,,0,1,mw_battlepass_billboard_005,0,1,
6,646172,350013,1,110785,,100,1,mw_battlepass_billboard_006,0,0,
7,756957,200038,0,111687,,0,1,mw_battlepass_billboard_007,0,0,
8,868644,274,0,112597,,0,1,mw_battlepass_billboard_008,0,1,
9,981241,480000,0,113513,,0,1,mw_battlepass_billboard_009,0,0,
10,1094754,30451,0,114438,ch_quest080_stage001,0,1,mw_battlepass_billboard_010,0,0,
11,1209192,330270,1,115369,,0,1,mw_battlepass_billboard_011,0,0,
12,1324561,350013,0,116309,,100,1,mw_battlepass_billboard_012,0,0,
13,1440870,200039,0,117256,,0,1,mw_battlepass_billboard_013,0,0,
14,1558126,190289,0,118210,,0,1,mw_battlepass_billboard_014,0,0,
15,1676336,631,1,119173,,0,1,mw_battlepass_billboard_015,1,1,
16,1795509,171224,0,120144,,0,1,mw_battlepass_billboard_016,0,0,
17,1915653,350013,0,121121,,100,1,mw_battlepass_billboard_017,0,0,
18,2036774,601,0,122108,,0,1,mw_battlepass_billboard_018,0,1,
19,2158882,220112,0,123102,,0,1,mw_battlepass_billboard_019,0,0,
20,2281984,30444|20033,0,124105,ch_quest081_stage001,0,1,mw_battlepass_billboard_020,0,1,
21,2406089,555,1,125114,,0,1,mw_battlepass_billboard_021,0,0,
22,2531203,200035,0,126134,,0,1,mw_battlepass_billboard_022,0,0,
23,2657337,350013,0,127161,,100,1,mw_battlepass_billboard_023,0,0,
24,2784498,80322,1,128196,,0,1,mw_battlepass_billboard_024,0,0,
25,2912694,200033,0,129239,,0,1,mw_battlepass_billboard_025,0,0,
26,3041933,480063,0,130292,,0,1,mw_battlepass_billboard_026,0,0,
27,3172225,344,0,131353,,0,1,mw_battlepass_billboard_027,0,1,
28,3303578,190362,1,132423,,0,1,mw_battlepass_billboard_028,0,0,
29,3436001,200002,0,133501,,0,1,mw_battlepass_billboard_029,0,0,
30,3569502,30466,0,134587,ch_quest082_stage001,0,1,mw_battlepass_billboard_030,0,0,
31,3704089,626,1,135684,,0,1,mw_battlepass_billboard_031,1,1,
32,3839773,350013,0,136788,,100,1,mw_battlepass_billboard_032,0,0,
33,3976561,171223,0,137902,,0,1,mw_battlepass_billboard_033,0,0,
34,4114463,40076,1,139025,,0,1,mw_battlepass_billboard_034,0,0,
35,4253488,749,0,140157,,0,1,mw_battlepass_billboard_035,0,1,
36,4393645,200036,0,141298,,0,1,mw_battlepass_billboard_036,0,0,
37,4534943,180261,1,142449,,0,1,mw_battlepass_billboard_037,0,0,
38,4677392,459,0,143608,,0,1,mw_battlepass_billboard_038,0,1,
39,4821000,480038,1,144778,,0,1,mw_battlepass_billboard_039,0,0,
40,4965778,30476|20026,0,145956,ch_quest083_stage001,0,1,mw_battlepass_billboard_040,0,0,
41,5111734,350013,0,147145,,100,1,mw_battlepass_billboard_041,0,0,
42,5258879,450,0,148343,,0,1,mw_battlepass_billboard_042,0,1,
43,5407222,200038,0,149551,,0,1,mw_battlepass_billboard_043,0,0,
44,5556773,330271,1,150769,,0,1,mw_battlepass_billboard_044,0,0,
45,5707542,373,0,151996,,0,1,mw_battlepass_billboard_045,0,1,
46,5859538,200030,0,153234,,0,1,mw_battlepass_billboard_046,0,0,
47,6012772,190364,0,154481,,0,1,mw_battlepass_billboard_047,0,0,
48,6167253,350013,1,155740,,100,1,mw_battlepass_billboard_048,0,0,
49,6322993,170144,0,157007,,0,1,mw_battlepass_billboard_049,0,0,
50,6480000,30469,0,158286,ch_quest084_stage001,0,1,mw_battlepass_billboard_050,0,0,
51,6638286,493,0,159574,,0,1,mw_battlepass_billboard_051,0,1,
52,6797860,180266,0,160874,,0,1,mw_battlepass_billboard_052,0,0,
53,6958734,200002,0,162184,,0,1,mw_battlepass_billboard_053,0,0,
54,7120918,80324,0,163504,,0,1,mw_battlepass_billboard_054,0,0,
55,7284422,223,1,164836,,0,1,mw_battlepass_billboard_055,0,1,
56,7449258,350013,0,166178,,100,1,mw_battlepass_billboard_056,0,0,
57,7615436,200039,0,167530,,0,1,mw_battlepass_billboard_057,0,0,
58,7782966,330272,0,168895,,0,1,mw_battlepass_billboard_058,0,0,
59,7951861,531,0,170270,,0,1,mw_battlepass_billboard_059,0,1,
60,8122131,30454|20005,0,171657,ch_quest085_stage001,0,1,mw_battlepass_billboard_060,0,0,
61,8293788,190339,1,173054,,0,1,mw_battlepass_billboard_061,0,0,
62,8466842,40081,0,174463,,0,1,mw_battlepass_billboard_062,0,0,
63,8641305,200032,0,175884,,0,1,mw_battlepass_billboard_063,0,0,
64,8817189,171218,1,177315,,0,1,mw_battlepass_billboard_064,0,0,
65,8994504,445,0,178760,,0,1,mw_battlepass_billboard_065,0,1,
66,9173264,350013,0,180215,,100,1,mw_battlepass_billboard_066,0,0,
67,9353479,180260,1,181682,,0,1,mw_battlepass_billboard_067,0,0,
68,9535161,200033,0,183162,,0,1,mw_battlepass_billboard_068,0,0,
69,9718323,80323,0,184653,,0,1,mw_battlepass_billboard_069,0,0,
70,9902976,30457,0,186157,ch_quest086_stage001,0,1,mw_battlepass_billboard_070,0,0,
71,10089133,331,0,187672,,0,1,mw_battlepass_billboard_071,0,1,
72,10276805,330273,1,189200,,0,1,mw_battlepass_billboard_072,0,0,
73,10466005,200038,0,190741,,0,1,mw_battlepass_billboard_073,0,0,
74,10656746,350013,0,192294,,100,1,mw_battlepass_billboard_074,0,0,
75,10849040,480097,0,193860,,0,1,mw_battlepass_billboard_075,0,0,
76,11042900,756,0,195438,,0,1,mw_battlepass_billboard_076,0,1,
77,11238338,170463,1,197030,,0,1,mw_battlepass_billboard_077,0,0,
78,11435368,200036,0,198633,,0,1,mw_battlepass_billboard_078,0,0,
79,11634001,180277,0,200251,,0,1,mw_battlepass_billboard_079,0,0,
80,11834252,30460|20032,0,201882,ch_quest087_stage001,0,1,mw_battlepass_billboard_080,0,0,
81,12036134,607,1,203525,,0,1,mw_battlepass_billboard_081,0,1,
82,12239659,350013,0,205183,,100,1,mw_battlepass_billboard_082,0,0,
83,12444842,200002,0,206853,,0,1,mw_battlepass_billboard_083,0,0,
84,12651695,80331,1,208537,,0,1,mw_battlepass_billboard_084,0,0,
85,12860232,632,0,210235,,0,1,mw_battlepass_billboard_085,1,1,
86,13070467,330274,0,211948,,0,1,mw_battlepass_billboard_086,0,0,
87,13282415,200039,0,213672,,0,1,mw_battlepass_billboard_087,0,0,
88,13496087,190287,1,215413,,0,1,mw_battlepass_billboard_088,0,0,
89,13711500,763,0,217167,,0,1,mw_battlepass_billboard_089,0,1,
90,13928667,30199|20022,0,218935,ch_quest088_stage001,0,1,mw_battlepass_billboard_090,0,0,
91,14147602,350013,0,220717,,100,1,mw_battlepass_billboard_091,0,0,
92,14368319,171220,0,222515,,0,1,mw_battlepass_billboard_092,0,0,
93,14590834,40077,0,224326,,0,1,mw_battlepass_billboard_093,0,0,
94,14815160,181003,1,226153,,0,1,mw_battlepass_billboard_094,0,0,
95,15041313,549,0,227994,,0,1,mw_battlepass_billboard_095,0,1,
96,15269307,200038,0,229851,,0,1,mw_battlepass_billboard_096,0,0,
97,15499158,80326,0,231722,,0,1,mw_battlepass_billboard_097,0,0,
98,15730880,350013,1,233609,,100,1,mw_battlepass_billboard_098,0,0,
99,15964489,330275,0,235511,,0,1,mw_battlepass_billboard_099,0,0,
100,16200000,30448|627|480058|181004|20037,0,0,ch_quest089_stage001,0,4,mw_battlepass_billboard_100|mw_battlepass_billboard_100_a|mw_battlepass_billboard_100_b|mw_battlepass_billboard_100_c,1|1|0|0,1|1|1|1,
