1030000,acog,0,0,0,0,204,1,,,,,,,,,,,,,
1030001,acoglight,0,0,0,0,,,,,,,,,,,,,,,
1030002,acog2,0,0,0,0,418,1,,,,,,,,,,,,,
1030003,acog2light,0,0,0,0,,,,,,,,,,,,,,,
1030004,reflex,0,0,0,0,,,,,,,,,,,,,,,
1030005,reflexlight,0,0,0,0,,,,,,,,,,,,,,,
1030006,reflex2,0,0,0,0,,,,,,,,,,,,,,,
1030007,reflex2light,0,0,0,0,,,,,,,,,,,,,,,
1030008,reflex3,0,0,0,0,,,,,,,,,,,,,,,
1030009,reflex3light,0,0,0,0,,,,,,,,,,,,,,,
1030010,reflex4,0,0,0,0,,,,,,,,,,,,,,,
1030011,reflex4light,0,0,0,0,,,,,,,,,,,,,,,
1030012,reflexmini,0,0,0,0,,,,,,,,,,,,,,,
1030013,reflexmini2,0,0,0,0,,,,,,,,,,,,,,,
1030014,reflexmini3,0,0,0,0,,,,,,,,,,,,,,,
1030015,holo,0,0,0,0,,,,,,,,,,,,,,,
1030016,hololight,0,0,0,0,,,,,,,,,,,,,,,
1030017,holo2,0,0,0,0,,,,,,,,,,,,,,,
1030018,holo2light,0,0,0,0,,,,,,,,,,,,,,,
1030019,thermal,0,0,0,0,562,1,,,,,,,,,,,,,
1030020,thermal2,0,0,0,0,,,,,,,,,,,,,,,
1030021,thermalvz,0,0,0,0,,,,,,,,,,,,,,,
1030022,thermal2vz,0,0,0,0,,,,,,,,,,,,,,,
1030023,hybrid,0,0,0,0,,,,,,,,,,,,,,,
1030024,hybridlight,0,0,0,0,,,,,,,,,,,,,,,
1030025,hybrid2,0,0,0,0,,,,,,,,,,,,,,,
1030026,hybrid2light,0,0,0,0,,,,,,,,,,,,,,,
1030027,hybrid3,0,0,0,0,,,,,,,,,,,,,,,
1030028,hybrid3light,0,0,0,0,,,,,,,,,,,,,,,
1030029,hybrid4,0,0,0,0,,,,,,,,,,,,,,,
1030030,hybrid4light,0,0,0,0,,,,,,,,,,,,,,,
1030031,ironsight,0,0,0,0,,,,,,,,,,,,,,,
1030032,ironsdefault,0,0,0,0,,,,,,,,,,,,,,,
1030033,vzscope,0,0,0,0,141,1,325,4,419,5,563,7,1108,10,,,,,
1030034,silencer,0,0,0,0,562,1,,,,,,,,,,,,,
1030035,silencer2,0,0,0,0,,,,,,,,,,,,,,,
1030036,silencer3,0,0,0,0,420,1,565,2,566,3,,,,,,,,,
1030037,gripvert,0,0,0,0,,,,,,,,,,,,,,,
1030038,gripang,0,0,0,0,,,,,,,,,,,,,,,
1030039,gripangpro,0,0,0,0,,,,,,,,,,,,,,,
1030040,gripcust,0,0,0,0,,,,,,,,,,,,,,,
1030041,gripdefault,0,0,0,0,,,,,,,,,,,,,,,
1030042,gripcust2,0,0,0,0,,,,,,,,,,,,,,,
1030043,bipod,0,0,0,0,142,1,325,3,562,4,,,,,,,,,
1030044,gl,0,0,0,0,,,,,,,,,,,,,,,
1030045,glsmoke,0,0,0,0,,,,,,,,,,,,,,,
1030046,glgas,0,0,0,0,,,,,,,,,,,,,,,
1030047,glconc,0,0,0,0,,,,,,,,,,,,,,,
1030048,akimbo,0,0,0,0,,,,,,,,,,,,,,,
1030049,fmj,0,0,0,0,,,,,,,,,,,,,,,
1030050,xmags,0,0,0,0,420,1,1108,2,,,,,,,,,,,
1030051,drums,0,0,0,0,,,,,,,,,,,,,,,
1030052,vertmags,0,0,0,0,,,,,,,,,,,,,,,
1030053,laser,0,0,0,0,,,,,,,,,,,,,,,
1030054,laserir,0,0,0,0,,,,,,,,,,,,,,,
1030055,laserrange,0,0,0,0,,,,,,,,,,,,,,,
1030056,laserbalanced,0,0,0,0,418,5,419,3,420,4,563,6,565,7,566,8,567,9,
1030057,laserads,0,0,0,0,,,,,,,,,,,,,,,
