1006000,acog,0,0,0,0,,,,,,,,,,,,,,,,,,,
1006001,acoglight,0,0,0,0,,,,,,,,,,,,,,,,,,,
1006002,acog2,0,0,0,0,443,1,,,,,,,,,,,,,,,,,
1006003,acog2light,0,0,0,0,,,,,,,,,,,,,,,,,,,
1006004,reflex,0,0,0,0,441,1,,,,,,,,,,,,,,,,,
1006005,reflexlight,0,0,0,0,,,,,,,,,,,,,,,,,,,
1006006,reflex2,0,0,0,0,101,1,354,2,,,,,,,,,,,,,,,
1006007,reflex2light,0,0,0,0,,,,,,,,,,,,,,,,,,,
1006008,reflex3,0,0,0,0,589,4,,,,,,,,,,,,,,,,,
1006009,reflex3light,0,0,0,0,,,,,,,,,,,,,,,,,,,
1006010,reflex4,0,0,0,0,,,,,,,,,,,,,,,,,,,
1006011,reflex4light,0,0,0,0,,,,,,,,,,,,,,,,,,,
1006012,reflexmini,0,0,0,0,440,5,,,,,,,,,,,,,,,,,
1006013,reflexmini2,0,0,0,0,,,,,,,,,,,,,,,,,,,
1006014,reflexmini3,0,0,0,0,,,,,,,,,,,,,,,,,,,
1006015,holo,0,0,0,0,510,10,,,,,,,,,,,,,,,,,
1006016,hololight,0,0,0,0,,,,,,,,,,,,,,,,,,,
1006017,holo2,0,0,0,0,,,,,,,,,,,,,,,,,,,
1006018,holo2light,0,0,0,0,,,,,,,,,,,,,,,,,,,
1006019,thermal,0,0,0,0,288,4,,,,,,,,,,,,,,,,,
1006020,thermal2,0,0,0,0,,,,,,,,,,,,,,,,,,,
1006021,thermalvz,0,0,0,0,,,,,,,,,,,,,,,,,,,
1006022,thermal2vz,0,0,0,0,,,,,,,,,,,,,,,,,,,
1006023,hybrid,0,0,0,0,,,,,,,,,,,,,,,,,,,
1006024,hybridlight,0,0,0,0,,,,,,,,,,,,,,,,,,,
1006025,hybrid2,0,0,0,0,103,6,590,1,,,,,,,,,,,,,,,
1006026,hybrid2light,0,0,0,0,,,,,,,,,,,,,,,,,,,
1006027,hybrid3,0,0,0,0,,,,,,,,,,,,,,,,,,,
1006028,hybrid3light,0,0,0,0,,,,,,,,,,,,,,,,,,,
1006029,hybrid4,0,0,0,0,,,,,,,,,,,,,,,,,,,
1006030,hybrid4light,0,0,0,0,,,,,,,,,,,,,,,,,,,
1006031,ironsight,0,0,0,0,,,,,,,,,,,,,,,,,,,
1006032,ironsdefault,0,0,0,0,,,,,,,,,,,,,,,,,,,
1006033,vzscope,0,0,0,0,,,,,,,,,,,,,,,,,,,
1006034,silencer,0,0,0,0,288,1,,,,,,,,,,,,,,,,,
1006035,silencer2,0,0,0,0,443,1,1120,2,,,,,,,,,,,,,,,
1006036,silencer3,0,0,0,0,441,1,442,2,587,3,,,,,,,,,,,,,
1006037,gripvert,0,0,0,0,587,7,588,15,1120,2,1121,14,,,,,,,,,,,
1006038,gripang,0,0,0,0,355,7,440,5,924,9,925,1,,,,,,,,,,,
1006039,gripangpro,0,0,0,0,288,13,443,6,,,,,,,,,,,,,,,
1006040,gripcust,0,0,0,0,100,9,442,4,,,,,,,,,,,,,,,
1006041,gripdefault,0,0,0,0,,,,,,,,,,,,,,,,,,,
1006042,gripcust2,0,0,0,0,,,,,,,,,,,,,,,,,,,
1006043,bipod,0,0,0,0,,,,,,,,,,,,,,,,,,,
1006044,gl,0,0,0,0,,,,,,,,,,,,,,,,,,,
1006045,glsmoke,0,0,0,0,,,,,,,,,,,,,,,,,,,
1006046,glgas,0,0,0,0,,,,,,,,,,,,,,,,,,,
1006047,glconc,0,0,0,0,,,,,,,,,,,,,,,,,,,
1006048,akimbo,0,0,0,0,,,,,,,,,,,,,,,,,,,
1006049,fmj,0,0,0,0,,,,,,,,,,,,,,,,,,,
1006050,xmags,0,0,0,0,101,1,102,2,104,4,290,3,354,6,443,5,925,7,926,9,1121,8,
1006051,drums,0,0,0,0,,,,,,,,,,,,,,,,,,,
1006052,vertmags,0,0,0,0,,,,,,,,,,,,,,,,,,,
1006053,laser,0,0,0,0,586,2,,,,,,,,,,,,,,,,,
1006054,laserir,0,0,0,0,,,,,,,,,,,,,,,,,,,
1006055,laserrange,0,0,0,0,,,,,,,,,,,,,,,,,,,
1006056,laserbalanced,0,0,0,0,588,6,589,12,925,11,1121,14,,,,,,,,,,,
1006057,laserads,0,0,0,0,,,,,,,,,,,,,,,,,,,
1006058,stockl,0,0,0,0,104,3,290,2,,,,,,,,,,,,,,,
1006059,stockh,0,0,0,0,289,2,441,3,443,4,590,5,1120,7,1121,6,,,,,,,
1006060,stocks,0,0,0,0,101,1,288,2,354,6,355,3,440,4,442,7,510,5,,,,,
1006061,stockno,0,0,0,0,100,1,102,2,103,3,586,4,587,5,924,6,925,7,926,8,,,
1006062,stockfold,0,0,0,0,,,,,,,,,,,,,,,,,,,
1006063,stockcust,0,0,0,0,,,,,,,,,,,,,,,,,,,
1006064,bolt,0,0,0,0,,,,,,,,,,,,,,,,,,,
1006065,calsmg,0,0,0,0,,,,,,,,,,,,,,,,,,,
1006066,calsmgdrums,0,0,0,0,,,,,,,,,,,,,,,,,,,
1006067,calar,0,0,0,0,,,,,,,,,,,,,,,,,,,
1006068,calsnpr,0,0,0,0,,,,,,,,,,,,,,,,,,,
1006069,calcust,0,0,0,0,103,1,288,2,289,3,355,5,441,6,586,7,587,8,924,9,1120,10,
1006070,calcust2,0,0,0,0,,,,,,,,,,,,,,,,,,,
1006071,barlong,0,0,0,0,,,,,,,,,,,,,,,,,,,
1006072,barmid,0,0,0,0,100,3,101,1,102,2,354,5,441,4,924,6,926,7,,,,,
1006073,barshort,0,0,0,0,104,3,289,2,290,1,355,4,,,,,,,,,,,
1006074,barshortnoguard,0,0,0,0,,,,,,,,,,,,,,,,,,,
1006075,barcust,0,0,0,0,,,,,,,,,,,,,,,,,,,
1006076,barcust2,0,0,0,0,,,,,,,,,,,,,,,,,,,
1006077,triggripcust,0,0,0,0,,,,,,,,,,,,,,,,,,,
