1,iw8_pi_golf21,0,0,0,0,iw8_pi_golf21_variant_0,
2,iw8_pi_papa320,0,0,0,0,iw8_pi_papa320_variant_0,
3,iw8_pi_decho,0,0,0,0,iw8_pi_decho_variant_0,
4,iw8_pi_mike1911,0,0,0,0,iw8_pi_mike1911_variant_0,
5,iw8_pi_cpapa,0,0,0,0,iw8_pi_cpapa_variant_0,
6,iw8_sm_mpapa5,0,0,0,0,iw8_sm_mpapa5_variant_0,
7,iw8_sm_beta,0,0,0,0,iw8_sm_beta_variant_0,
8,iw8_sm_augolf,0,0,0,0,iw8_sm_augolf_variant_0,
9,iw8_sm_papa90,0,0,0,0,iw8_sm_papa90_variant_0,
10,iw8_sm_mpapa7,0,0,0,0,iw8_sm_mpapa7_variant_0,
11,iw8_sm_uzulu,0,0,0,0,iw8_sm_uzulu_variant_0,
13,iw8_me_riotshield,0,0,0,0,iw8_me_riotshield_variant_0,
14,iw8_knife,0,0,0,0,iw8_knife_variant_0,
15,iw8_ar_mike4,0,0,0,0,iw8_ar_mike4_variant_0,
16,iw8_ar_akilo47,0,0,0,0,iw8_ar_akilo47_variant_0,
17,iw8_ar_asierra12,0,0,0,0,iw8_ar_asierra12_variant_0,
18,iw8_ar_falpha,0,0,0,0,iw8_ar_falpha_variant_0,
19,iw8_ar_mcharlie,0,0,0,0,iw8_ar_mcharlie_variant_0,
20,iw8_ar_kilo433,0,0,0,0,iw8_ar_kilo433_variant_0,
21,iw8_ar_falima,0,0,0,0,iw8_ar_falima_variant_0,
22,iw8_ar_scharlie,0,0,0,0,iw8_ar_scharlie_variant_0,
23,iw8_la_rpapa7,0,0,0,0,iw8_la_rpapa7_variant_0,
24,iw8_la_gromeo,0,0,0,0,iw8_la_gromeo_variant_0,
25,iw8_la_juliet,0,0,0,0,iw8_la_juliet_variant_0,
26,iw8_la_kgolf,0,0,0,0,iw8_la_kgolf_variant_0,
27,iw8_sn_mike14,0,0,0,0,iw8_sn_mike14_variant_0,
28,iw8_sn_kilo98,0,0,0,0,iw8_sn_kilo98_variant_0,
29,iw8_sn_sbeta,0,0,0,0,iw8_sn_sbeta_variant_0,
30,iw8_sn_alpha50,0,0,0,0,iw8_sn_alpha50_variant_0,
31,iw8_sn_delta,0,0,0,0,iw8_sn_delta_variant_0,
32,iw8_sn_hdromeo,0,0,0,0,iw8_sn_hdromeo_variant_0,
33,iw8_sn_crossbow,0,0,0,1000,iw8_sn_crossbow_variant_0,
34,iw8_sh_dpapa12,0,0,0,0,iw8_sh_dpapa12_variant_0,
35,iw8_sh_oscar12,0,0,0,0,iw8_sh_oscar12_variant_0,
36,iw8_sh_charlie725,0,0,0,0,iw8_sh_charlie725_variant_0,
37,iw8_sh_romeo870,0,0,0,0,iw8_sh_romeo870_variant_0,
38,iw8_lm_kilo121,0,0,0,0,iw8_lm_kilo121_variant_0,
39,iw8_lm_pkilo,0,0,0,0,iw8_lm_pkilo_variant_0,
40,iw8_lm_lima86,0,0,0,0,iw8_lm_lima86_variant_0,
41,iw8_lm_mgolf34,0,0,0,0,iw8_lm_mgolf34_variant_0,
43,iw8_ar_mike4,3,50,10,1000,iw8_ar_mike4_variant_1,
44,iw8_ar_mike4,2,200,40,1000,iw8_ar_mike4_variant_2,
45,iw8_ar_mike4,4,500,100,0,iw8_ar_mike4_variant_3,
46,iw8_ar_mike4,3,500,100,1000,iw8_ar_mike4_variant_4,
47,iw8_ar_akilo47,2,50,10,1000,iw8_ar_akilo47_variant_1,
48,iw8_ar_akilo47,3,200,40,1000,iw8_ar_akilo47_variant_2,
49,iw8_ar_akilo47,4,500,100,0,iw8_ar_akilo47_variant_3,
50,iw8_ar_akilo47,3,500,100,1000,iw8_ar_akilo47_variant_4,
51,iw8_ar_asierra12,1,50,10,3000,iw8_ar_asierra12_variant_1,
52,iw8_ar_asierra12,3,200,40,1000,iw8_ar_asierra12_variant_2,
53,iw8_ar_asierra12,3,500,100,1000,iw8_ar_asierra12_variant_3,
54,iw8_ar_asierra12,4,500,100,1000,iw8_ar_asierra12_variant_4,
55,iw8_ar_falpha,2,50,10,3000,iw8_ar_falpha_variant_1,
56,iw8_ar_falpha,3,200,40,1000,iw8_ar_falpha_variant_2,
57,iw8_ar_falpha,3,500,100,1000,iw8_ar_falpha_variant_3,
58,iw8_ar_falpha,3,500,100,1000,iw8_ar_falpha_variant_4,
59,iw8_ar_falpha,4,500,100,1000,iw8_ar_falpha_variant_5,
60,iw8_ar_mcharlie,2,50,10,1000,iw8_ar_mcharlie_variant_1,
61,iw8_ar_mcharlie,3,200,40,1000,iw8_ar_mcharlie_variant_2,
62,iw8_ar_mcharlie,4,500,100,1000,iw8_ar_mcharlie_variant_3,
63,iw8_ar_mcharlie,3,500,100,1000,iw8_ar_mcharlie_variant_4,
64,iw8_ar_kilo433,3,50,10,0,iw8_ar_kilo433_variant_1,
65,iw8_ar_kilo433,3,200,40,1000,iw8_ar_kilo433_variant_2,
66,iw8_ar_kilo433,3,500,100,99,iw8_ar_kilo433_variant_3,
67,iw8_ar_kilo433,3,500,100,1000,iw8_ar_kilo433_variant_4,
68,iw8_ar_falima,2,50,10,1000,iw8_ar_falima_variant_1,
69,iw8_ar_falima,2,200,40,1000,iw8_ar_falima_variant_2,
70,iw8_ar_falima,3,500,100,1000,iw8_ar_falima_variant_3,
71,iw8_ar_falima,3,500,100,1000,iw8_ar_falima_variant_4,
72,iw8_ar_scharlie,2,50,10,1000,iw8_ar_scharlie_variant_1,
73,iw8_ar_scharlie,3,200,40,3000,iw8_ar_scharlie_variant_2,
74,iw8_ar_scharlie,3,500,100,1000,iw8_ar_scharlie_variant_3,
75,iw8_ar_scharlie,3,500,100,1000,iw8_ar_scharlie_variant_4,
76,iw8_pi_golf21,3,50,10,0,iw8_pi_golf21_variant_1,
77,iw8_pi_golf21,1,200,40,1000,iw8_pi_golf21_variant_2,
78,iw8_pi_golf21,3,500,100,0,iw8_pi_golf21_variant_3,
79,iw8_pi_golf21,2,500,100,1000,iw8_pi_golf21_variant_4,
80,iw8_pi_golf21,4,500,100,4000,iw8_pi_golf21_variant_5,
81,iw8_pi_papa320,2,50,10,1000,iw8_pi_papa320_variant_1,
82,iw8_pi_papa320,2,200,40,1000,iw8_pi_papa320_variant_2,
83,iw8_pi_papa320,4,500,100,1000,iw8_pi_papa320_variant_3,
84,iw8_pi_papa320,2,500,100,1000,iw8_pi_papa320_variant_4,
85,iw8_pi_papa320,4,500,100,1000,iw8_pi_papa320_variant_5,
86,iw8_pi_decho,1,50,10,1000,iw8_pi_decho_variant_1,
87,iw8_pi_decho,4,200,40,3000,iw8_pi_decho_variant_2,
88,iw8_pi_decho,2,500,100,1000,iw8_pi_decho_variant_3,
89,iw8_pi_decho,2,500,100,1000,iw8_pi_decho_variant_4,
90,iw8_pi_mike1911,4,50,10,3000,iw8_pi_mike1911_variant_1,
91,iw8_pi_mike1911,2,200,40,1000,iw8_pi_mike1911_variant_2,
92,iw8_pi_mike1911,2,500,100,1000,iw8_pi_mike1911_variant_3,
