12090000,ironsight,0,0,0,0,,,,,
12090001,ironsdefault,0,0,0,0,,,,,
12090002,reflexmini,0,0,0,0,,,,,
12090003,reflexmini2,0,0,0,0,,,,,
12090004,reflexmini3,0,0,0,0,,,,,
12090005,reflex,0,0,0,0,1235,1,,,
12090006,reflex2,0,0,0,0,,,,,
12090007,reflex3,0,0,0,0,,,,,
12090008,reflex4,0,0,0,0,,,,,
12090009,scope,0,0,0,0,,,,,
12090010,reflex5,0,0,0,0,,,,,
12090011,holo,0,0,0,0,,,,,
12090012,holo2,0,0,0,0,,,,,
12090013,holo3,0,0,0,0,,,,,
12090014,acog2,0,0,0,0,,,,,
12090015,acog,0,0,0,0,,,,,
12090016,scopenorail,0,0,0,0,,,,,
12090017,acog3,0,0,0,0,,,,,
12090018,acog4,0,0,0,0,,,,,
12090019,thermal,0,0,0,0,,,,,
12090020,thermal2,0,0,0,0,,,,,
12090021,thermal3,0,0,0,0,,,,,
12090022,thermalvz,0,0,0,0,,,,,
12090023,hybrid,0,0,0,0,,,,,
12090024,hybrid2,0,0,0,0,,,,,
12090025,hybrid3,0,0,0,0,,,,,
12090026,hybrid4,0,0,0,0,,,,,
12090027,vzscope,0,0,0,0,,,,,
12090028,silencer2,0,0,0,0,,,,,
12090029,silencer,0,0,0,0,1236,1,1237,1,
12090030,silencer3,0,0,0,0,,,,,
12090031,silencer4,0,0,0,0,,,,,
12090032,brake,0,0,0,0,,,,,
12090033,comp,0,0,0,0,,,,,
12090034,flashhider,0,0,0,0,,,,,
12090035,melee,0,0,0,0,,,,,
12090036,melee2,0,0,0,0,,,,,
12090037,choke,0,0,0,0,,,,,
12090038,meleeub,0,0,0,0,,,,,
12090039,gripang,0,0,0,0,,,,,
12090040,gripangpro,0,0,0,0,,,,,
12090041,gripvert,0,0,0,0,,,,,
12090042,gripcust,0,0,0,0,,,,,
12090043,gripcust2,0,0,0,0,,,,,
12090044,griprear,0,0,0,0,,,,,
12090045,gripvertpro,0,0,0,0,,,,,
12090046,gripdefault,0,0,0,0,,,,,
12090047,bipod,0,0,0,0,,,,,
12090048,gl,0,0,0,0,,,,,
12090049,ubshtgn02,0,0,0,0,,,,,
12090050,ubshtgn,0,0,0,0,,,,,
12090051,glsmoke,0,0,0,0,,,,,
12090052,glgas,0,0,0,0,,,,,
12090053,glconc,0,0,0,0,,,,,
12090054,glflash,0,0,0,0,,,,,
12090055,glincendiary,0,0,0,0,,,,,
12090056,glsemtex,0,0,0,0,,,,,
12090057,glsnap,0,0,0,0,,,,,
12090058,akimbo,0,0,0,0,,,,,
