350000,loadout_1,0,0,0,0,LUA_MENU/ASSAULT,LUA_MENU/ASSAULT_DESC,icon_loadout_assault,hud_icon_loadout_assault,
350001,loadout_4,0,0,0,0,LUA_MENU_MP/DEFAULT_LOADOUT_4,LUA_MENU_MP/DEFAULT_LOADOUT_4_DESC,icon_loadout_demolition,hud_icon_loadout_demolition,
350002,loadout_5,0,0,0,0,LUA_MENU_MP/DEFAULT_LOADOUT_5,LUA_MENU_MP/DEFAULT_LOADOUT_5_DESC,icon_loadout_sniper,hud_icon_loadout_sniper,
350003,create_a_class,0,0,0,0,LUA_MENU_MP/UNLOCK_CAC,LUA_MENU_MP/UNLOCK_CAC_DESC,icon_loadout_generic,hud_icon_loadout_generic,
350004,challenges,0,0,0,0,LUA_MENU/CHALLENGE,LUA_MENU/CHALLENGE_DESC,icon_challenge_generic,hud_icon_challenge_generic,
350005,season1,0,0,0,0,LUA_MENU/SEASON1,LUA_MENU/SEASON1_DESC,white,white,
350006,season2,0,0,0,0,LUA_MENU/SEASON2,LUA_MENU/SEASON2_DESC,white,white,
350007,season3,0,0,0,0,LUA_MENU/SEASON3,LUA_MENU/SEASON3_DESC,white,white,
350008,season4,0,0,0,0,LUA_MENU/SEASON4,LUA_MENU/SEASON4_DESC,white,white,
350009,season5,0,0,0,0,LUA_MENU/SEASON5,LUA_MENU/SEASON5_DESC,white,white,
350010,season6,0,0,0,0,LUA_MENU/SEASON6,LUA_MENU/SEASON6_DESC,white,white,
350011,perk_specialist,0,0,0,0,PERKS/SPECIALIST,PERKS/DESC_SPECIALIST,icon_perk_specialist,hud_icon_loadout_specialist,
350012,field_upgrade_pro,0,0,0,0,LUA_MENU/FIELD_UPGRADE_PRO,LUA_MENU/FIELD_UPGRADE_PRO_DESC,icon_loadout_fieldupgrade,hud_icon_loadout_fieldupgrade,
350013,cod_points_id,4,0,0,0,LOOT_MP/COD_POINTS,LOOT_MP/COD_POINTS,icon_currency_codpoints_large,icon_currency_codpoints_large,
350014,bp_cod_points,0,0,0,0,LUA_MENU/NONE,LUA_MENU/NONE,white,white,
350015,bp_boost,4,0,0,0,LUA_MENU/BP_BOOST,LUA_MENU/BP_BOOST_DESC,icon_double_buff_xp_token,icon_double_buff_xp_token,
