1005000,acog,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005001,acoglight,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005002,acog2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005003,acog2light,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005004,reflex,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005005,reflexlight,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005006,reflex2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005007,reflex2light,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005008,reflex3,0,0,0,0,905,2,,,,,,,,,,,,,,,,,,,,,,,,,
1005009,reflex3light,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005010,reflex4,0,0,0,0,454,2,,,,,,,,,,,,,,,,,,,,,,,,,
1005011,reflex4light,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005012,reflexmini,0,0,0,0,99,3,456,5,,,,,,,,,,,,,,,,,,,,,,,
1005013,reflexmini2,0,0,0,0,240,1,,,,,,,,,,,,,,,,,,,,,,,,,
1005014,reflexmini3,0,0,0,0,96,2,402,3,455,6,,,,,,,,,,,,,,,,,,,,,
1005015,holo,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005016,hololight,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005017,holo2,0,0,0,0,400,1,,,,,,,,,,,,,,,,,,,,,,,,,
1005018,holo2light,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005019,thermal,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005020,thermal2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005021,thermalvz,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005022,thermal2vz,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005023,hybrid,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005024,hybridlight,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005025,hybrid2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005026,hybrid2light,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005027,hybrid3,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005028,hybrid3light,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
