1033000,acog,0,0,0,0,,,,,,,
1033001,acoglight,0,0,0,0,,,,,,,
1033002,acog2,0,0,0,0,,,,,,,
1033003,acog2light,0,0,0,0,,,,,,,
1033004,reflex,0,0,0,0,,,,,,,
1033005,reflexlight,0,0,0,0,,,,,,,
1033006,reflex2,0,0,0,0,345,8,,,,,
1033007,reflex2light,0,0,0,0,,,,,,,
1033008,reflex3,0,0,0,0,,,,,,,
1033009,reflex3light,0,0,0,0,,,,,,,
1033010,reflex4,0,0,0,0,,,,,,,
1033011,reflex4light,0,0,0,0,,,,,,,
1033012,reflexmini,0,0,0,0,154,11,,,,,
1033013,reflexmini2,0,0,0,0,,,,,,,
1033014,reflexmini3,0,0,0,0,,,,,,,
1033015,holo,0,0,0,0,,,,,,,
1033016,hololight,0,0,0,0,,,,,,,
1033017,holo2,0,0,0,0,,,,,,,
1033018,holo2light,0,0,0,0,,,,,,,
1033019,thermal,0,0,0,0,,,,,,,
1033020,thermal2,0,0,0,0,,,,,,,
1033021,thermalvz,0,0,0,0,,,,,,,
1033022,thermal2vz,0,0,0,0,,,,,,,
1033023,hybrid,0,0,0,0,,,,,,,
1033024,hybridlight,0,0,0,0,,,,,,,
1033025,hybrid2,0,0,0,0,,,,,,,
1033026,hybrid2light,0,0,0,0,,,,,,,
1033027,hybrid3,0,0,0,0,,,,,,,
1033028,hybrid3light,0,0,0,0,,,,,,,
1033029,hybrid4,0,0,0,0,,,,,,,
1033030,hybrid4light,0,0,0,0,,,,,,,
1033031,ironsight,0,0,0,0,,,,,,,
1033032,ironsdefault,0,0,0,0,,,,,,,
1033033,vzscope,0,0,0,0,,,,,,,
1033034,silencer,0,0,0,0,,,,,,,
1033035,silencer2,0,0,0,0,,,,,,,
1033036,silencer3,0,0,0,0,,,,,,,
1033037,gripvert,0,0,0,0,,,,,,,
1033038,gripang,0,0,0,0,,,,,,,
1033039,gripangpro,0,0,0,0,,,,,,,
1033040,gripcust,0,0,0,0,,,,,,,
1033041,gripdefault,0,0,0,0,,,,,,,
1033042,gripcust2,0,0,0,0,,,,,,,
1033043,bipod,0,0,0,0,,,,,,,
1033044,gl,0,0,0,0,,,,,,,
1033045,glsmoke,0,0,0,0,,,,,,,
1033046,glgas,0,0,0,0,,,,,,,
1033047,glconc,0,0,0,0,,,,,,,
1033048,akimbo,0,0,0,0,,,,,,,
1033049,fmj,0,0,0,0,,,,,,,
1033050,xmags,0,0,0,0,,,,,,,
1033051,drums,0,0,0,0,,,,,,,
1033052,vertmags,0,0,0,0,,,,,,,
1033053,laser,0,0,0,0,,,,,,,
1033054,laserir,0,0,0,0,,,,,,,
1033055,laserrange,0,0,0,0,,,,,,,
1033056,laserbalanced,0,0,0,0,154,1,,,,,
1033057,laserads,0,0,0,0,,,,,,,
1033058,stockl,0,0,0,0,,,,,,,
1033059,stockh,0,0,0,0,153,1,,,,,
1033060,stocks,0,0,0,0,154,2,345,1,,,
1033061,stockno,0,0,0,0,,,,,,,
1033062,stockfold,0,0,0,0,,,,,,,
1033063,stockcust,0,0,0,0,,,,,,,
1033064,bolt,0,0,0,0,,,,,,,
1033065,calsmg,0,0,0,0,,,,,,,
1033066,calsmgdrums,0,0,0,0,,,,,,,
1033067,calar,0,0,0,0,,,,,,,
1033068,calsnpr,0,0,0,0,,,,,,,
1033069,calcust,0,0,0,0,,,,,,,
1033070,calcust2,0,0,0,0,,,,,,,
1033071,barlong,0,0,0,0,,,,,,,
1033072,barmid,0,0,0,0,153,2,345,1,953,3,
1033073,barshort,0,0,0,0,,,,,,,
1033074,barshortnoguard,0,0,0,0,,,,,,,
1033075,barcust,0,0,0,0,,,,,,,
1033076,barcust2,0,0,0,0,,,,,,,
1033077,triggripcust,0,0,0,0,,,,,,,
1033078,triggrip,0,0,0,0,,,,,,,
1033079,trigcust,0,0,0,0,,,,,,,
1033080,trigcust02,0,0,0,0,,,,,,,
1033081,trigcust03,0,0,0,0,,,,,,,
1033082,trig,0,0,0,0,,,,,,,
1033083,melee,0,0,0,0,,,,,,,
1033084,brake,0,0,0,0,,,,,,,
1033085,comp,0,0,0,0,,,,,,,
1033086,choke,0,0,0,0,,,,,,,
1033087,linearbrake,0,0,0,0,,,,,,,
1033088,rack,0,0,0,0,,,,,,,
1033089,strap,0,0,0,0,,,,,,,
1033090,semi,0,0,0,0,,,,,,,
1033091,burst,0,0,0,0,,,,,,,
1033092,auto,0,0,0,0,,,,,,,
1033093,griprear,0,0,0,0,,,,,,,
1033094,done,0,0,0,0,,,,,,,
1033095,scope,0,0,0,0,153,2,953,3,,,
1033096,scopenvg,0,0,0,0,,,,,,,
1033097,scopenorail,0,0,0,0,,,,,,,
1033098,toprailcust,0,0,0,0,,,,,,,
1033099,recstocks,0,0,0,0,,,,,,,
1033100,recstockl,0,0,0,0,,,,,,,
1033101,recstockh,0,0,0,0,,,,,,,
1033102,adsmove,0,0,0,0,,,,,,,
1033103,adsidle,0,0,0,0,,,,,,,
1033104,bling,0,0,0,0,,,,,,,
1033105,crouchrecoil,0,0,0,0,,,,,,,
1033106,fastswap,0,0,0,0,,,,,,,
1033107,fastreload,0,0,0,0,,,,,,,
1033108,flinch,0,0,0,0,,,,,,,
1033109,hipaim,0,0,0,0,,,,,,,
1033110,maxammo,0,0,0,0,,,,,,,
1033111,gunperk_semi,0,0,0,0,,,,,,,
1033112,gunperk_auto,0,0,0,0,,,,,,,
1033113,gunperk_burst,0,0,0,0,,,,,,,
1033114,gunperk_ricochet,0,0,0,0,,,,,,,
1033115,gunperk_recoil,0,0,0,0,,,,,,,
1033116,gunperk_rof,0,0,0,0,,,,,,,
1033117,gunperk_adsup,0,0,0,0,,,,,,,
1033118,gunperk_xmags,0,0,0,0,,,,,,,
1033119,gunperk_fastmelee,0,0,0,0,,,,,,,
