1894000,ironsight,0,0,0,0,,,,,,,,,
1894001,ironsdefault,0,0,0,0,,,,,,,,,
1894002,reflexmini,0,0,0,0,,,,,,,,,
1894003,reflexmini2,0,0,0,0,,,,,,,,,
1894004,reflexmini3,0,0,0,0,,,,,,,,,
1894005,reflex,0,0,0,0,,,,,,,,,
1894006,reflex2,0,0,0,0,,,,,,,,,
1894007,reflex3,0,0,0,0,,,,,,,,,
1894008,reflex4,0,0,0,0,,,,,,,,,
1894009,scope,0,0,0,0,,,,,,,,,
1894010,reflex5,0,0,0,0,,,,,,,,,
1894011,holo,0,0,0,0,,,,,,,,,
1894012,holo2,0,0,0,0,,,,,,,,,
1894013,holo3,0,0,0,0,,,,,,,,,
1894014,acog2,0,0,0,0,,,,,,,,,
1894015,acog,0,0,0,0,898,2,,,,,,,
1894016,scopenorail,0,0,0,0,,,,,,,,,
1894017,acog3,0,0,0,0,895,1,,,,,,,
1894018,acog4,0,0,0,0,,,,,,,,,
1894019,thermal,0,0,0,0,897,2,,,,,,,
1894020,thermal2,0,0,0,0,,,,,,,,,
1894021,thermal3,0,0,0,0,,,,,,,,,
1894022,thermalvz,0,0,0,0,,,,,,,,,
1894023,hybrid,0,0,0,0,,,,,,,,,
1894024,hybrid2,0,0,0,0,,,,,,,,,
1894025,hybrid3,0,0,0,0,,,,,,,,,
1894026,hybrid4,0,0,0,0,,,,,,,,,
1894027,vzscope,0,0,0,0,896,1,1019,2,,,,,
1894028,silencer2,0,0,0,0,,,,,,,,,
1894029,silencer,0,0,0,0,,,,,,,,,
1894030,silencer3,0,0,0,0,897,1,1101,2,,,,,
1894031,silencer4,0,0,0,0,,,,,,,,,
1894032,brake,0,0,0,0,898,1,,,,,,,
1894033,comp,0,0,0,0,,,,,,,,,
1894034,flashhider,0,0,0,0,,,,,,,,,
1894035,melee,0,0,0,0,,,,,,,,,
1894036,melee2,0,0,0,0,,,,,,,,,
1894037,choke,0,0,0,0,,,,,,,,,
1894038,meleeub,0,0,0,0,,,,,,,,,
1894039,gripang,0,0,0,0,,,,,,,,,
1894040,gripangpro,0,0,0,0,,,,,,,,,
1894041,gripvert,0,0,0,0,,,,,,,,,
1894042,gripcust,0,0,0,0,,,,,,,,,
1894043,gripcust2,0,0,0,0,,,,,,,,,
1894044,griprear,0,0,0,0,,,,,,,,,
1894045,gripvertpro,0,0,0,0,,,,,,,,,
1894046,gripdefault,0,0,0,0,,,,,,,,,
1894047,bipod,0,0,0,0,896,1,1019,2,,,,,
1894048,gl,0,0,0,0,,,,,,,,,
1894049,ubshtgn02,0,0,0,0,,,,,,,,,
1894050,ubshtgn,0,0,0,0,,,,,,,,,
1894051,glsmoke,0,0,0,0,,,,,,,,,
1894052,glgas,0,0,0,0,,,,,,,,,
1894053,glconc,0,0,0,0,,,,,,,,,
1894054,glflash,0,0,0,0,,,,,,,,,
1894055,glincendiary,0,0,0,0,,,,,,,,,
1894056,glsemtex,0,0,0,0,,,,,,,,,
1894057,glsnap,0,0,0,0,,,,,,,,,
1894058,akimbo,0,0,0,0,,,,,,,,,
1894059,fmj,0,0,0,0,,,,,,,,,
1894060,xmags,0,0,0,0,,,,,,,,,
1894061,drums,0,0,0,0,,,,,,,,,
1894062,xmagslrg,0,0,0,0,,,,,,,,,
1894063,vertmags,0,0,0,0,,,,,,,,,
1894064,calcust,0,0,0,0,896,1,1019,2,,,,,
1894065,smags,0,0,0,0,,,,,,,,,
1894066,laser,0,0,0,0,,,,,,,,,
1894067,laserir,0,0,0,0,,,,,,,,,
1894068,laserrange,0,0,0,0,,,,,,,,,
1894069,laserbalanced,0,0,0,0,895,2,897,3,898,4,1101,7,
