1626000,ironsight,0,0,0,0,,,,,,,,,
1626001,ironsdefault,0,0,0,0,,,,,,,,,
1626002,reflexmini,0,0,0,0,,,,,,,,,
1626003,reflexmini2,0,0,0,0,630,13,,,,,,,
1626004,reflexmini3,0,0,0,0,,,,,,,,,
1626005,reflex,0,0,0,0,,,,,,,,,
1626006,reflex2,0,0,0,0,,,,,,,,,
1626007,reflex3,0,0,0,0,628,1,1109,2,,,,,
1626008,reflex4,0,0,0,0,,,,,,,,,
1626009,scope,0,0,0,0,,,,,,,,,
1626010,reflex5,0,0,0,0,,,,,,,,,
1626011,holo,0,0,0,0,,,,,,,,,
1626012,holo2,0,0,0,0,629,12,,,,,,,
1626013,holo3,0,0,0,0,,,,,,,,,
1626014,acog2,0,0,0,0,,,,,,,,,
1626015,acog,0,0,0,0,,,,,,,,,
1626016,scopenorail,0,0,0,0,,,,,,,,,
1626017,acog3,0,0,0,0,,,,,,,,,
1626018,acog4,0,0,0,0,,,,,,,,,
1626019,thermal,0,0,0,0,,,,,,,,,
1626020,thermal2,0,0,0,0,,,,,,,,,
1626021,thermalvz,0,0,0,0,,,,,,,,,
1626022,hybrid,0,0,0,0,,,,,,,,,
1626023,hybrid2,0,0,0,0,,,,,,,,,
1626024,hybrid3,0,0,0,0,,,,,,,,,
1626025,hybrid4,0,0,0,0,,,,,,,,,
1626026,vzscope,0,0,0,0,,,,,,,,,
1626027,silencer2,0,0,0,0,,,,,,,,,
1626028,silencer,0,0,0,0,,,,,,,,,
1626029,silencer3,0,0,0,0,628,3,1109,10,,,,,
1626030,silencer4,0,0,0,0,,,,,,,,,
1626031,brake,0,0,0,0,977,4,1029,11,,,,,
1626032,comp,0,0,0,0,627,4,1059,1,,,,,
1626033,flashhider,0,0,0,0,,,,,,,,,
1626034,melee,0,0,0,0,,,,,,,,,
1626035,melee2,0,0,0,0,,,,,,,,,
1626036,choke,0,0,0,0,,,,,,,,,
1626037,meleeub,0,0,0,0,,,,,,,,,
1626038,gripang,0,0,0,0,627,5,629,4,1059,1,,,
1626039,gripangpro,0,0,0,0,,,,,,,,,
1626040,gripvert,0,0,0,0,630,9,1029,6,,,,,
1626041,gripcust,0,0,0,0,,,,,,,,,
1626042,gripcust2,0,0,0,0,,,,,,,,,
1626043,griprear,0,0,0,0,,,,,,,,,
1626044,gripvertpro,0,0,0,0,977,7,,,,,,,
