iw8_ar_mike4_mp,0,0,-0.5,-3.5,0,0.235,0,0,0,iw8_ar_mike4#This is dummy data. Game asserts if this column is empty. Please remove when this column has content.,,,
iw8_ar_akilo47_mp,0,3.5,0,-2,0,0,0,0,0,,,,
iw8_ar_asierra12_mp,0,2,-1,-3.5,0,0.5,0,0,0,,,,
iw8_ar_falpha_mp,0,-2.5,0,-7.5,0,-2,0,0,0,,,,
iw8_ar_mcharlie_mp,0,1.25,0,-4,0,0,0,0,0,,,,
iw8_ar_falima_mp,0,5,-1.5,1,0,1.25,0,0,0,,,,
iw8_ar_scharlie_mp,0,3,-0.5,-2,0,0,0,0,0,,,,
iw8_ar_kilo433_mp,0,-0.5,-0.5,-6.4,0,0.55,0,0,0,,,,
iw8_sm_beta_mp,0,-2.5,-1,-8.7,0,1.25,0,0,0,,,,
iw8_sm_mpapa5_mp,0,1.5,-1,-3,0,1,0,0,0,,,,
iw8_sm_mpapa7_mp,0,-2,-1.5,-6.5,0,0.4,0,0,0,,,,
iw8_sm_papa90_mp,0,-3,-1.7,-9.25,0,0.85,0,0,0,,,,
iw8_sm_augolf_mp,0,0,-1.4,-6,0,0.5,0,0,0,,,,
iw8_sm_uzulu_mp,0,-1,-2,-6,0,1.59,0,0,0,,,,
iw8_lm_mgolf34_mp,0,0,-1,3.75,0,0.5,0,0,0,,,,
iw8_lm_kilo121_mp,0,0,0.25,3.5,0,0,0,0,0,,,,
iw8_lm_pkilo_mp,0,0,0.1,-1,0,0.5,0,0,0,,,,
iw8_lm_lima86_mp,0,0,-0.5,-2,0,-0.5,0,0,0,,,,
iw8_sn_alpha50_mp,0,0,-0.5,7,0,0.5,0,0,0,,,,
iw8_sn_delta_mp,0,0,-2,2,0,2,0,0,0,,,,
iw8_sn_mike14_mp,0,3,-0.5,-2,0,0.75,0,0,0,,,,
iw8_sn_sbeta_mp,0,5,-2,-1,0,1.75,0,0,0,,,,
iw8_sn_kilo98_mp,0,6,0,1,0,0.2,0,0,0,,,,
iw8_sn_hdromeo_mp,0,0,-1,7,0,1,0,0,0,,,//snipers could use the Launcher Preview cam?,
iw8_sh_romeo870_mp,0,6,0,-2.4,0,0.4,0,0,0,,,,
iw8_sh_charlie725_mp,0,3,0,-2.5,0,0.35,0,0,0,,,,
iw8_sh_dpapa12_mp,0,0,-1,-5,0,0,0,0,0,,,,
iw8_sh_oscar12_mp,0,0,0,-6.5,0,-0.25,0,0,0,,,,
iw8_knife_mp,0,7,1.75,0,0,0,0,0,0,,,,
iw8_pi_golf21_mp,0,-0.5,0.5,-7,0,0.25,0,0,0,,,,
