170000,grenade_cooldown,1,Fate,ZM_CONSUMABLES/GRENADE_COOLDOWN,ZM_CONSUMABLES/GRENADE_COOLDOWN_DESC,wave,1,3,0,fnf_grenade_cooldown,0,,0,,1,0,1170007,ZombieCard,N,Y,zm_wc_fate_card_base,,0,0,
170001,spawn_reboard_windows,1,Fate,ZM_CONSUMABLES/SPAWN_REBOARD_WINDOWS,ZM_CONSUMABLES/SPAWN_REBOARD_WINDOWS_DESC,triggerwait,1,0,1,fnf_spawn_reboard_windows,0,,0,,1,0,1170000,ZombieCard,N,Y,zm_wc_fate_card_base,,0,0,
170002,burned_out,1,Fate,ZM_CONSUMABLES/BURNED_OUT,ZM_CONSUMABLES/BURNED_OUT_DESC,triggerpassive,1,0,10,fnf_burned_out,0,,0,LUA_MENU_ZM/BURNED_OUT_PASSIVE_TEXT,1,0,1170005,ZombieCard,N,Y,zm_wc_fate_card_base,,0,0,
170003,faster_health_regen_upgrade,1,Fate,ZM_CONSUMABLES/FAST_HEALTH_REGEN,ZM_CONSUMABLES/FAST_HEALTH_REGEN_DESC,timedactivations,1,15,0,fnf_faster_health_regen_upgrade,0,,0,,1,0,1170009,ZombieCard,N,Y,zm_wc_fate_card_base,,0,0,
170004,sniper_soft_upgrade,1,Fate,ZM_CONSUMABLES/SNIPER,ZM_CONSUMABLES/SNIPER_DESC,triggerpassive,1,0,50,fnf_sniper_soft_upgrade,0,,0,LUA_MENU_ZM/SNIPER_DEADEYE_PASSIVE_TEXT,1,0,1170006,ZombieCard,N,Y,zm_wc_fate_card_base,,0,0,
170005,coagulant,1,Fate,ZM_CONSUMABLES/LONGER_BLEED_OUT,ZM_CONSUMABLES/LONGER_BLEED_OUT_DESC,triggerpassive,1,0,1,fnf_coagulant,0,,0,LUA_MENU_ZM/COAGULANT_PASSIVE_TEXT,1,0,1170004,ZombieCard,N,Y,zm_wc_fate_card_base,,0,0,
170006,extra_sniping_points,1,Fate,ZM_CONSUMABLES/EXTRA_SNIPING_POINTS,ZM_CONSUMABLES/EXTRA_SNIPING_POINTS_DESC,triggerpassive,1,0,10,fnf_extra_sniping_points,0,,0,LUA_MENU_ZM/CARD_EXTRA_SNIPING_POINTS_PASSIVE_TEXT,1,0,1170008,ZombieCard,N,Y,zm_wc_fate_card_base,,0,0,
170007,shock_melee_upgrade,1,Fate,ZM_CONSUMABLES/SHOCK_MELEE,ZM_CONSUMABLES/SHOCK_MELEE_DESC,triggerpassive,1,0,5,fnf_shock_melee_upgrade,0,,0,LUA_MENU_ZM/SHOCK_MELEE_PASSIVE_TEXT,1,0,1170011,ZombieCard,N,Y,zm_wc_fate_card_base,,0,0,
170008,faster_revive_upgrade,1,Fate,ZM_CONSUMABLES/FAST_REVIVE,ZM_CONSUMABLES/FAST_REVIVE_DESC,triggerpassive,1,0,1,fnf_faster_revive_upgrade,0,,0,LUA_MENU_ZM/CARD_FASTER_REVIVE_PASSIVE_TEXT,1,0,1170002,ZombieCard,N,Y,zm_wc_fate_card_base,,0,0,
170009,penetration_gun,1,Fate,ZM_CONSUMABLES/PENETRATION_GUN,ZM_CONSUMABLES/PENETRATION_GUN_DESC,timedactivations,1,30,0,fnf_penetration_gun,0,,0,,1,0,1170010,ZombieCard,N,Y,zm_wc_fate_card_base,,0,0,
170010,bonus_damage_on_last_bullets,1,Fate,ZM_CONSUMABLES/LAST_BULLET_MOD,ZM_CONSUMABLES/LAST_BULLET_MOD_DESC,wave,1,3,0,fnf_bonus_damage_on_last_bullets,0,,0,,1,0,1170003,ZombieCard,N,Y,zm_wc_fate_card_base,,0,0,
170011,reload_damage_increase,1,Fate,ZM_CONSUMABLES/RELOAD_DAMAGE,ZM_CONSUMABLES/RELOAD_DAMAGE_DESC,wave,1,1,0,fnf_reload_damage_increase,0,,0,,1,0,1170012,ZombieCard,N,Y,zm_wc_fate_card_base,,0,0,
