ui_ac130_weapon,1,,c,i,0,0,3,
ui_ac130_105mm_ammo,1,,c,i,0,0,1,
ui_ac130_40mm_ammo,1,,c,i,0,0,5,
ui_ac130_25mm_ammo,1,,c,i,0,0,30,
ui_ac130_hud,1,,c,i,0,0,1,
ui_ac130_coord1_posx,1,,c,i,0,-100000,100000,
ui_ac130_coord1_posy,1,,c,i,0,-100000,100000,
ui_ac130_coord1_posz,1,,c,i,0,-100000,100000,
ui_ac130_coord2_posx,1,,c,i,0,-100000,100000,
ui_ac130_coord2_posy,1,,c,i,0,-100000,100000,
ui_ac130_coord2_posz,1,,c,i,0,-100000,100000,
ui_ac130_coord3_posx,1,1,c,i,0,-100000,100000,
ui_ac130_coord3_posy,1,1,c,i,0,-100000,100000,
ui_ac130_coord3_posz,1,1,c,i,0,-100000,100000,
ui_ac130_105mm_reloadtime,1,,c,t,0,,,
ui_ac130_40mm_reloadtime,1,,c,t,0,,,
ui_ac130_25mm_reloadtime,1,,c,t,0,,,
ui_ac130_thermal,1,,c,i,0,0,1,
