ui_tom_spawn_entity_0,1,,c,e,,,,
ui_tom_spawn_entity_1,1,,c,e,,,,
ui_tom_spawn_entity_2,1,,c,e,,,,
ui_tom_spawn_entity_3,1,,c,e,,,,
ui_tom_spawn_entity_4,1,,c,e,,,,
ui_tom_spawn_entity_5,1,,c,e,,,,
ui_tom_spawn_entity_6,1,,c,e,,,,
ui_tom_spawn_entity_7,1,,c,e,,,,
ui_tom_spawn_entity_8,1,,c,e,,,,
ui_tom_spawn_entity_9,1,,c,e,,,,
ui_tom_spawn_entity_10,1,,c,e,,,,
ui_tom_spawn_entity_11,1,,c,e,,,,
ui_tom_spawn_entity_12,1,,c,e,,,,
ui_tom_spawn_entity_13,1,,c,e,,,,
ui_tom_spawn_entity_14,1,,c,e,,,,
ui_tom_spawn_entity_15,1,,c,e,,,,
ui_tom_spawn_id_0,1,,c,i,-1,-1,8192,
ui_tom_spawn_id_1,1,,c,i,-1,-1,8192,
ui_tom_spawn_id_2,1,,c,i,-1,-1,8192,
ui_tom_spawn_id_3,1,,c,i,-1,-1,8192,
ui_tom_spawn_id_4,1,,c,i,-1,-1,8192,
ui_tom_spawn_id_5,1,,c,i,-1,-1,8192,
ui_tom_spawn_id_6,1,,c,i,-1,-1,8192,
ui_tom_spawn_id_7,1,,c,i,-1,-1,8192,
ui_tom_spawn_id_8,1,,c,i,-1,-1,8192,
ui_tom_spawn_id_9,1,,c,i,-1,-1,8192,
ui_tom_spawn_id_10,1,,c,i,-1,-1,8192,
ui_tom_spawn_id_11,1,,c,i,-1,-1,8192,
ui_tom_spawn_id_12,1,,c,i,-1,-1,8192,
ui_tom_spawn_id_13,1,,c,i,-1,-1,8192,
ui_tom_spawn_id_14,1,,c,i,-1,-1,8192,
ui_tom_spawn_id_15,1,,c,i,-1,-1,8192,
ui_tom_previous_selection,1,,c,i,-1,-1,8192,
ui_squad_data,1,,c,i,0,0,8192,
ui_tom_veh_health_percent,1,0,c,i,0,0,100,
