ui_bomb_timer_a,1,,g,b,0,0,1,,,,,,,
ui_bomb_timer_b,1,,g,b,0,0,1,,,,,,,
ui_bomb_timer_endtime_a,1,,g,t,0,,,,,,,,,
ui_bomb_timer_endtime_b,1,,g,t,0,,,,,,,,,
ui_bomb_planted_a,1,,g,b,0,0,1,,,,,,,
ui_bomb_planted_b,1,,g,b,0,0,1,,,,,,,
ui_bomb_owner_team,1,,g,i,-1,-1,3,,,,,,,
ui_bomb_timer_endtime,1,,g,t,0,,,,,,,,,
ui_bomb_interacting,1,,g,i,0,0,4,,,,,,,
ui_carrying_bomb,1,1,c,b,0,,,,,,,,,
ui_bomb_defuser,1,0,g,i,-1,-1,30,,,,,,# client number of the player defusing the bomb,
ui_bomb_progress,1,0,g,f,0,0,1,,,,,,,
