featured,LUA_MENU_MP/FEATURED,CRM,1,,,,,,,
currency,LUA_MENU_MP/COD_POINTS,NORMAL,1,silvervc,ironvc,bronzevc,goldvc,platinumvc,diamondvc,
vip_pass,LUA_MENU_MP/DAILY_LOGIN_SEASON_PASS,NORMAL,1,vip,,,,,,
ps4_map_packs,LUA_MENU_MP/MAPPACKS,PSN,1,mappack2,mappack1,,,,,
xb1_map_packs,LUA_MENU_MP/MAPPACKS,XBL,1,mappack2,mappack1,,,,,
online_ps4_map_packs,LUA_MENU_MP/MAPPACKS,PSN-ONLINE,1,mappack2,mappack1,,,,,
online_xb1_map_packs,LUA_MENU_MP/MAPPACKS,XBL-ONLINE,1,mappack2,mappack1,,,,,
announcers,LUA_MENU_MP/ANNOUNCERS,NORMAL,1,announcer2,announcer4,announcer1,announcer3,,,
ps4_misc,LUA_MENU_MP/MISC,PSN,1,code,,,,,,
xb1_misc,LUA_MENU_MP/MISC,XBL,1,code,,,,,,
steam_misc,LUA_MENU_MP/MISC,STEAM,1,code,,,,,,
uwp_misc,LUA_MENU_MP/MISC,UWP,1,code,,,,,,
online_ps4_misc,LUA_MENU_MP/MISC,PSN-ONLINE,1,code,,,,,,
online_xb1_misc,LUA_MENU_MP/MISC,XBL-ONLINE,1,code,,,,,,
online_steam_misc,LUA_MENU_MP/MISC,STEAM-ONLINE,1,code,,,,,,
online_uwp_misc,LUA_MENU_MP/MISC,UWP-ONLINE,1,code,,,,,,
online_ps4_cwl,LUA_MENU_MP/CWL,PSN-ONLINE,0,cwl,,,,,,
online_xb1_cwl,LUA_MENU_MP/CWL,XBL-ONLINE,0,cwl,,,,,,
online_steam_cwl,LUA_MENU_MP/CWL,STEAM-ONLINE,0,cwl,,,,,,
online_uwp_cwl,LUA_MENU_MP/CWL,UWP-ONLINE,0,cwl,,,,,,
preorder_psn,LUA_MENU_MP/PREORDER,PSN,1,s2deluxe,s2deluxeeu,s2deluxeasia2,s2,s2eu,s2asia1,
preorder_xbl,LUA_MENU_MP/PREORDER,XBL,1,s2deluxe,s2,,,,,
preorder_steam,LUA_MENU_MP/PREORDER,STEAM,1,s2,,,,,,
online_preorder_psn,LUA_MENU_MP/PREORDER,PSN-ONLINE,1,s2deluxe,s2deluxeeu,s2deluxeasia2,s2,s2eu,s2asia1,
online_preorder_xbl,LUA_MENU_MP/PREORDER,XBL-ONLINE,1,s2deluxe,s2,,,,,
online_preorder_steam,LUA_MENU_MP/PREORDER,STEAM-ONLINE,1,s2,,,,,,
