ironvc,PLATFORM/200_CP_TITLE_LONG,eddb58db-e3be-434c-a967-36dd208e24e7,9,CODIWCP000000200,1,1,IWCP00,mw_cod_points_200_small,9NBLGGH4353H,PLATFORM/200_CP_DESC_LONG,0,1,
bronzevc,PLATFORM/1000_CP_TITLE_LONG,ac19dee5-9baf-4b8d-a44d-0826dc995d1a,1,CODIWCP000001000,1,1,IWCP01,mw_cod_points_500_small,9NBLGGH42HZL,PLATFORM/1000_CP_DESC_LONG,0,1,
silvervc,PLATFORM/2000_CP_TITLE_LONG,f8a6bd40-2154-4479-b41f-5d1776aa6991,2,CODIWCP000002000,1,1,IWCP02,mw_cod_points_1100_small,9NBLGGH42JCX,PLATFORM/2000_CP_DESC_LONG,0,1,
goldvc,PLATFORM/4000_CP_TITLE_LONG,c7804043-e214-4065-8efd-98a2ef2c320c,3,CODIWCP000005000,1,1,IWCP03,mw_cod_points_2400_small,9NBLGGH42HZK,PLATFORM/4000_CP_DESC_LONG,0,1,
platinumvc,PLATFORM/7500_CP_TITLE_LONG,eac2b881-e07c-438e-ad79-6a48f5a9af74,5,CODIWCP000007500,1,1,IWCP04,mw_cod_points_5000_small,9NBLGGH42HZJ,PLATFORM/7500_CP_DESC_LONG,0,1,
diamondvc,PLATFORM/10000_CP_TITLE_LONG,d963ed16-755e-4e77-9b01-8036c715b68a,6,CODIWCP000010000,1,1,IWCP05,mw_cod_points_13000_small,9NBLGGH42HZH,PLATFORM/10000_CP_DESC_LONG,0,1,
vip,PLATFORM/SEASON_PASS_TITLE_LONG,e42207cb-1f10-4afa-8aee-03637a54f452,4,CODIWSEASONPASS1,0,1,IWSP01,image_basicstore_seasonpass,9NBLGGH5393R,PLATFORM/SEASON_PASS_LONG_DESC,0,1,
dayone,,514247ba-13b2-4b53-b56c-5634a5fa3dff,8,CODIWDAYONEMPMAP,0,2,CODIWDAYONEMPMAP,,9NBLGGH5389S,,0,1,
five_supply,,99b322a7-9dfa-44e3-b876-38500c925e0a,,CODIWINCENTIVE02,0,2,IW0002,,,,0,1,
deluxe,,c5da3bf3-3459-4202-a7eb-6eb8f41fabe5,7,IW0001,0,2,IW0001,,,,0,1,
deluxe_pre,,4bc79e54-9681-4657-b6c9-90799be065ed,,IW1000,0,2,IW1000,,,,0,1,
jackalvr,LUA_MENU_MP/JACKALVR,,,CALLOFDUTYJACKAL,1,1,CALLOFDUTYJACKAL,image_basicstore_jackalvr,,,0,1,
disk_upsell,LUA_MENU/REMASTERED_UPSELL,,11,CODIWLGCYDISCUPG,0,1,CODIWLGCYDISCUPG,image_basicstore_legacy,,,0,1,
digital_upsell,LUA_MENU/REMASTERED_UPSELL,,12,CODIWLGCYDGTLUPG,0,1,CODIWLGCYDGTLUPG,image_basicstore_legacy,,,0,1,
