???alias,min_height,max_height,min_arrival_yaw,max_arrival_yaw,min_speed,max_speed,min_drop_height,max_drop_height,__END__,
walk_step_over,0,30,-75,75,1,85,0,40,,
walk_step_over_90l,0,30,75,90,1,85,0,40,,
walk_step_over_90r,0,30,-90,-75,1,85,0,40,,
walk_vault_over_sm,30,45,-75,75,1,85,20,55,,
walk_vault_over_sm_90l,30,45,75,90,1,85,20,55,,
walk_vault_over_sm_90r,30,45,-90,-75,1,85,20,55,,
walk_vault_over_md,45,60,-75,75,1,85,35,70,,
walk_vault_over_md_90l,45,60,75,90,1,85,35,70,,
walk_vault_over_md_90r,45,60,-90,-75,1,85,35,70,,
fast_step_over,0,30,-75,75,85,145,0,40,,
fast_step_over_90l,0,30,75,90,85,145,0,40,,
fast_step_over_90r,0,30,-90,-75,85,145,0,40,,
fast_vault_over_sm,30,45,-75,75,85,145,20,55,,
fast_vault_over_sm_90l,30,45,75,90,85,145,20,55,,
fast_vault_over_sm_90r,30,45,-90,-75,85,145,20,55,,
fast_vault_over_md,45,60,-75,75,85,145,35,70,,
fast_vault_over_md_90l,45,60,75,90,85,145,35,70,,
fast_vault_over_md_90r,45,60,-90,-75,85,145,35,70,,
jog_step_over,0,30,-75,75,145,300,0,40,,
jog_step_over_90l,0,30,75,90,145,300,0,40,,
jog_step_over_90r,0,30,-90,-75,145,300,0,40,,
jog_vault_over_sm,30,45,-75,75,145,300,20,55,,
jog_vault_over_sm_90l,30,45,75,90,145,300,20,55,,
jog_vault_over_sm_90r,30,45,-90,-75,145,300,20,55,,
jog_vault_over_md,45,70,-75,75,145,300,35,80,,
jog_vault_over_md_90l,45,70,75,90,145,300,35,80,,
jog_vault_over_md_90r,45,70,-90,-75,145,300,35,80,,
jog_vault_over_lg,70,150,-75,75,1,300,60,160,,
jog_vault_over_lg_90l,70,150,75,90,1,300,60,160,,
jog_vault_over_lg_90r,70,150,-90,-75,1,300,60,160,,
walk_jump_over_drop,1,50,-75,75,1,85,60,250,,
walk_jump_over_drop_90l,1,50,75,90,1,85,60,250,,
walk_jump_over_drop_90r,1,50,-90,-75,1,85,60,250,,
fast_jump_over_drop,1,50,-75,75,85,145,60,250,,
fast_jump_over_drop_90l,1,50,75,90,85,145,60,250,,
fast_jump_over_drop_90r,1,50,-90,-75,85,145,60,250,,
jog_jump_over_drop,1,50,-75,75,145,300,60,250,,
jog_jump_over_drop_90l,1,50,75,90,145,300,60,250,,
jog_jump_over_drop_90r,1,50,-90,-75,145,300,60,250,,
jog_jump_up_drop,70,250,-75,75,1,300,1,60,,
jog_jump_up_drop_90l,70,250,75,90,1,300,1,60,,
jog_jump_up_drop_90r,70,250,-90,-75,1,300,1,60,,
default,,,,,,,,,,
__END__,,,,,,,,,,
