???alias,min_height,max_height,min_speed,max_speed,min_arrival_yaw,max_arrival_yaw,__END__,
walk_mantle_up_sm,0,45,1,85,-75,75,,
walk_mantle_up_sm_90l,0,45,1,85,75,180,,
walk_mantle_up_sm_90r,0,45,1,85,-180,-75,,
walk_mantle_up_md,45,70,1,85,-75,75,,
walk_mantle_up_md_90l,45,70,1,85,75,180,,
walk_mantle_up_md_90r,45,70,1,85,-180,-75,,
walk_mantle_up_lg,70,200,1,85,-75,75,,
walk_mantle_up_lg_90l,70,200,1,85,75,180,,
walk_mantle_up_lg_90r,70,200,1,85,-180,-75,,
fast_mantle_up_sm,0,45,85,145,-75,75,,
fast_mantle_up_sm_90l,0,45,85,145,75,180,,
fast_mantle_up_sm_90r,0,45,85,145,-180,-75,,
fast_mantle_up_md,45,70,85,145,-75,75,,
fast_mantle_up_md_90l,45,70,85,145,75,180,,
fast_mantle_up_md_90r,45,70,85,145,-180,-75,,
fast_mantle_up_lg,70,200,85,145,-75,75,,
fast_mantle_up_lg_90l,70,200,85,145,75,180,,
fast_mantle_up_lg_90r,70,200,85,145,-180,-75,,
jog_mantle_up_sm,0,45,145,300,-75,75,,
jog_mantle_up_sm_90l,0,45,145,300,75,180,,
jog_mantle_up_sm_90r,0,45,145,300,-180,-75,,
jog_mantle_up_md,45,70,145,300,-75,75,,
jog_mantle_up_md_90l,45,70,145,300,75,180,,
jog_mantle_up_md_90r,45,70,145,300,-180,-75,,
jog_mantle_up_lg,70,200,145,300,-75,75,,
jog_mantle_up_lg_90l,70,200,145,300,75,180,,
jog_mantle_up_lg_90r,70,200,145,300,-180,-75,,
default,,,,,,,,
__END__,,,,,,,,
