???alias,min_drop_height,max_drop_height,min_speed,max_speed,min_arrival_yaw,max_arrival_yaw,__END__,
walk_mantle_down_sm,0,35,1,85,-75,75,,
walk_mantle_down_sm_90l,0,35,1,85,75,90,,
walk_mantle_down_sm_90r,0,35,1,85,-90,-75,,
walk_mantle_down_md,35,70,1,85,-75,75,,
walk_mantle_down_md_90l,35,70,1,85,75,90,,
walk_mantle_down_md_90r,35,70,1,85,-90,-75,,
walk_mantle_down_lg,70,120,1,85,-75,75,,
walk_mantle_down_lg_90l,70,120,1,85,75,90,,
walk_mantle_down_lg_90r,70,120,1,85,-90,-75,,
walk_mantle_down_xlg,120,200,1,85,-75,75,,
walk_mantle_down_xlg_90l,120,200,1,85,75,90,,
walk_mantle_down_xlg_90r,120,200,1,85,-90,-75,,
fast_mantle_down_sm,0,45,85,145,-75,75,,
fast_mantle_down_sm_90l,0,45,85,145,75,90,,
fast_mantle_down_sm_90r,0,45,85,145,-90,-75,,
fast_mantle_down_md,45,70,85,145,-75,75,,
fast_mantle_down_md_90l,45,70,85,145,75,90,,
fast_mantle_down_md_90r,45,70,85,145,-90,-75,,
fast_mantle_down_lg,70,120,85,145,-75,75,,
fast_mantle_down_lg_90l,70,120,85,145,75,90,,
fast_mantle_down_lg_90r,70,120,85,145,-90,-75,,
fast_mantle_down_xlg,120,200,85,145,-75,75,,
fast_mantle_down_xlg_90l,120,200,85,145,75,90,,
fast_mantle_down_xlg_90r,120,200,85,145,-90,-75,,
jog_mantle_down_sm,0,45,145,300,-75,75,,
jog_mantle_down_sm_90l,0,45,145,300,75,90,,
jog_mantle_down_sm_90r,0,45,145,300,-90,-75,,
jog_mantle_down_md,45,70,145,300,-75,75,,
jog_mantle_down_md_90l,45,70,145,300,75,90,,
jog_mantle_down_md_90r,45,70,145,300,-90,-75,,
jog_mantle_down_lg,70,120,145,300,-75,75,,
jog_mantle_down_lg_90l,70,120,145,300,75,90,,
jog_mantle_down_lg_90r,70,120,145,300,-90,-75,,
jog_mantle_down_xlg,120,200,145,300,-75,75,,
jog_mantle_down_xlg_90l,120,200,145,300,75,90,,
jog_mantle_down_xlg_90r,120,200,145,300,-90,-75,,
default,,,,,,,,
__END__,,,,,,,,
