???alias,min_height,max_height,min_drop_height,max_drop_height,min_speed,max_speed,min_arrival_yaw,max_arrival_yaw,min_length,max_length,__END__,
walk_jump_across,0,40,0,50,0,85,-75,75,0,65,,
walk_jump_across_90l,0,40,0,50,0,85,75,90,0,65,,
walk_jump_across_90r,0,40,0,50,0,85,-90,-75,0,65,,
fast_jump_across,0,40,0,50,85,145,-75,75,0,85,,
fast_jump_across_90l,0,40,0,50,85,145,75,90,0,85,,
fast_jump_across_90r,0,40,0,50,85,145,-90,-75,0,85,,
jog_jump_across,0,40,0,50,145,300,-75,75,0,150,,
jog_jump_across_90l,0,40,0,50,145,300,75,90,0,150,,
jog_jump_across_90r,0,40,0,50,145,300,-90,-75,0,150,,
jog_jump_across_slide,20,70,30,80,0,300,-75,75,40,150,,
jog_jump_across_slide_90l,20,70,30,80,0,300,75,90,40,150,,
jog_jump_across_slide_90r,20,70,30,80,0,300,-90,-75,40,150,,
default,,,,,,,,,,,,
__END__,,,,,,,,,,,,
