loadoutName,Pistol,
loadoutPrimary,iw8_pi_golf21,
loadoutPrimaryAttachment1,none,
loadoutPrimaryAttachment2,none,
loadoutPrimaryAttachment3,none,
loadoutPrimaryAttachment4,none,
loadoutPrimaryAttachment5,none,
loadoutPrimaryAttachment6,none,
loadoutPrimaryCamo,none,
loadoutPrimaryReticle,none,
loadoutSecondary,iw8_fists,
loadoutSecondaryAttachment1,none,
loadoutSecondaryAttachment2,none,
loadoutSecondaryAttachment3,none,
loadoutSecondaryAttachment4,none,
loadoutSecondaryAttachment5,none,
loadoutSecondaryCamo,none,
loadoutSecondaryReticle,none,
loadoutEquipmentPrimary,none,
loadoutExtraPowerPrimary,FALSE,
loadoutEquipmentSecondary,none,
loadoutExtraPowerSecondary,FALSE,
loadoutPerk1,specialty_null,
loadoutPerk2,specialty_null,
loadoutPerk3,specialty_null,
loadoutExtraPerk1,specialty_null,
loadoutExtraPerk2,specialty_null,
loadoutExtraPerk3,specialty_null,
loadoutOverkill,FALSE,
