dm,points,best_streak,,
war,best_streak,,,
sd,plants,defuses,,
dom,captures,defends,,
conf,confirms,denies,,
sr,confirms,denies,rescues,
grind,,,,
ball,fieldgoals,touchdowns,,
infect,survive_time,kills_as_survivor,kills_as_infected,
gun,stabs,setbacks,,
grnd,,,,
siege,captures,,,
koth,obj_time,,,
ctf,captures,returns,,
dd,plants,defuses,destructions,
tdef,obj_time,,,
front,,,,
cmd,,,,
br,,,,
payload,,,,
arena,damage,assists,,
arm,captures,defends,,
cyber,revives,plants,,
hq,captures,defends,,
rush,,,,
mtmc,,,,
vip,,,,
tjugg,,,,
rugby,damage,defends,,
